docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,path,authsvols,publisher,segment1900
mdp.39015031908901,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.2,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/89/01/39015031908901/mdp.39015031908901.json.bz2,231,Bentley,0.44086490327020383
uiuo.ark+=13960=t2697np18,1851,1850,1850.0,vulgar,,,"Lytton, Rosina Bulwer Lytton",London;W. Shoberl;1851.,,"Miriam Sedley; or, The tares and the wheat",,,,,,1802.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/26/97/np/18/ark+=13960=t2697np18/uiuo.ark+=13960=t2697np18.json.bz2,35,Shoberl,0.7384496122315424
uc1.b3548184,1850,1850,1850.0,vulgar,,,"Warburton, Eliot",New York;Harper;1850.,,Reginald Hastings,,,,,,1810.0,m,ir,,,,uc1/pairtree_root/b3/54/81/84/b3548184/uc1.b3548184.json.bz2,4,Harper,0.37840278563988966
uiuo.ark+=13960=t5fb5p49z,1851,1851,1851.0,elite,8718921.0,10571983,"Ponsonby, Emily",London;Colburn;1851.,v.1,"Clare Abbey, or, The trials of youth",rev,<blank>,<blank>,1853,ER,1817.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/5f/b5/p4/9z/ark+=13960=t5fb5p49z/uiuo.ark+=13960=t5fb5p49z.json.bz2,33,Colburn,0.5381906509650994
uiuo.ark+=13960=t9086r70j,1851,1851,1851.0,vulgar,,,"Daniel, Mackenzie",London;T.C. Newby;1851.,,Fernley Manor,,,,,,1823.0,f,uk,"Mrs R Mackenzie Daniel, née Elizabeth Daniel",,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/90/86/r7/0j/ark+=13960=t9086r70j/uiuo.ark+=13960=t9086r70j.json.bz2,12,Newby,0.33337919834108437
uc2.ark+=13960=t2h708h89,1851,1851,1851.0,vulgar,,,"Pearson, Emily C","Hartford;Brockett, Fuller and co.;1851.",,"Jamie Parker, the fugitive",,,,,,1818.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/2h/70/8h/89/ark+=13960=t2h708h89/uc2.ark+=13960=t2h708h89.json.bz2,2,Hartford Brockett Fuller,0.23725169481332756
nyp.33433074872015,1851,1851,1851.0,vulgar,,,"Howitt, Mary Botham",New York;D. Appleton;1851.,,The heir of Wast-Wayland,,,,,,1799.0,f,uk,,,,nyp/pairtree_root/33/43/30/74/87/20/15/33433074872015/nyp.33433074872015.json.bz2,61,Appleton,0.6819215641318598
uiuo.ark+=13960=t0tq6857p,1851,1851,1851.0,elite,8721272.0,8813745,"Dalrymple, J. Elphinstone",London;Colburn;1851.,v.1,The Livingstones,rev,neg,<blank>,1852,TEM,,f,uk,Mrs,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/0t/q6/85/7p/ark+=13960=t0tq6857p/uiuo.ark+=13960=t0tq6857p.json.bz2,3,Colburn,0.7408038992670942
uc2.ark+=13960=t4rj4df5z,1869,1851,1851.0,vulgar,,,"Mitchell, Donald Grant","New York;C. Scribner and company;1869, [c1863",,Dream life,,,,,,1822.0,m,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/4r/j4/df/5z/ark+=13960=t4rj4df5z/uc2.ark+=13960=t4rj4df5z.json.bz2,60,Scribner,0.7172101681245784
uc1.b4145140,1852,1851,1851.0,elite,6166384.0,62096043,"Stowe, Harriet Beecher",London;J. Cassell;1852.,<blank>,Uncle Tom's cabin,rev,pos,pop,1855,ER,1811.0,f,us,,,,,108,Cassell,0.6788090470943776
uc1.b4717980,1860,1851,1851.0,vulgar,,,"Reid, Mayne","Nashville, Tenn.;The Author;1860.",,"The war trail, or, The hunt of the wild horse",,,,,,1818.0,m,us,,,,uc1/pairtree_root/b4/71/79/80/b4717980/uc1.b4717980.json.bz2,177,Nashville Tenn Author,0.32202328502495914
uc2.ark+=13960=t5h98zv6n,1860,1851,1851.0,vulgar,,,"Luke, Jemima Thompson",Philadelphia;J. E. Potter and company;1860,,The female Jesuit;,,,,,,1813.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/5h/98/zv/6n/ark+=13960=t5h98zv6n/uc2.ark+=13960=t5h98zv6n.json.bz2,3,Potter,0.12880839416513398
uiuo.ark+=13960=t6834cj82,1851,1851,1855.0,elite,8721569.0,21920615,"Oliphant, Margaret",London;H. Colburn;1851.,v.2,Merkland,rev,<blank>,<blank>,1855,TEM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/68/34/cj/82/ark+=13960=t6834cj82/uiuo.ark+=13960=t6834cj82.json.bz2,305,Colburn,0.6200309614549067
uiuo.ark+=13960=t0tq6hk31,1851,1851,1851.0,elite,8718921.0,10571983,"Ponsonby, Emily",London;Colburn;1851.,v.2,"Clare Abbey, or, The trials of youth",rev,<blank>,<blank>,1853,ER,1817.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/0t/q6/hk/31/ark+=13960=t0tq6hk31/uiuo.ark+=13960=t0tq6hk31.json.bz2,33,Colburn,0.478752003961883
uiuo.ark+=13960=t81k02901,1851,1851,1851.0,vulgar,,,"Pinkney, Jane Vaughan",London;T.C.Newby;1851.,,The young doctor,,,,,,1827.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/81/k0/29/01/ark+=13960=t81k02901/uiuo.ark+=13960=t81k02901.json.bz2,6,Newby,0.5403174398912222
uc1.b3327058,1851,1851,1851.0,vulgar,,,"Murray, Hamilton",London;Colburn;1851.,,Falkenburg,,,,,,1813.0,f,uk,"Blaze de Bury, baroness",,,uc1/pairtree_root/b3/32/70/58/b3327058/uc1.b3327058.json.bz2,10,Colburn,0.5798979842895411
dul1.ark+=13960=t2f77261f,1852,1851,1851.0,vulgar,,,"Perce, Elbert",New York;Charles Scribner;1852.,,"Gulliver Joi, his three voyages",,,,,,1831.0,m,us,,,,dul1/pairtree_root/ar/k+/=1/39/60/=t/2f/77/26/1f/ark+=13960=t2f77261f/dul1.ark+=13960=t2f77261f.json.bz2,2,Charles Scribner,0.15978417787313812
uiuo.ark+=13960=t8w95tp2x,1851,1851,1851.0,vulgar,,,"Reid, Mayne",London;Charles J. Skeet.;1851.,,The scalp hunters,,,,,,1818.0,m,us,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/8w/95/tp/2x/ark+=13960=t8w95tp2x/uiuo.ark+=13960=t8w95tp2x.json.bz2,177,Charles Skeet,0.13215274276463224
uiuo.ark+=13960=t5j96qq51,1851,1851,1855.0,elite,8721569.0,21920615,"Oliphant, Margaret",London;H. Colburn;1851.,v.3,Merkland,rev,<blank>,<blank>,1855,TEM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/5j/96/qq/51/ark+=13960=t5j96qq51/uiuo.ark+=13960=t5j96qq51.json.bz2,305,Colburn,0.5730278897134427
uiuo.ark+=13960=t19k4x25q,1851,1851,1855.0,elite,8721569.0,21920615,"Oliphant, Margaret",London;H. Colburn;1851.,v.1,Merkland,rev,<blank>,<blank>,1855,TEM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/19/k4/x2/5q/ark+=13960=t19k4x25q/uiuo.ark+=13960=t19k4x25q.json.bz2,305,Colburn,0.6050280560065222
uc2.ark+=13960=t8tb0zk22,1851,1851,1851.0,elite,7671220.0,16516558,"Roe, A. S",New York;D. Appleton & Company;Philadelphia;G.S. Appleton;1851.,<blank>,To love and to be loved,rev,<blank>,<blank>,1855,TEM,1798.0,,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/8t/b0/zk/22/ark+=13960=t8tb0zk22/uc2.ark+=13960=t8tb0zk22.json.bz2,12,Appleton,0.5520498029965453
uva.x030802597,1851,1851,1851.0,vulgar,,,"Knight, Helen C",Philadelphia;American Sunday-School Union;1851.,,Hugh Fisher,,,,,,1814.0,f,us,,,,uva/pairtree_root/x0/30/80/25/97/x030802597/uva.x030802597.json.bz2,8,American Sunday School Union,0.4546957257182648
njp.32101064715665,1851,1851,1851.0,vulgar,,,"Southworth, Emma Dorothy Eliza Nevitte",New York;D. Appleton;Philadelphia;George S. Appleton;1851.,,Shannodale,,,,,,1819.0,f,us,,,,njp/pairtree_root/32/10/10/64/71/56/65/32101064715665/njp.32101064715665.json.bz2,82,Appleton George,0.45558882896549974
mdp.39015063516614,1851,1851,1851.0,elite,326943.0,1692038,"Borrow, George Henry",London;J. Murray;1851.,v.1,Lavengro;,rev,<blank>,<blank>,1857,QR,1803.0,m,uk,,,,mdp/pairtree_root/39/01/50/63/51/66/14/39015063516614/mdp.39015063516614.json.bz2,23,Murray,0.5551174123058094
mdp.39015064466116,1851,1851,1851.0,elite,326943.0,1692038,"Borrow, George Henry",London;J. Murray;1851.,v.2,Lavengro;,rev,<blank>,<blank>,1857,QR,1803.0,m,uk,,,,mdp/pairtree_root/39/01/50/64/46/61/16/39015064466116/mdp.39015064466116.json.bz2,23,Murray,0.5259505894408847
mdp.39015064466108,1851,1851,1851.0,elite,326943.0,1692038,"Borrow, George Henry",London;J. Murray;1851.,v.3,Lavengro;,rev,<blank>,<blank>,1857,QR,1803.0,m,uk,,,,mdp/pairtree_root/39/01/50/64/46/61/08/39015064466108/mdp.39015064466108.json.bz2,23,Murray,0.607457443030421
uc2.ark+=13960=t81j9d133,1851,1851,1848.0,vulgar,,,"Watson, William Davy","London;Smith, Elder;1851.",,Trevethlan,,,,,,1811.0,m,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/81/j9/d1/33/ark+=13960=t81j9d133/uc2.ark+=13960=t81j9d133.json.bz2,8,Smith Elder,0.49104920513683015
nyp.33433076049380,1852,1852,1852.0,vulgar,,,"Peterson, Charles J",Philadelphia;T. B. Peterson;c1852,,"The cabin and parlor; or, Slaves and masters",,,,,,1818.0,m,us,,,,nyp/pairtree_root/33/43/30/76/04/93/80/33433076049380/nyp.33433076049380.json.bz2,4,Peterson,0.49135946952442744
uiuo.ark+=13960=t3708cf7k,1852,1852,1852.0,vulgar,,,"Belfast, Frederick Richard Chichester",London;1852.,,The farce of life,,,,,,1827.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/37/08/cf/7k/ark+=13960=t3708cf7k/uiuo.ark+=13960=t3708cf7k.json.bz2,9,,0.5862744546700486
uc2.ark+=13960=t7dr2xx5g,1852,1852,1852.0,vulgar,,,"Lowndes, Hannah Maria Jones",London;Printed for the proprietors by M'Gowan & Co.;1852.,,"Katharine Bereford; or, The shade and sunshine of woman's life",,,,,,1800.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/7d/r2/xx/5g/ark+=13960=t7dr2xx5g/uc2.ark+=13960=t7dr2xx5g.json.bz2,2,Printed For Proprietors M'Gowan,0.40153404265391546
uc2.ark+=13960=t1xd10385,1852,1852,1852.0,vulgar,,,"Bennett, Emerson",Philadelphia;T.B. Peterson;c1852,,"Viola; or, Adventures in the far South-west",,,,,,1822.0,m,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/1x/d1/03/85/ark+=13960=t1xd10385/uc2.ark+=13960=t1xd10385.json.bz2,38,Peterson,0.15192464537535413
uc1.b250587,1852,1852,1852.0,elite,6502576.0,23201650,"Sinclair, Catherine",London;R. Bentley;1852.,v. 3,"Beatrice, or, The unknown relatives",rev,<blank>,<blank>,1855,TEM,1800.0,f,uk,,,,uc1/pairtree_root/$b/25/05/87/$b250587/uc1.$b250587.json.bz2,40,Bentley,0.4313194798500814
uc1.b3325180,1852,1852,1852.0,vulgar,,,"Thompson, Daniel P",Boston;B.B. Mussey;1852.,,"May Martin, and other tales of the Green Mountains",,,,,,1795.0,m,us,,,,uc1/pairtree_root/b3/32/51/80/b3325180/uc1.b3325180.json.bz2,15,Mussey,0.21397974183933396
nyp.33433074862560,1852,1852,1852.0,vulgar,,,"Gwynne, Talbot",New York;Harper & brothers;1852.,,The school for fathers,,,,,,1811.0,f,uk,,,,nyp/pairtree_root/33/43/30/74/86/25/60/33433074862560/nyp.33433074862560.json.bz2,3,Harper,0.5255774101339414
nyp.33433074895990,1852,1852,1852.0,vulgar,,,"McKinnon, William Charles",Halifax;E.G. Fuller;1852.,,"St. George; or, The Canadian league",,,,,,1828.0,m,ca,,,,nyp/pairtree_root/33/43/30/74/89/59/90/33433074895990/nyp.33433074895990.json.bz2,2,Halifax Fuller,0.2508079171891129
uiuo.ark+=13960=t6xw4qm1j,1853,1852,1852.0,vulgar,,,"Cole, Alfred Whaley",London;T.C. Newby;1853.,,Hope,,,,,,1812.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/6x/w4/qm/1j/ark+=13960=t6xw4qm1j/uiuo.ark+=13960=t6xw4qm1j.json.bz2,2,Newby,0.4344343681952146
uc2.ark+=13960=t1xd0w07q,1852,1852,1852.0,elite,7687042.0,9578697,"Craik, Dinah Maria Mulock",London;Chapman and Hall;1852.,v.3,The head of the family,rev,pos,<blank>,1853,ER,1826.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/1x/d0/w0/7q/ark+=13960=t1xd0w07q/uc2.ark+=13960=t1xd0w07q.json.bz2,168,Chapman Hall,0.6321094695057041
uc1.b3325618,1852,1852,1852.0,elite,6131755.0,22468470,"Marsh-Caldwell, Anne",London;Colburn;1852.,v. 2,Castle Avon,rev,<blank>,<blank>,1855,TEM,1791.0,f,uk,,,,uc1/pairtree_root/b3/32/56/18/b3325618/uc1.b3325618.json.bz2,97,Colburn,0.6935050006141547
uc1.b3325617,1852,1852,1852.0,elite,6131755.0,22468470,"Marsh-Caldwell, Anne",London;Colburn;1852.,v. 1,Castle Avon,rev,<blank>,<blank>,1855,TEM,1791.0,f,uk,,,,uc1/pairtree_root/b3/32/56/17/b3325617/uc1.b3325617.json.bz2,97,Colburn,0.6054804244443334
uc1.b250586,1852,1852,1852.0,elite,6502576.0,23201650,"Sinclair, Catherine",London;R. Bentley;1852.,v. 2,"Beatrice, or, The unknown relatives",rev,<blank>,<blank>,1855,TEM,1800.0,f,uk,,,,uc1/pairtree_root/$b/25/05/86/$b250586/uc1.$b250586.json.bz2,40,Bentley,0.5851596760218215
uc1.b250585,1852,1852,1852.0,elite,6502576.0,23201650,"Sinclair, Catherine",London;R. Bentley;1852.,v.1,"Beatrice, or, The unknown relatives",rev,<blank>,<blank>,1855,TEM,1800.0,f,uk,,,,uc1/pairtree_root/$b/25/05/85/$b250585/uc1.$b250585.json.bz2,40,Bentley,0.6432403455900899
uc1.b3325619,1852,1852,1852.0,elite,6131755.0,22468470,"Marsh-Caldwell, Anne",London;Colburn;1852.,v. 3,Castle Avon,rev,<blank>,<blank>,1855,TEM,1791.0,f,uk,,,,uc1/pairtree_root/b3/32/56/19/b3325619/uc1.b3325619.json.bz2,97,Colburn,0.7071116803777843
uc2.ark+=13960=t53f4r152,1852,1852,1852.0,elite,7687042.0,9578697,"Craik, Dinah Maria Mulock",London;Chapman and Hall;1852.,v.1,The head of the family,rev,pos,<blank>,1853,ER,1826.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/53/f4/r1/52/ark+=13960=t53f4r152/uc2.ark+=13960=t53f4r152.json.bz2,168,Chapman Hall,0.752263960123652
uc2.ark+=13960=t7jq0zc1x,1852,1852,1852.0,elite,7687042.0,9578697,"Craik, Dinah Maria Mulock",London;Chapman and Hall;1852.,v.2,The head of the family,rev,pos,<blank>,1853,ER,1826.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/7j/q0/zc/1x/ark+=13960=t7jq0zc1x/uc2.ark+=13960=t7jq0zc1x.json.bz2,168,Chapman Hall,0.575320267147255
nyp.33433074947171,1860,1853,1853.0,elite,8691049.0,37220659,"Cockton, Henry",Philadelphia;T.B. Peterson;1860?,<blank>,Percy Effingham,rev,<blank>,<blank>,1853,TEM,1807.0,m,uk,,,,nyp/pairtree_root/33/43/30/74/94/71/71/33433074947171/nyp.33433074947171.json.bz2,27,Peterson,0.3053661711731197
nyp.33433076053416,1853,1853,1853.0,vulgar,,,"Prime, William Cowper",New York;Harper & brothers;1853.,,The old house by the river,,,,,,1825.0,m,us,,,,nyp/pairtree_root/33/43/30/76/05/34/16/33433076053416/nyp.33433076053416.json.bz2,12,Harper,0.42714213209450846
nyp.33433084128655,1855,1853,1853.0,vulgar,,,"Yonge, Charlotte M",Leipzig;Bernhard Tauchnitz;1855.,,The heir of Redclyffe,,,,,,1823.0,f,uk,,,,nyp/pairtree_root/33/43/30/84/12/86/55/33433084128655/nyp.33433084128655.json.bz2,218,Bernhard Tauchnitz,0.5402784755298201
njp.32101068168424,1853,1853,1853.0,elite,8968436.0,43336285,"Crosland, Newton",London;Routledge;1853.,<blank>,Stray leaves from shady places,rev,pos,<blank>,1853,TEM,1812.0,f,uk,,,,njp/pairtree_root/32/10/10/68/16/84/24/32101068168424/njp.32101068168424.json.bz2,12,Routledge,0.6597948114965071
uc1.b3327126,1859,1853,1853.0,vulgar,,,"Rowcroft, Charles",Philadelphia;J. W. Bradley;1859.,,The Australian Crusoes,,,,,,1798.0,m,uk,,,,uc1/pairtree_root/b3/32/71/26/b3327126/uc1.b3327126.json.bz2,17,Bradley,0.1241283116217202
nyp.33433074930144,1853,1853,1853.0,elite,324018.0,535774,"Brontë, Charlotte",New York;Harper & brothers;1853.,<blank>,Villette,rev,<blank>,<blank>,1853,ER,1816.0,f,uk,,,,nyp/pairtree_root/33/43/30/74/93/01/44/33433074930144/nyp.33433074930144.json.bz2,153,Harper,0.6392484631314235
nyp.33433000665822,1853,1853,1853.0,elite,8588672.0,5632116,"St. John, James Augustus","London;Longman, Brown, Green, & Longmans;1853.",v. 1,There and back again in search of beauty,rev,<blank>,<blank>,1853,TEM,1795.0,m,uk,,,,nyp/pairtree_root/33/43/30/00/66/58/22/33433000665822/nyp.33433000665822.json.bz2,12,Longman Brown Green Longmans,0.7187095518084639
njp.32101042000354,1853,1853,1853.0,vulgar,,,"Irving, John Treat",New York;Samuel Hueston;1853.,,"Harry Harson, or, The benevolent bachelor",,,,,,1812.0,m,us,,,,njp/pairtree_root/32/10/10/42/00/03/54/32101042000354/njp.32101042000354.json.bz2,23,Samuel Hueston,0.47907479615452514
nyp.33433000665830,1853,1853,1853.0,elite,8588672.0,5632116,"St. John, James Augustus","London;Longman, Brown, Green, & Longmans;1853.",v. 2,There and back again in search of beauty,rev,<blank>,<blank>,1853,TEM,1795.0,m,uk,,,,nyp/pairtree_root/33/43/30/00/66/58/30/33433000665830/nyp.33433000665830.json.bz2,12,Longman Brown Green Longmans,0.7775013781603213
nyp.33433074947270,1853,1853,1853.0,vulgar,,,"Collins, A. Maria","Cincinnati, Ohio;Moore, Anderson, Wilstach & Keys;1853.",,Mrs. Ben Darby,,,,,,,f,us,,,,nyp/pairtree_root/33/43/30/74/94/72/70/33433074947270/nyp.33433074947270.json.bz2,2,Cincinnati Ohio Moore Anderson Wilstach Keys,0.5384691108242454
uiuo.ark+=13960=t8mc9hb8b,1854,1853,1853.0,elite,8717962.0,52484879,"Heighway, Osborn W. Trenery","London;Partridge, Oakey & Co.;1854.",v.2,"Adeline, or, the mysteries, romance, and realities of Jewish life",rev,<blank>,<blank>,1854,TEM,0.0,m,,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/8m/c9/hb/8b/ark+=13960=t8mc9hb8b/uiuo.ark+=13960=t8mc9hb8b.json.bz2,3,Partridge Oakey,0.6218918145690407
uiuo.ark+=13960=t76t15w5c,1853,1853,1853.0,vulgar,,,"Long, Catharine",London;Hurst and Blackett;1853.,,The first lieutenant's story,,,,,,1797.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/76/t1/5w/5c/ark+=13960=t76t15w5c/uiuo.ark+=13960=t76t15w5c.json.bz2,7,Hurst Blackett,0.4810941899603196
uiuo.ark+=13960=t83j42304,1854,1853,1853.0,elite,8717962.0,52484879,"Heighway, Osborn W. Trenery","London;Partridge, Oakey & Co.;1854.",v.1,"Adeline, or, the mysteries, romance, and realities of Jewish life",rev,<blank>,<blank>,1854,TEM,0.0,m,,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/83/j4/23/04/ark+=13960=t83j42304/uiuo.ark+=13960=t83j42304.json.bz2,3,Partridge Oakey,0.7297790343629678
uc1.$b809243,1854,1854,1854.0,vulgar,,,"Hornblower, Jane Elizabeth Roscoe",New York;R. Carter;1854.,,"Vara, or, The child of adoption",,,,,,1797.0,f,us,,,,uc1/pairtree_root/$b/80/92/43/$b809243/uc1.$b809243.json.bz2,5,Carter,0.551821718868428
uiuo.ark+=13960=t5fb5fx5f,1854,1854,1854.0,elite,8722283.0,21267288,"Grant, James",London;G. Routledge;1854.,v.2,"Philip Rollo, or, The Scottish musketeers",rev,pos,<blank>,1854,TEM,1822.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/5f/b5/fx/5f/ark+=13960=t5fb5fx5f/uiuo.ark+=13960=t5fb5fx5f.json.bz2,93,Routledge,0.48272966293645175
njp.32101067634343,1869,1854,1854.0,vulgar,,,"Hamley, Edward Bruce",Edinburgh;London;William Blackwood and sons;1869.,,Lady Lee's widowhood,,,,,,1824.0,m,uk,,,,njp/pairtree_root/32/10/10/67/63/43/43/32101067634343/njp.32101067634343.json.bz2,6,William Blackwood,0.6020553912770871
uc1.b3327580,1855,1854,1854.0,vulgar,,,"Pike, Mary Hayden Green","Boston;Phillips, Sampson;New York;J. C. Derby;1855.",,Ida May;,,,,,,1824.0,f,us,,,,uc1/pairtree_root/b3/32/75/80/b3327580/uc1.b3327580.json.bz2,1,Phillips Sampson Derby,0.33665778942808106
njp.32101074760370,1854,1854,1854.0,vulgar,,,"Engles, William M",Philadelphia;Presbyterian Board of Publication;c1854.,,The youth's casket,,,,,,1797.0,m,us,,,,njp/pairtree_root/32/10/10/74/76/03/70/32101074760370/njp.32101074760370.json.bz2,1,Presbyterian Board Publication,0.5404109104865281
wu.89098013279,1854,1854,1854.0,vulgar,,,"Bullard, A. T. J",London;James Blackwood;1854.,,"Love affairs, or, How a flirt was caught in his own trap",,,,,,1808.0,f,uk,,,,wu/pairtree_root/89/09/80/13/27/9/89098013279/wu.89098013279.json.bz2,3,James Blackwood,0.427663176399528
uiuo.ark+=13960=t3nv9vg5k,1854,1854,1854.0,elite,8722283.0,21267288,"Grant, James",London;G. Routledge;1854.,v.1,"Philip Rollo, or, The Scottish musketeers",rev,pos,<blank>,1854,TEM,1822.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/3n/v9/vg/5k/ark+=13960=t3nv9vg5k/uiuo.ark+=13960=t3nv9vg5k.json.bz2,93,Routledge,0.40888009878581605
uiuo.ark+=13960=t1fj2v76r,1854,1854,1854.0,elite,391341.0,13325112,"Gibson, Charles B",Dublin;Hodges and Smith;1854.,v.2,The last earl of Desmond,rev,<blank>,<blank>,1854,TEM,1808.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/1f/j2/v7/6r/ark+=13960=t1fj2v76r/uiuo.ark+=13960=t1fj2v76r.json.bz2,4,Hodges Smith,0.4008560584039959
uiuo.ark+=13960=t72v35t5b,1854,1854,1854.0,vulgar,,,"Sheppard, Elizabeth Sara","London;Smith, Elder;1854.",,"Counterparts, or, The cross of love",,,,,,1830.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/72/v3/5t/5b/ark+=13960=t72v35t5b/uiuo.ark+=13960=t72v35t5b.json.bz2,18,Smith Elder,0.691186357901
njp.32101068176260,1854,1854,1854.0,vulgar,,,"Cartwright, Robert","London;Smith, Elder & Co.;1854.",,Ambrose the sculptor,,,,,,,f,uk,,,,njp/pairtree_root/32/10/10/68/17/62/60/32101068176260/njp.32101068176260.json.bz2,4,Smith Elder,0.6424974455657514
