"volid","dateused","pubdate","birthdate","firstpub","gender","nation","allwords","logistic","realclass","trainflag","author","title","title","genretags"
"mdp.39015001797946",1895,1895,0,1895,"m","uk",34.3662689967,0.6223759765,1,1,"Grahame, Kenneth","The golden age","elite",
"mdp.39015001816563",1944,1944,0,1944,"f","us",39.3224425328,0.5874508982,1,1,"Stafford, Jean","Boston Adventure","elite",
"mdp.39015002141011",1949,1949,0,1949,"f","uk",26.447962571,0.3794554974,0,1,"MacInnes, Helen","Neither five nor three.","vulgar",
"mdp.39015002176801",1934,1934,0,1934,"m","us",25.9339187579,0.3673077107,1,1,"Hammett, Dashiell","The Thin Man","elite",
"mdp.39015002235375",1937,1937,0,1937,"m","us",24.143878493,0.343250699,1,1,"Hemingway, Ernest","To Have and Have Not","elite",
"mdp.39015002710773",1927,1927,0,1927,"m","uk",26.1226402319,0.7022261098,1,1,"Priestley, J.B","Benighted","elite",
"mdp.39015002714957",1919,1919,0,1919,"f","uk",27.5589079727,0.7827412168,1,1,"Richardson, Dorothy M","The Tunnel","elite",
"mdp.39015002716648",1937,1937,0,1937,"m","us",32.1843590395,0.4275900718,1,1,"Rice, Elmer","Imperial City","elite",
"mdp.39015002718313",1926,1926,0,1926,"f","us",33.0011118684,0.8073186218,1,1,"Roberts, Elizabeth Madox","The Time of Man","elite",
"mdp.39015002719386",1883,1883,0,1883,"f","za",31.2815992725,0.6735600525,1,1,"Schreiner, Olive","The story of an African farm","elite",
"mdp.39015002742305",1929,1929,0,1929,"m","uk",28.4448277135,0.8248939785,1,1,"Rodker, John","Adolphe 1920","elite",
"mdp.39015002753344",1926,1926,0,1926,"m","uk",27.3559295246,0.6517942492,1,1,"West, Edward Sackville","The Ruin","elite",
"mdp.39015002758004",1935,1935,0,1935,"m","es",36.1857560813,0.8037922842,1,1,"Santayana, George","The Last Puritan: A Memoir in the Form of a Novel","elite",
"mdp.39015003345124",1939,1939,0,1939,"m","us",33.6591035673,0.8459410996,1,1,"Faulkner, William","The Wild Palms","elite",
"mdp.39015003538918",1930,1930,0,1930,"m","ru",28.5972707367,0.7311095152,0,1,"Krasnov, P. N. (Petr Nikolaevich)","Kostia the Cossack, | an historical novel","vulgar",
"mdp.39015003840595",1946,1946,0,1946,"m","us",31.0634731573,0.2553979624,0,1,"Costain, Thomas B. (Thomas Bertram)","The black rose.","vulgar",
"mdp.39015003930503",1939,1939,0,1939,"f","uk",29.76983836,0.523295867,1,1,"Godden, Rumer","Black Narcissus","elite",
"mdp.39015004274232",1939,1939,0,1939,"m","uk",31.9587676765,0.5997264234,1,1,"Joyce, James","Finnegan's Wake","elite",
"mdp.39015005096006",1901,1901,0,1901,"f","us",35.9962627016,0.5602552198,1,1,"Jewett, Sarah Orne","The Tory lover","elite",
"mdp.39015005148344",1900,1900,0,1900,"m","us",32.9897679847,0.5761849806,1,1,"Grant, Robert","Unleavened bread","elite",
"mdp.39015005273563",1930,1930,0,1930,"m","uk",31.0112330086,0.7220638304,1,1,"Lewis, Wyndham","The Apes of God","elite",
"mdp.39015005406429",1937,1937,0,1937,"f","uk",28.4202668409,0.4040893223,0,1,"Heyer, Georgette","The unfinished clue","vulgar",
"mdp.39015005616654",1876,1876,0,1876,"m","uk",37.1220403646,0.6607472374,0,1,"Brown, Oliver Madox-","The Dwale bluth","vulgar",
"mdp.39015005667202",1928,1928,0,1928,"m","us",24.4658089708,0.3193547393,0,1,"Bacheller, Irving","The House of three ganders, | $c: by Irving Bacheller.","vulgar",
"mdp.39015005735421",1930,1930,0,1930,"m","uk",30.3786285776,0.7693512193,1,1,"Maugham, W. Somerset","Cakes and Ale","elite",
"mdp.39015005776847",1936,1936,0,1936,"f","us",33.216927564,0.5288056778,1,1,"Mitchell, Margaret","Gone with the wind","elite",
"mdp.39015005919686",1947,1947,0,1947,"m","uk",35.1776488844,0.7877958144,1,1,"Lowry, Malcolm","Under the Volcano","elite",
"mdp.39015005942605",1891,1891,0,1891,"m","uk",30.7446766288,0.7599934725,1,1,"Gissing, George","New Grub Street","elite",
"mdp.39015006218385",1932,1932,0,1932,"m","us",33.2683664846,0.3891250242,1,1,"Nordhoff, Charles and Hall, James Norman","Mutiny on the Bounty","elite",
"mdp.39015006580941",1882,1882,0,1882,"m","uk",35.8542988862,0.5734852616,1,1,"Anstey, F","Vice versâ;","elite",
"mdp.39015006969649",1867,1867,0,1867,"f","uk",34.7882887967,0.6783546528,0,1,"Kemble, Adelaide","A week in a French country-house","vulgar",
"mdp.39015006977899",1894,1894,0,1894,"m","uk",37.2750038843,0.7006990867,1,1,"Du Maurier, George","Trilby","elite",
"mdp.39015008191382",1857,1857,0,1857,"m","uk",40.4932967102,0.5474188566,1,1,"Hughes, Thomas","Tom Brown's school days","elite",
"mdp.39015008386784",1929,1929,0,1929,"m","uk",25.2807482632,0.573719326,1,1,"O'Flaherty, Liam","The House of Gold","elite",
"mdp.39015008628714",1918,1918,0,1918,"f","uk",30.6726986846,0.4685597008,1,1,"West, Rebecca","The return of the soldier","elite",
"mdp.39015008975917",1938,1938,0,1938,"m","uk",29.2704994487,0.8666252045,1,1,"Durrell, Lawrence","The Black Book","elite",
"mdp.39015009020440",1916,1916,0,1916,"m","uk",28.332762874,0.378465098,0,1,"Mundy, Talbot","King of the Khyber rifles","vulgar",
"mdp.39015009398465",1948,1948,0,1948,"m","us",35.2672697798,0.6237716698,1,1,"Capote, Truman","Other Voices, Other Rooms","elite",
"mdp.39015010208307",1927,1927,0,1927,"f","us",30.6395483757,0.6118478856,0,1,"Norris, Kathleen","The foolish virgin","vulgar",
"mdp.39015010687682",1943,1943,0,1943,"m","us",27.1103840111,0.6587232059,0,1,"De Vries, Peter","The handsome heart, | $c: by Peter De Vries.","vulgar",
"mdp.39015011017392",1934,1934,0,1934,"m","us",31.0669581478,0.3941605053,1,1,"Halper, Albert","The Foundry","elite",
"mdp.39015011425348",1865,1865,0,1865,"f","uk",36.5746828901,0.3730997295,1,1,"Braddon, M. E","Only a clod, in three vols","elite",
"mdp.39015011425355",1865,1865,0,1865,"f","uk",36.7385932021,0.5513513301,1,1,"Braddon, M. E","Only a clod, in three vols","elite",
"mdp.39015011425389",1909,1909,0,1909,"f","us",28.0153373739,0.4071062394,1,1,"Glyn, Elinor","Three weeks","elite",
"mdp.39015011425439",1865,1865,0,1865,"f","uk",37.8505562979,0.6506864736,1,1,"Braddon, M. E","Only a clod, in three vols","elite",
"mdp.39015011506139",1916,1916,0,1916,"m","uk",24.9343728429,0.8228606435,1,1,"Lewis, Wyndham","Tarr","elite",
"mdp.39015012067206",1931,1931,0,1931,"m","uk",28.537667115,0.3794222899,0,1,"Hilton, James","Murder at school, | a detective fantasia, | $c: by James Hilton.","vulgar",
"mdp.39015012341775",1857,1857,0,1857,"m","uk",34.196494801,0.8022647632,1,1,"Smith, William","Thorndale;","elite",
"mdp.39015012354869",1883,1883,0,1883,"m","uk",41.9700233048,0.7272057806,0,1,"Bowles, Thomas Gibson","Flotsam and jetsam","vulgar",
"mdp.39015012373794",1880,1880,0,1880,"f","uk",33.1161791927,0.7864092809,0,1,"Mayo, Isabella (Fyvie)","Her object in life","vulgar",
"mdp.39015012934694",1940,1940,0,1940,"m","us",26.8969968668,0.4595520759,0,1,"Sugrue, Thomas","Such is the kingdom / | $c: Thomas Sugrue.","vulgar",
"mdp.39015013303451",1936,1936,0,1936,"m","uk",29.4248937874,0.6734851329,1,1,"O'Connor, Frank","Bones of Contention","elite",
"mdp.39015013399715",1935,1935,0,1935,"m","us",36.8313285101,0.4866104174,1,1,"Davis, H. L","Honey in the Horn","elite",
"mdp.39015013518025",1927,1927,0,1927,"m","us",34.6556596149,0.5365824939,1,1,"Dreiser, Theodore","Chains, Lesser Novels and Stories","elite",
"mdp.39015013792281",1943,1943,0,1943,"m","us",29.3706128728,0.0716953786,0,1,"Caldwell, Erskine","Georgia boy.","vulgar",
"mdp.39015014365145",1919,1919,0,1919,"f","uk",34.6630916506,0.8377878384,1,1,"Woolf, Virginia","Night and Day","elite",
"mdp.39015014510963",1928,1928,0,1928,"m","us",29.3365944399,0.0835663478,0,1,"Hoffman, William Dawson","The Saddle Wolf, | $c: by W. D. Hoffman.","vulgar",
"mdp.39015016441308",1902,1902,0,1902,"m","us",33.2772224492,0.582876359,1,1,"Harris, Joel Chandler","Gabriel Tolliver","elite",
"mdp.39015016768288",1894,1894,0,1894,"f","us",28.714638258,0.5891900595,1,1,"Chopin, Kate","Bayou folk","elite",
"mdp.39015016894654",1928,1928,0,1928,"m","uk",23.1522393314,0.6147175413,1,1,"O'Flaherty, Liam","The Assassin","elite",
"mdp.39015016911532",1946,1946,0,1946,"f","uk",28.9548030577,0.4991967362,1,1,"O'Brien, Kate","That Lady","elite",
"mdp.39015017687289",1929,1929,0,1929,"m","uk",29.2345151288,0.6820522243,0,1,"Hughes, Richard Arthur Warren","A high wind in Jamaica | $c: [by] Richard Hughes.","vulgar",
"mdp.39015018606445",1943,1943,0,1943,"f","us",31.0842649183,0.7749099205,1,1,"Welty, Eudora","The Wide Net and Other Stories","elite",
"mdp.39015019073140",1939,1939,0,1939,"m","uk",29.9776474542,0.859486661,1,1,"Heppenstall, Rayner","The Blaze of Noon","elite",
"mdp.39015019967010",1919,1919,0,1919,"m","sw",26.8465452618,0.6264952743,0,1,"Bergman, Hjalmar","God's orchid;","vulgar",
"mdp.39015020720481",1940,1940,0,1940,"m","us",27.7873091007,0.6277101107,1,1,"Hemingway, Ernest","For Whom the Bell Tolls","elite",
"mdp.39015020733708",1949,1949,0,1949,"m","uk",29.8587054053,0.7421022244,1,1,"Orwell, George","Nineteen Eighty-four","elite",
"mdp.39015021285849",1933,1933,0,1933,"m","uk",30.0363538071,0.5859577567,1,1,"Shanks, Edward","Queer Street","elite",
"mdp.39015022200417",1924,1924,0,1924,"f","uk",28.6720205905,0.6296312628,1,1,"Macaulay, Rose","Orphan Island","elite",
"mdp.39015022391133",1902,1902,0,1902,"f","uk",40.1524556012,0.6326530963,1,1,"Somerville, E. Œ","Some experiences of an Irish R. M","elite",
"mdp.39015023133641",1895,1895,0,1895,"f","uk",33.1249581956,0.6439983333,1,1,"D'Arcy, Ella","Monochromes","elite",
"mdp.39015024021324",1931,1931,0,1931,"f","us",31.0372422108,0.5518311295,1,1,"Lewis,Grace Hegger","Half a Loaf","elite",
"mdp.39015024086434",1923,1923,0,1923,"m","us",35.6741926166,0.5925905262,1,1,"Hawes, Charles Boardman","The Dark Frigate: wherein is told the story of Philip Marsham who lived in the time of King Charles and was bred a sailor but came home to England after many hazards by sea and land and fought for the King at Newbury and lost a great inheritance and departed for Barbados in the same ship, by curious chance, in which he had long adventured with the pirates","elite",
"mdp.39015025919393",1920,1920,0,1920,"f","us",29.5594683848,0.1725567716,0,1,"Weaver, Sarah Harbine","The doings of Jane","vulgar",
"mdp.39015027996860",1902,1902,0,1902,"f","uk",28.8930441995,0.5389521813,0,1,"Thurston, Katherine","The masquerade","vulgar",
"mdp.39015028550013",1926,1926,0,1926,"m","uk",28.119831624,0.4974318419,0,1,"Wodehouse, P. G","Sam the sudden, | $c: by P.G. Wodehouse ...","vulgar",
"mdp.39015028625682",1888,1888,0,1888,"m","dutch",37.3948290709,0.4115041384,0,1,"Perelaer, Michael Theophile Hubert","Baboe Dalima;","vulgar",
"mdp.39015028762006",1943,1943,0,1943,"m","us",29.6759203643,0.676184963,1,1,"Dos Passos, John","Number One","elite",
"mdp.39015029736793",1902,1902,0,1902,"m","us",26.4471201703,0.6964130894,1,1,"Stimson, Frederic Jesup","Jethro Bacon of Sandwich ; The weaker sex","elite",
"mdp.39015030017886",1913,1913,0,1913,"m","no",24.7188585489,0.6665493214,1,1,"Bojer, Johan","The Prisoner Who Sang","elite",
"mdp.39015030071941",1933,1933,0,1933,"m","no",25.2460399576,0.3774957545,0,1,"Christiansen, Sigurd Wesley","Chaff before the wind, | $c: by Sigurd Christiansen; translated from the Norwegian by Isaac Anderson.","vulgar",
"mdp.39015030198637",1904,1904,0,1904,"f","us",25.4230628615,0.3288092124,0,1,"Watanna, Onoto","Daughters of Nijo","vulgar",
"mdp.39015030356045",1928,1928,0,1928,"m","us",25.8404889336,0.6280781473,1,1,"Green, Julian","The Closed Garden","elite",
"mdp.39015030710860",1915,1915,0,1915,"m","us",29.7100588395,0.5015650857,1,1,"Poole, Ernest","The harbor","elite",
"mdp.39015030719382",1925,1925,0,1925,"f","us",29.1778761907,0.6531496243,1,1,"Wharton, Edith","The Mother's Recompense","elite",
"mdp.39015030719481",1944,1944,0,1944,"m","us",34.7147389287,0.313682488,1,1,"Williams, Ben Ames","Leave Her to Heaven","elite",
"mdp.39015030728144",1937,1937,0,1937,"f","us",27.6648535962,0.6105977498,0,1,"Carroll, Gladys Hasty","Neighbor to the sky, | $c: by Gladys Hasty Carroll.","vulgar",
"mdp.39015030750981",1913,1913,0,1913,"u","us",32.8574214249,0.5673907058,1,1,"Herrick, Robert","One woman's life","elite",
"mdp.39015030751815",1927,1927,0,1927,"m","us",23.0798867899,0.493103721,0,1,"Loeb, Harold","The professors like vodka | $c: [by] Harold Loeb.","vulgar",
"mdp.39015030755501",1919,1919,0,1919,"m","uk",35.5986876814,0.6503662091,1,1,"Johnston, Sir Harry","The Gay-Dombeys","elite",
"mdp.39015030851755",1880,1880,0,1880,"m","uk",35.1651521108,0.516461605,1,1,"Blackmore, R. D","Mary Anerley","elite",
"mdp.39015030851763",1880,1880,0,1880,"m","uk",33.4751755795,0.5164868141,1,1,"Blackmore, R. D","Mary Anerley","elite",
"mdp.39015030855608",1932,1932,0,1932,"m","uk",28.1068020979,0.7219575219,0,1,"Bates, H. E. (Herbert Ernest)","Sally go round the moon.","vulgar",
"mdp.39015030855798",1908,1908,0,1908,"m","us",33.1224794186,0.2520920589,0,1,"Rex, Beach","The barrier","vulgar",
"mdp.39015030995818",1897,1897,0,1897,"f","us",27.9968954776,0.3736964046,0,1,"Porter, Charlotte Endymion","Clever tales","vulgar",
"mdp.39015031231437",1923,1923,0,1923,"m","uk",30.9406177118,0.8381199718,1,1,"De la Mare, Walter","The Riddle and Other Tales","elite",
"mdp.39015031233839",1932,1932,0,1932,"m","us",28.4565891666,0.662004801,0,1,"Fisher, Vardis","In tragic life, | $c: by Vardis Fisher.","vulgar",
"mdp.39015031236584",1884,1884,0,1884,"m","us",46.6250185736,0.3921237479,1,1,"Howe, E. W","The story of a country town","elite",
"mdp.39015031241626",1928,1928,0,1928,"f","uk",29.9372299385,0.7636271529,1,1,"Macaulay, Rose","Daisy and Daphne","elite",
"mdp.39015031297933",1931,1931,0,1931,"m","uk",27.6697367976,0.6836259488,1,1,"Milne, A.A","Two People","elite",
"mdp.39015031305538",1930,1930,0,1930,"f","us",26.9846293429,0.6692448819,1,1,"Stone, Grace Zaring","The Bitter Tea of General Yen","elite",
"mdp.39015031306155",1944,1944,0,1944,"m","uk",32.7685604797,0.8593694799,1,1,"Warner, Rex","Return of the Traveller","elite",
"mdp.39015031309209",1928,1928,0,1928,"f","uk",30.0018974527,0.5412880713,1,1,"Stern, G. B","Debonair","elite",
"mdp.39015031311684",1895,1895,0,1895,"m","uk",30.4746194726,0.8257301209,1,1,"Macleod, Fiona","The mountain lovers","elite",
"mdp.39015031325833",1949,1949,0,1949,"m","uk",36.5377516023,0.7637096799,1,1,"Hutchinson, R.C","Elephant and Castle","elite",
"mdp.39015031325999",1926,1926,0,1926,"f","us",26.9995010466,0.609460332,0,1,"Hurst, Fannie","Appassionata, | $c: by Fannie Hurst.","vulgar",
"mdp.39015031442497",1928,1928,0,1928,"m","uk",31.8788927282,0.2572721555,0,1,"Freeman, R. Austin (Richard Austin)","As a thief in the night | $c: [by] R. Austin Freeman.","vulgar",
"mdp.39015031602066",1942,1942,0,1942,"m","us",24.1945538958,0.388382248,1,1,"Steinbeck, John","The Moon is Down","elite",
"mdp.39015031908893",1850,1850,0,1850,"m","uk",38.0172097933,0.4677537432,1,1,"Collins, Wilkie","Antonina;","elite",
"mdp.39015031908901",1850,1850,0,1850,"m","uk",37.4257098462,0.3819169362,1,1,"Collins, Wilkie","Antonina;","elite",
"mdp.39015031909669",1850,1850,0,1850,"m","uk",41.4370335224,0.6244281931,1,1,"Collins, Wilkie","Antonina;","elite",
"mdp.39015032013263",1926,1926,0,1926,"f","us",30.8623040889,0.3721138229,0,1,"Hormel, Olive Deane","Co-ed, | $c: by Olive Deane Hormel.","vulgar",
"mdp.39015035730640",1945,1945,0,1945,"m","uk",31.2575151687,0.3499650061,1,1,"Orwell, George","Animal Farm","elite",
"mdp.39015036845256",1936,1936,0,1936,"m","us",31.53874239,0.2893573528,0,1,"Train, Arthur Cheney","Mr. Tutt's case book","vulgar",
"mdp.39015037848416",1947,1947,0,1947,"m","us",29.4737511594,0.5772541348,0,1,"Irish, William","Waltz into darkness, | $c: by William Irish [pseud.] ...","vulgar",
"mdp.39015039396083",1898,1898,0,1898,"f","uk",39.8317791615,0.6041985153,1,1,"Von Arnim, Elizabeth","Elizabeth and her German garden","elite",
"mdp.39015039590446",1933,1933,0,1933,"m","uk",45.4780763542,0.6470175135,0,1,"Mitchell, James Leslie","Cloud howe.","vulgar",
"mdp.39015046359850",1875,1875,0,1875,"m","us",31.7831402694,0.8085896093,1,1,"James, Henry","Roderick Hudson","elite",
"mdp.39015046366533",1925,1925,0,1925,"m","us",27.2291013184,0.5907828327,1,1,"Heyward, DuBose","Porgy","elite",
"mdp.39015047540441",1934,1934,0,1934,"f","us",26.0930804488,0.47251515,1,1,"Hurston, Zora Neale","Jonah's Gourd Vine","elite",
"mdp.39015047634475",1925,1925,0,1925,"m","uk",28.5154838116,0.4414309876,0,1,"Jepson, Selwyn","Rogues and diamonds, | $c: by Selwyn Jepson.","vulgar",
"mdp.39015047762482",1933,1933,0,1933,"m","us",25.8407695602,0.523454756,1,1,"Edmonds, Walter D","Erie Water","elite",
"mdp.39015048550019",1930,1930,0,1930,"f","us",23.8592382413,0.5529208614,1,1,"Parker, Dorothy","Laments for the Living","elite",
"mdp.39015048708674",1928,1928,0,1928,"f","uk",27.7883022155,0.6631088864,0,1,"[Champneys, Adelaide]","November night.","vulgar",
"mdp.39015049691218",1944,1944,0,1944,"f","us",28.0369911038,0.5784811914,0,1,"Smith, Lillian Eugenia","Strange fruit, | $c: a novel by Lillian Smith.","vulgar",
"mdp.39015049799243",1926,1926,0,1926,"f","uk",27.3915557861,0.2637535863,0,1,"Evans, Marguerite Florence Jervis Barclay","The ginger-jar / | $c: by Oliver Sandys [pseud.].","vulgar",
"mdp.39015053262294",1877,1877,0,1877,"m","hungary",32.8460821948,0.4514157844,0,1,"Jokai, Mór","Pretty Michal","vulgar",
"mdp.39015053606771",1936,1936,0,1936,"m","uk",32.5129926172,0.8369521488,0,1,"Morgan, Charles","Sparkenbroke.","vulgar",
"mdp.39015053608637",1940,1940,0,1940,"m","uk",32.1175103435,0.6697425218,1,1,"Myers, L. H","The Pool of Vishnu","elite",
"mdp.39015054021426",1943,1943,0,1943,"m","us",33.972571619,0.7347341975,0,1,"Fast, Howard","Citizen Tom Paine | $c: [by] Howard Fast.","vulgar",
"mdp.39015055052222",1926,1926,0,1926,"f","us",30.1841761817,0.7625077386,1,1,"Glenn, Isa","Heat","elite",
"mdp.39015055066743",1896,1896,0,1896,"m","uk",29.5140390966,0.8465249352,1,1,"Morrison, Arthur","A child of the Jago","elite",
"mdp.39015055278512",1940,1940,0,1940,"m","us",28.0832025724,0.6723466135,0,1,"Curran, Dale","Piano in the band | $c: [by] Dale Curran.","vulgar",
"mdp.39015056245924",1936,1936,0,1936,"f","us",36.1724063862,0.8531019076,1,1,"Barnes, Djuna","Nightwood","elite",
"mdp.39015056732632",1931,1931,0,1931,"f","us",42.4928826084,0.8657947065,1,1,"Buck, Pearl S","The Good Earth","elite",
"mdp.39015057934351",1941,1941,0,1941,"m","us",31.7330077139,0.4022129346,1,1,"Cain, James M","Mildred Pierce","elite",
"mdp.39015059375942",1881,1881,0,1881,"m","us",30.8860450063,0.4436724332,0,1,"Bynner, Edwin Lassetter","Damen's ghost","vulgar",
"mdp.39015059386071",1903,1903,0,1903,"m","us",27.4295800764,0.5938169391,0,1,"Ade, George","In Babel;","vulgar",
"mdp.39015059395049",1883,1883,0,1883,"m","us",30.1440745487,0.7057015327,1,1,"Crawford, F. Marion","To leeward","elite",
"mdp.39015059395056",1883,1883,0,1883,"m","us",30.1106846357,0.4490056734,1,1,"Crawford, F. Marion","To leeward","elite",
"mdp.39015059413370",1933,1933,0,1933,"f","us",24.7112243103,0.3762722348,0,1,"Hull, Helen R. (Helen Rose)","Hardy perennial | $c: [by] Helen Hull.","vulgar",
"mdp.39015059414253",1925,1925,0,1925,"m","us",27.9212301552,0.7468390866,0,1,"Steele, Wilbur Daniel","Taboo / | $c: by Wilbur Daniel Steele.","vulgar",
