docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,poe_quarter_1870
uc1.b4100506,1917,1917,1917,reviewed,6154086.0,3545363.0,"Campbell, Joseph,",Dublin;London;Maunsel;1917.;(Dublin;George Roberts),,Earth of Cualann,rev,pos,,1917.0,EGO,1879,m,ir,Seosamh Mac Cathmhaoil,,,0.7199337240636273
loc.ark+=13960=t0dv25v7j,1917,1917,1917,random,9565056.0,,"Reed, Helen Leah,",Boston;De Wolfe and Fiske;c1917.,,"Memorial Day, and other verse (original and translated)",,,,,,1860,f,us,,,,0.4624236973583077
loc.ark+=13960=t76t19455,1917,1917,1917,random,6517209.0,,"Bachtell, Paul B.",Los Angeles;Baumgardt Publishing Company;1917.,,At Lucifer's portals,,,,,,1890,m,us,,,,0.3771261342391397
uc2.ark+=13960=t6736mr5n,1917,1917,1917,random,6228739.0,,"Aikins, Carroll.","Boston;Sherman, French & Company;1917.",,Poems,,,,,,1888,m,ca,,,,0.6243023058842989
loc.ark+=13960=t3nv9z201,1917,1917,1917,random,9590157.0,,"Kirk, Annie (Brindley),",Detroit;1917,,Inspirational poems,,,,,,1855,f,us,,,,0.21309686412293474
uc2.ark+=13960=t94748994,1917,1917,1917,random,2651411.0,,"Wood, Clement,",New York;L. J. Gomme;1917.,,Glad of earth,,,,,,1888,m,us,,,,0.7114165891838208
loc.ark+=13960=t13n30w9p,1917,1917,1917,random,11213778.0,,"Andrews, Edith Fargo.","Boston;Sherman, French & Company;1917.",,Vagrant visions,,,,,,1888,f,us,,,,0.5653974275990773
mdp.39015012978758,1916,1916,1916,reviewed,1029355.0,486117.0,"Seeger, Alan,",New York;C. Scribner's sons;1916.,,Poems,rev,,,1917.0,EGO,1888,m,us,,,,0.5601522824792095
uc1.b4101052,1916,1916,1916,reviewed,631830.0,513652.0,"Masters, Edgar Lee,",New York;The Macmillan company;1916.,,Songs and satires,rev,,,1916.0,PMV,1868,m,us,,,,0.6721638307500309
mdp.39015048709672,1916,1916,1916,reviewed,186256.0,603883.0,"De la Mare, Walter,",New York;Henry Holt and Co.;1916.,,"The listeners, and other poems",rev,,,1916.0,PMV,1873,m,uk,,,,0.7381495151260017
loc.ark+=13960=t10p1hx6j,1916,1916,1916,reviewed,6154895.0,1926345.0,"Arensberg, Walter,",Boston and New York;Houghton Mifflin Co.;1916.,,Idols,rev,pos,,1916.0,PMV,1878,m,us,,,,0.6566222450549027
nyp.33433066644851,1916,1916,1916,reviewed,1029308.0,28227389.0,"Sandburg, Carl,",New York;Holt;1916,,Chicago poems,rev,pos,,1916.0,PMV,1878,m,us,,,y,0.7088801620301721
mdp.39015063915642,1916,1916,1916,random,282252.0,,"Bashford, H. H.",Boston;New York;Houghton Mifflin company;1916.,,Songs out of school,,,,,,1880,m,uk,,,,0.6215877520404381
loc.ark+=13960=t85h8fd4f,1916,1916,1916,random,11210368.0,,"White, Charles Edward,","Syracuse, N.Y.;John Single Paper Co., printers;c1916",,Poems of school and life,,,,,,1848,m,us,,,,0.3770310096537428
loc.ark+=13960=t8jd5j56r,1916,1916,1916,random,9607316.0,,"Keeler, Charles Augustus,",New York;L. J. Gomme;1916.,,The victory: poems of triumph,,,,,,1871,m,us,,,,0.4850781438337614
loc.ark+=13960=t01z4v628,1916,1916,1916,random,449448.0,,"Havener, William Alexander.","Clovis, N. M.;1916.",,Evening pastimes,,,,,,,m,,,,,0.4007915665004161
uc2.ark+=13960=t12n5658q,1915,1915,1915,reviewed,7694830.0,1729410.0,"Cornford, Frances Darwin,",London;Poetry Bookshop;1915.,,Spring morning,rev,neg,,1915.0,EGO,1886,f,uk,,,,0.6008016407074102
uc1.b4101575,1915,1915,1915,reviewed,4136771.0,1920139.0,"Percy, William Alexander,","New Haven;Yale University Press; [etc., etc.;1915.",,Sappho in Levkas,rev,neg,,1917.0,PMV,1885,m,us,,,,0.6797826374244583
uc2.ark+=13960=t81j9n694,1915,1915,1915,reviewed,1417790.0,6537454.0,"Flecker, James Elroy,",London;The Poetry Bookshop;1915,,The old ships,rev,,elite,1915.0,EGO,1884,m,uk,,,,0.6810089919082132
uc1.b4100495,1915,1915,1915,reviewed,6154080.0,367177.0,"Stephens, James,",New York;The Macmillan company;c1915,,Songs from the clay,rev,,,1915.0,PMV,1880,m,ir,,,,0.529199950005112
uc1.b4100799,1915,1915,1915,reviewed,6154216.0,6566006.0,"Wickham, Anna,",London;The Poetry bookshop;1915.,,The contemplative quarry,rev,,,1915.0,EGO,1883,f,uk,,,,0.5922532476214795
nyp.33433066644828,1915,1915,1915,random,8656768.0,,"Sanford, J. E.","Fredonia, N.Y.;Hart;1915.",,"His one tune, and a few others",,,,,,1876,m,us,,,,0.3913555708245284
loc.ark+=13960=t9g458b15,1915,1915,1915,random,9569764.0,,"Ferris, Mary Lanman Douw ""Mrs. Morris P. Ferris,"",",New York;1915,,A legend of New Year eve,,,,,,1855,f,us,,,,0.48669082365527283
mdp.39015008529144,1915,1915,1915,random,583940.0,,"Brooke, Rupert,",New York;John Lane company;1915.,,The collected poems of Rupert Brooke,,,,,,1887,m,uk,,,y,0.7132891214022381
nyp.33433082209861,1915,1915,1915,random,8655884.0,,"Emmons, Earl H.,",New York;E.H. Emmons;c1915,,Redskin rimes,,,,,,1888,m,us,,,,0.5056697066109741
loc.ark+=13960=t2h70wf5d,1915,1915,1915,random,9565582.0,,"Bolmer, Clarence Buckmaster.",New York;The Knickerbocker press;c1915,,Day dreams,,,,,,1858,m,us,,,,0.39921266551622586
nyp.33433066651138,1914,1914,1914,reviewed,8656518.0,20463618.0,"Lindsay, Vachel,","New York;The Macmillan Company;1919, c1914.",,The Congo and other poems,rev,,,1915.0,PMV,1879,m,us,,,,0.5995492137150121
uc1.$b439794,1914,1914,1914,reviewed,632042.0,284968.0,"Kilmer, Joyce,",New York;George H. Doran company;c1914,,Trees,rev,neg,,1914.0,PMV,1886,f,us,,,,0.5787102782272023
uc2.ark+=13960=t4kk95h1q,1914,1914,1914,reviewed,6639062.0,1738726.0,"Benét, William Rose,",New Haven;Yale University Press;1914.,,The falconer of God,rev,,,1914.0,PMV,1886,m,us,,,,0.6814762076946479
loc.ark+=13960=t3029c41j,1914,1914,1914,reviewed,9574671.0,4323914.0,"Clarke, George Herbert,",Cincinnati;Stewart & Kidd;1914,,At the shrine,rev,neg,,1915.0,PMV,1873,m,us,,,,0.6325139567468298
uc2.ark+=13960=fk9v11w414,1914,1914,1914,reviewed,8658399.0,290324.0,"Untermeyer, Louis,",New York;The Century co.;1914.,,Challenge,rev,neg,,1914.0,PMV,1885,m,us,,,,0.6369930219868798
uc1.b3332871,1914,1914,1914,reviewed,7924703.0,1296560.0,"Bangs, John Kendrick,",New York;Macmillan;1914.,,The foothills of Parnassus,rev,neg,,1914.0,PMV,1862,m,us,,,,0.38485458884612256
mdp.39015000595614,1914,1914,1914,reviewed,1376256.0,5104656.0,"Oppenheim, James,",New York;The Century co.;1914.,,"Songs, for the new age",rev,,,1914.0,PMV,1882,m,us,,,,0.651950531568976
uc2.ark+=13960=t5k93645c,1914,1914,1914,reviewed,1025611.0,5198135.0,"Monro, Harold,",London;Poetry Bookshop;1914.,,Children of love,rev,,,1914.0,EGO,1879,m,uk,,,,0.6666193399866502
mdp.39015030756970,1914,1914,1914,reviewed,629642.0,288656.0,"Lowell, Amy,",New York;The MacMillan company;1914.,,Sword blades and poppy seed,rev,,,1914.0,EGO,1874,f,us,,,y,0.6664864281984134
uc2.ark+=13960=t0ht2j42v,1914,1914,1914,reviewed,7682801.0,13539963.0,"Rodker, John,",Whitechapel;To be had of the Author;1914,,Poems,rev,,,1914.0,EGO,1894,m,uk,,,,0.7574422105791178
njp.32101067172872,1917,1917,1914,reviewed,8956117.0,1810171.0,"Sassoon, Siegfried,",London;W. Heinemann;1917,,The old huntsman,rev,,,1914.0,PMV,1886,m,uk,,,y,0.6554189120061711
nyp.33433066636329,1914,1914,1914,reviewed,6502296.0,11165602.0,"Lee, Agnes,","Boston;Sherman, French;1914.",,The sharing,rev,,,1915.0,PMV,1868,f,us,,,,0.6282005705243658
loc.ark+=13960=t40s0mt4z,1914,1914,1914,reviewed,633653.0,1496428.0,"Monroe, Harriet,",New York;The Macmillan company;1914.,,You and I,rev,,,1914.0,EGO,1860,f,us,,,,0.6123748369050014
nyp.33433074961453,1914,1914,1914,random,8656710.0,,"Tolman, Emily.","Boston;Sherman, French & Company;c1914",,To a summer cloud,,,,,,,,,,,,0.4065962277003615
uc2.ark+=13960=t5q81605q,1915,1915,1914,random,7917228.0,,"Morgan, Angela.",New York;E.C. Lewis Co.;c1914.,,The hour has struck;,,,,,,1875,f,us,,,,0.5709228363061938
uc2.ark+=13960=t5p848b89,1914,1914,1914,random,7686075.0,,"Bonus, John,",London;Longmans;1914.,,Thoughts in verse for my friends,,,,,,1828,m,uk,,,,0.4104634948083518
loc.ark+=13960=t8gf19n4c,1914,1914,1914,random,8658103.0,,"Stott, Roscoe Gilmore.",Cincinnati;Stewart & Kidd company;1914,,The man sings,,,,,,1880,m,us,,,,0.4362406814847581
nyp.33433066569025,1914,1914,1914,random,8657400.0,,"Scofield, William Bacon.","Worcester, Mass.;The Commonwealth Press, printers;1914.",,Verses,,,,,,1864,m,us,,,,0.5409500581961737
mdp.39015063919453,1914,1914,1914,random,779417.0,,"Gale, Norman,",London;MacMillan and co.;1914.,,Collected poems,,,,,,1862,m,uk,,,,0.5562264307268446
uc2.ark+=13960=t23b5z68r,1914,1914,1914,random,7654244.0,,"Burton, H. Bindon.",Dublin;Maunsel;1914.,,"Eölsyné, and other poems",,,,,,,,,,,,0.44458817085879354
loc.ark+=13960=t01z4r32p,1914,1914,1914,random,9583129.0,,"Hewes, Charles Edwin,","Estes Park, Col.;The Egerton-Palmer press;c1914",,Songs of the Rockies,,,,,,1870,m,us,,,,0.46088865002398427
nyp.33433074801030,1914,1914,1914,random,8657007.0,,<blank>,Chicago;Charles C. Thompson co.;c1914,,Songs of the underworld,,,,,,1875,m,us,"Yore, Clem",,,0.5241468187535513
loc.ark+=13960=t0ms46c3p,1914,1914,1914,random,9578561.0,,"Maxwell, George Madison,","Roanoke, Va.;Stone Print. and Manufacturing Co.;1914.",,"Bare-foot days, and other poems",,,,,,1876,m,us,,,,0.3124199025937223
loc.ark+=13960=t42r4b17k,1914,1914,1914,random,7661311.0,,"Hinckley, Mercy Adeline,",New York;The Neale Publishing Company;1914.,,Life-colors,,,,,,1871,f,us,,,,0.36619515380434653
mdp.39015063947074,1914,1914,1914,random,324282.0,,"O'Hagan, Thomas,",Toronto;W. Briggs;1914.,,In the heart of the meadow,,,,,,1855,m,ca,,,,0.2723182504315841
nyp.33433075790711,1914,1914,1914,random,8656818.0,,"Fisher, Benjamin Franklin,","Canton, Ohio;The Franklin company;c1914",,Life harmonies,,,,,,1873,m,us,,,,0.38012753624872353
uc2.ark+=13960=t90865x9t,1913,1913,1913,reviewed,6608677.0,10631320.0,"Helston, John.",London;Heinemann;1913.,,Aphrodite,rev,,,1914.0,PMV,1877,m,uk,,obscure,,0.6957846664081595
loc.ark+=13960=t4pk0vn19,1915,1915,1913,reviewed,433785.0,869355.0,"Frost, Robert,",New York;Henry Holt and Company;1915.,,A boy's will,rev,,,1913.0,PMV,1874,m,us,,,y,0.7165490696722233
uc1.b3342492,1913,1913,1913,reviewed,7930712.0,7699852.0,"Towne, Charles Hanson,",New York;M. Kennerley;1913.,,Beyond the stars and other poems,rev,,,1914.0,PMV,1877,m,us,,,,0.7045139539809284
uc2.ark+=13960=t92807683,1913,1913,1913,reviewed,7676720.0,5294931.0,"Wheelock, John Hall,","Boston;Sherman, French;1913.",,Love and liberation;,rev,neg,,1914.0,PMV,1886,m,us,,,,0.6543162506282273
nyp.33433075789499,1913,1913,1913,reviewed,6536257.0,4859603.0,"Evans, Florence Wilkinson.",Boston;New York;Houghton mMifflin company;1913.,,The ride home;,rev,,,1917.0,PMV,1878,f,us,,,,0.7105561530284907
loc.ark+=13960=t0tq6s38g,1913,1913,1913,random,1507483.0,,"Malloch, Douglas.",New York;George H. Doran company;c1913,,The woods,,,,,,1877,m,us,,,,0.5889325663986005
uc2.ark+=13960=t52f7m21r,1913,1913,1913,random,6517156.0,,"Fare, John Thomas,","Los Angeles, Cal.;Grafton Publishing Company;c1913",,In the wilderness,,,,,,1859,m,us,,,,0.434025709280681
loc.ark+=13960=t6834m35p,1913,1913,1913,random,9577242.0,,"Raymond, George Lansing,",New York [etc.;G. P. Putnam's sons;1913.,,The mountains about Williamstown,,,,,,1839,m,us,,,,0.4965601089147488
nyp.33433066569447,1913,1913,1913,random,8656831.0,,"Seitz, Howard Buckwalter,",New York;The Cosmopolitan Press;1913.,,Aeolic lyrics,,,,,,1886,m,us,,,,0.49657205204324945
loc.ark+=13960=t6rx9vf7j,1913,1913,1913,random,9583246.0,,"Courtney, T. Alcliffe.","Chicopee Falls, Mass.;The Rich print;1913.",,Songs of love,,,,,,,,,,,,0.426995324232153
uc1.b4100781,1914,1914,1912,reviewed,1186355.0,582776.0,"Sterling, George,",San Francisco;A. M. Robertson;1914.,copy 2,Beyond the breakers,pub,,,1912.0,PMV,1869,m,us,,,,0.6703441440828947
mdp.39015030719945,1917,1917,1912,reviewed,1188482.0,2195973.0,"Widdemer, Margaret.",New York;H. Holt and company;1917.,,"Factories, poems",pub,,,1912.0,PMV,1884,f,us,,,,0.6458150212591691
uc1.b3335682,1912,1912,1912,reviewed,7688219.0,3105162.0,"Gibson, Wilfrid Wilson,",London;E. Mathews;1912.,v. 2,Fires,rev,pos,,1914.0,FR,1878,m,uk,,,,0.7104511758783398
uc1.b3335683,1912,1912,1912,reviewed,7688219.0,3105162.0,"Gibson, Wilfrid Wilson,",London;E. Mathews;1912.,v. 3,Fires,rev,pos,,1914.0,FR,1878,m,uk,,,,0.76849131592724
uc2.ark+=13960=t0gt5hn4z,1912,1912,1912,reviewed,6639605.0,3753934.0,"Akins, Zoë,",New York;M. Kennerley;1912.,,Interpretations,rev,,,1912.0,PMV,1886,f,us,,,,0.7056130470193023
nyp.33433066650874,1912,1912,1912,reviewed,7912639.0,1864746.0,"Leonard, William Ellery,",New York;B. W. Huebsch;1912.,,The vaunt of man;,rev,,,1913.0,PMV,1876,m,us,,,,0.576621079955687
loc.ark+=13960=t3st8fg8k,1912,1912,1912,reviewed,6607057.0,2025794.0,"Burr, Amelia Josephine,",New York;George H. Doran Company;c1912,,The roadside fire,rev,,,1913.0,PMV,1878,f,us,,,,0.6049524903159227
uc1.b3345658,1912,1912,1912,reviewed,7925688.0,13641242.0,"Sweeny, Mildred M' Neal.",London;Unwin;1912.,,"Men of no land, and other poems",rev,,,1914.0,PMV,,f,uk,,obscure,,0.6527923269456862
loc.ark+=13960=t04x5sr13,1912,1912,1912,reviewed,9563049.0,4315307.0,"Smith, Clark Ashton,","San Francisco, Cal.;A. M. Robertson;1912.",,The star-treader,rev,,,1913.0,PMV,1893,m,us,,,,0.7172122862793173
mdp.39015063931839,1912,1912,1912,reviewed,246795.0,3945103.0,"How, Louis,","Boston;Sherman, French & company;1912.",,The youth replies,rev,,,1913.0,PMV,1873,m,us,,,,0.63970393645543
nyp.33433074890983,1912,1912,1912,reviewed,7912891.0,2726013.0,"Masefield, John,",New York;The Macmillan Company;1912.,,The story of a round-house,rev,,,1913.0,PMV,1878,m,uk,,Laureate!,,0.58432584359854
nyp.33433066651120,1912,1912,1912,random,8656531.0,,"Lindsey, Frederick Brooks.","Boston;Sherman, French, & company;1912.",,The spirit Prospero,,,,,,1871,m,us,,,,0.5960729881892906
nnc1.cu54856230,1912,1912,1912,random,8416975.0,,"Gladden, Washington,","Boston, New York [etc.;The Pilgrim press;c1912",,"Ultima veritas, and other verses",,,,,,1836,m,us,,,,0.39421840500200445
uc2.ark+=13960=t41r6ng25,1912,1912,1912,random,7675249.0,,"Underwood, John Curtis,",New York;1912.,,Americans,,,,,,1874,m,us,,,,0.5359987566868515
nyp.33433066657317,1912,1912,1912,random,7672735.0,,"Shepard, Mary Norsworthy.","Boston;Sherman, French;1912.",,Where it listeth,,,,,,,,,,,,0.6931937411302365
mdp.39015051715038,1914,1914,1912,random,1907795.0,,<blank>,New York;Putnam;1914.,,"Georgian poetry, 1911-1912",,,,,,,,,,,,0.669818508384028
loc.ark+=13960=t4bp0rb8b,1912,1912,1912,random,779908.0,,"Goodwin, Grace Duffield.","Boston;Sherman, French & company;1912.",,Horizon songs,,,,,,1869,f,us,,,,0.5958813758013382
uc2.ark+=13960=t1td9p63g,1912,1912,1912,random,7921812.0,,"Peterson, Edmund Deacon.",New York;The Cosmopolitan press;1912.,,"Eros, and other poems",,,,,,1853,m,us,,birthdate is guesswork,,0.4782082046996873
nyp.33433076039506,1912,1912,1912,random,8655537.0,,"Adams, Adeline,",New York;Priv. Print.;1912.,,Sylvia,,,,,,1858,f,us,,,,0.6036217846093773
uc2.ark+=13960=t3qv3cf46,1912,1912,1912,random,7664477.0,,"Kiser, Samuel E.",Chicago;P. F. Volland;1912.,,The land of little care,,,,,,1862,m,us,,,,0.5057553420207238
uc2.ark+=13960=t5db86m4v,1912,1912,1912,random,6154333.0,,"Henderson, Alice Corbin,",Chicago;R. F. Seymour;c1912,,The spinning woman of the sky;,,,,,,1881,f,us,,,,0.7422106842235909
uc2.ark+=13960=t5h98zx14,1912,1912,1912,reviewed,,,"Lowell, Amy,",Boston;Houghton Mifflin Co.;1912.,,A dome of many-colored glass,rev,,,1914.0,EGO,1874,f,us,,,y,0.6659654688733405
uc2.ark+=13960=t8qc01599,1911,1911,1911,reviewed,6501813.0,1468399.0,"Davies, W. H.",London;A. C. Fifield;1911.,,Songs of joy and others,rev,pos,,1914.0,FR,1871,m,uk,,,,0.586253330882574
nyp.33433074800131,1911,1911,1911,reviewed,8656854.0,2046049.0,"Wilkinson, Marguerite Ogden Bigelow,","Boston;Sherman, French & company;1911.",,In vivid gardens; songs of the woman spirit,rev,,,1913.0,PMV,1883,f,us,,,,0.5007585988461487
uc2.ark+=13960=t3rv0d813,1911,1911,1911,reviewed,7650004.0,7335020.0,"Watts, Harvey Maitland,",Philadelphia;The John C. Winston company;1911.,,The wife of Potiphar,rev,neg,,1913.0,PMV,1864,m,us,,,,0.5834064603725773
uc2.ark+=13960=t6d221h2q,1911,1911,1911,random,7917155.0,,"Phipps, Sarah Metcalf.",New York;1911.,,Thoughts in rhyme,,,,,,,,,,,,0.5027533971770481
nyp.33433074826789,1911,1911,1911,random,7649974.0,,"Warman, Cy,","Boston;Rand Avery co.; [etc., etc.;c1911",,Songs of Cy Warman,,,,,,1855,m,us,,,,0.5152647399084492
uc2.ark+=13960=t7hq3sh5d,1911,1911,1911,random,1020865.0,,"Barnard, William Francis.",Chicago;The Fraternal press;1911.,,"The tongues of toil, and other poems",,,,,,1840,m,us,,,,0.5374021340776268
nyp.33433066601869,1911,1911,1911,random,450244.0,,"Hough, Alfred J.",Boston;R. G. Badger;1911.,,Egyptian melodies,,,,,,1848,m,us,,,,0.4392094488583335
nyp.33433074835962,1910,1910,1910,reviewed,8657714.0,6354506.0,"Van Rensselaer, Schuyler,",New York;The Macmillan company;1910.,,Poems,pub,,,1912.0,PMV,1851,f,us,"Van Rensselaer, Schuyler, Mrs.",obscure,,0.6072645963282338
uc2.ark+=13960=t9862dr88,1912,1912,1910,random,7654437.0,,"Campbell, Archibald Y.","Cambridge;W. Heffer;London;Simpkin, Marshall;1912.",,Poems,,,,,,1885,m,uk,,,,0.6031758425207847
loc.ark+=13960=t23b6hk19,1910,1910,1910,random,9565268.0,,"Farnsworth, Edward Clarence.","Portland, Me.;Smith & Sale;1910.",,Saint Helena,,,,,,,,,,,,0.43617669712274487
mdp.39015063926003,1910,1910,1910,random,324552.0,,"Ranum, Louise Cann,",Boston;The Poet lore company;1910.,,Dreams,,,,,,1871,f,us,,birth estimated,,0.6176856714481306
uc2.ark+=13960=fk57d2qj4c,1910,1910,1910,reviewed,,,"Robinson, Edwin Arlington,",New York;Scribner;1910.,,The town down the river,rev,,,1906.0,FR,1869,m,us,,,y,0.5678282935038741
uva.x002264382,1908,1908,1908,reviewed,9794369.0,1648765.0,"Field, Michael.",London;T. Fisher Unwin;1908.,,Wild honey from various thyme,rev,,elite,1908.0,TNA,1846,f,uk,"Bradley, Katharine Harris",,y,0.6447734689651502
uc2.ark+=13960=t1cj8g26m,1922,1922,1908,reviewed,,,"Davies, W. H.",London;Cape;1922.,,Nature poems and others,rev,pos,,1914.0,FR,1871,m,uk,,,,0.6282915732802147
uc1.b4100432,1907,1907,1907,random,6154048.0,,"Eilshemius, Louis M.",New York City;E. Lewis;c1907,,All about girls,,,,,,1864,m,us,,,,0.5361838887560288
uc1.b3810610,1907,1907,1907,reviewed,1020283.0,793696.0,"Colum, Padraic,",Dublin;Maunsel;1907.,,Wild earth;,rev,pos,,1908.0,TNA,1881,m,ir,,,,0.6387751826752708
uc2.ark+=13960=t4cn71f36,1911,1911,1907,reviewed,6634051.0,9177416.0,"Ainslie, Douglas,",London;A. Constable;Elkin Mathews;1911,,Mirage,pub,,,1907.0,FR,1865,m,uk,,,,0.580127882781332
loc.ark+=13960=t7wm1rg17,1907,1907,1907,random,9587715.0,,"Johnson, Felicia Ross. [from old catalog]",Boston;R.G. Badger;1907.,,Seamstress and poet,,,,,,,f,us,,,,0.6507739634256976
mdp.39015031228516,1907,1907,1907,reviewed,,,"Davies, W. H.",London;E. Mathews;1907.,,New poems,rev,pos,,1914.0,FR,1871,m,uk,,,,0.5577444048993644
loc.ark+=13960=t63494g1k,1908,1908,1907,random,,,"Creel, George,",San Francisco;New York;P. Elder & Company;c1908,,Quatrains of Christ,,,,,,1876,m,us,,,,0.5001266072890271
mdp.39015065250162,1905,1905,1905,reviewed,778684.0,1189647.0,"Branch, Anna Hempstead,","Boston;New York;Houghton, Mifflin and Co.;1905",,"The shoes that danced, and other poems",rev,pos,,1905.0,ATL,1875,f,us,,,,0.5865407362331847
nyp.33433074844253,1905,1905,1905,reviewed,8666934.0,37193973.0,"Clifford, Ethel.",London;J. Lane;1905.,,Love's journey,pub,,,1904.0,FR,1876,f,uk,,obscure,,0.6985389306611911
uc2.ark+=13960=t3zs2qr30,1905,1905,1905,reviewed,439399.0,2457739.0,"Davidson, John,",London;New York;J. Lane;1905.,,Selected poems,rev,pos,,1905.0,ATL,1857,m,uk,,,,0.590378647482436
nyp.33433075831325,1905,1905,1905,random,7660439.0,,"Grant, Percy Stickney,",New York;Ingalls Kimball;1905.,,Ad matrem,,,,,,1860,m,us,,,,0.521868755886076
uc2.ark+=13960=t5gb1xt7n,1905,1905,1905,random,436865.0,,"Herford, Oliver,",New York;C. Scribner's sons;1905,,The fairy godmother-in-law,,,,,,1863,m,us,,,,0.7072176193492595
nyp.33433075741672,1905,1905,1905,random,8657544.0,,"Thomas, Cynthia D. Harvey,","Jackson, Mich.;Daily Citizen Printing House;1905.",,Light in the cloud,,,,,,1841,f,us,,,,0.2963480813138002
nyp.33433045638883,1916,1916,1905,random,6130699.0,,"Hay, John,",Boston;Houghton Mifflin company;1916.,,The complete poetical works of John Hay,,,,,,1838,m,us,,,,0.5576039565900067
uc2.ark+=13960=t0vq2v44m,1907,1895,1904,reviewed,7677494.0,2568797.0,"Woods, Margaret L.",London;Macmillan;1907.,,Poems old and new,pub,,,1904.0,FR,1856,f,uk,,,,0.6323902649569971
wu.89083865741,1904,1904,1904,reviewed,5921695.0,276103.0,"Van Dyke, Henry,",New York;C. Scribner's Sons;1904.,,"Music, and other poems",rev,pos,,1905.0,ATL,1852,m,us,,,,0.4957874665013168
loc.ark+=13960=t7zk64j0c,1904,1904,1904,reviewed,324675.0,2204688.0,"Sherman, Frank Dempster,","Boston;New York;Houghton, Mifflin and company;1904.",,Lyrics of joy,rev,pos,,1905.0,ATL,1860,m,us,,,,0.7102507906510478
nyp.33433075816078,1904,1904,1904,random,8656368.0,,"Ehrmann, Max,",New York;Dodge Publishing Co.;1904,,Breaking home ties,,,,,,1872,m,us,,,,0.40076831313486144
loc.ark+=13960=t8w95rc5h,1904,1904,1904,random,9570189.0,,"St. John, Charles Henry.",Boston;R.G. Badger;1904.,,The dawn of freedom;,,,,,,1830,m,,,,,0.418383560826744
