docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,poe_quarter_1845
loc.ark+=13960=t6rx9vf7j,1913,1913,1913,random,9583246.0,,"Courtney, T. Alcliffe.","Chicopee Falls, Mass.;The Rich print;1913.",,Songs of love,,,,,,,,,,,,0.11939655591471694
uc1.b4100781,1914,1914,1912,reviewed,1186355.0,582776.0,"Sterling, George,",San Francisco;A. M. Robertson;1914.,copy 2,Beyond the breakers,pub,,,1912.0,PMV,1869,m,us,,,,0.9940881720809049
mdp.39015030719945,1917,1917,1912,reviewed,1188482.0,2195973.0,"Widdemer, Margaret.",New York;H. Holt and company;1917.,,"Factories, poems",pub,,,1912.0,PMV,1884,f,us,,,,0.9999037177168733
uc1.b3335682,1912,1912,1912,reviewed,7688219.0,3105162.0,"Gibson, Wilfrid Wilson,",London;E. Mathews;1912.,v. 2,Fires,rev,pos,,1914.0,FR,1878,m,uk,,,,0.9999934340200232
uc1.b3335683,1912,1912,1912,reviewed,7688219.0,3105162.0,"Gibson, Wilfrid Wilson,",London;E. Mathews;1912.,v. 3,Fires,rev,pos,,1914.0,FR,1878,m,uk,,,,0.9999889388362547
uc2.ark+=13960=t0gt5hn4z,1912,1912,1912,reviewed,6639605.0,3753934.0,"Akins, Zoë,",New York;M. Kennerley;1912.,,Interpretations,rev,,,1912.0,PMV,1886,f,us,,,,0.9989053348256757
nyp.33433066650874,1912,1912,1912,reviewed,7912639.0,1864746.0,"Leonard, William Ellery,",New York;B. W. Huebsch;1912.,,The vaunt of man;,rev,,,1913.0,PMV,1876,m,us,,,,0.9985943682906839
loc.ark+=13960=t3st8fg8k,1912,1912,1912,reviewed,6607057.0,2025794.0,"Burr, Amelia Josephine,",New York;George H. Doran Company;c1912,,The roadside fire,rev,,,1913.0,PMV,1878,f,us,,,,0.9264168578055334
uc1.b3345658,1912,1912,1912,reviewed,7925688.0,13641242.0,"Sweeny, Mildred M' Neal.",London;Unwin;1912.,,"Men of no land, and other poems",rev,,,1914.0,PMV,,f,uk,,obscure,,0.99958687969857
loc.ark+=13960=t04x5sr13,1912,1912,1912,reviewed,9563049.0,4315307.0,"Smith, Clark Ashton,","San Francisco, Cal.;A. M. Robertson;1912.",,The star-treader,rev,,,1913.0,PMV,1893,m,us,,,,0.9998375250898505
mdp.39015063931839,1912,1912,1912,reviewed,246795.0,3945103.0,"How, Louis,","Boston;Sherman, French & company;1912.",,The youth replies,rev,,,1913.0,PMV,1873,m,us,,,,0.9926450278567395
nyp.33433074890983,1912,1912,1912,reviewed,7912891.0,2726013.0,"Masefield, John,",New York;The Macmillan Company;1912.,,The story of a round-house,rev,,,1913.0,PMV,1878,m,uk,,Laureate!,,0.05212946751735203
nyp.33433066651120,1912,1912,1912,random,8656531.0,,"Lindsey, Frederick Brooks.","Boston;Sherman, French, & company;1912.",,The spirit Prospero,,,,,,1871,m,us,,,,0.985528469300838
nnc1.cu54856230,1912,1912,1912,random,8416975.0,,"Gladden, Washington,","Boston, New York [etc.;The Pilgrim press;c1912",,"Ultima veritas, and other verses",,,,,,1836,m,us,,,,0.9162025264534598
uc2.ark+=13960=t41r6ng25,1912,1912,1912,random,7675249.0,,"Underwood, John Curtis,",New York;1912.,,Americans,,,,,,1874,m,us,,,,0.7441554806461967
nyp.33433066657317,1912,1912,1912,random,7672735.0,,"Shepard, Mary Norsworthy.","Boston;Sherman, French;1912.",,Where it listeth,,,,,,,,,,,,0.9999669779954494
mdp.39015051715038,1914,1914,1912,random,1907795.0,,<blank>,New York;Putnam;1914.,,"Georgian poetry, 1911-1912",,,,,,,,,,,,0.9981412825641625
loc.ark+=13960=t4bp0rb8b,1912,1912,1912,random,779908.0,,"Goodwin, Grace Duffield.","Boston;Sherman, French & company;1912.",,Horizon songs,,,,,,1869,f,us,,,,0.9997457029173609
uc2.ark+=13960=t1td9p63g,1912,1912,1912,random,7921812.0,,"Peterson, Edmund Deacon.",New York;The Cosmopolitan press;1912.,,"Eros, and other poems",,,,,,1853,m,us,,birthdate is guesswork,,0.878863461837132
nyp.33433076039506,1912,1912,1912,random,8655537.0,,"Adams, Adeline,",New York;Priv. Print.;1912.,,Sylvia,,,,,,1858,f,us,,,,0.9699315521921816
uc2.ark+=13960=t3qv3cf46,1912,1912,1912,random,7664477.0,,"Kiser, Samuel E.",Chicago;P. F. Volland;1912.,,The land of little care,,,,,,1862,m,us,,,,0.2755017923608528
uc2.ark+=13960=t5db86m4v,1912,1912,1912,random,6154333.0,,"Henderson, Alice Corbin,",Chicago;R. F. Seymour;c1912,,The spinning woman of the sky;,,,,,,1881,f,us,,,,0.9981745861867706
uc2.ark+=13960=t5h98zx14,1912,1912,1912,reviewed,,,"Lowell, Amy,",Boston;Houghton Mifflin Co.;1912.,,A dome of many-colored glass,rev,,,1914.0,EGO,1874,f,us,,,y,0.9966342875514416
uc2.ark+=13960=t8qc01599,1911,1911,1911,reviewed,6501813.0,1468399.0,"Davies, W. H.",London;A. C. Fifield;1911.,,Songs of joy and others,rev,pos,,1914.0,FR,1871,m,uk,,,,0.9949171505266183
nyp.33433074800131,1911,1911,1911,reviewed,8656854.0,2046049.0,"Wilkinson, Marguerite Ogden Bigelow,","Boston;Sherman, French & company;1911.",,In vivid gardens; songs of the woman spirit,rev,,,1913.0,PMV,1883,f,us,,,,0.9989397231962303
uc2.ark+=13960=t3rv0d813,1911,1911,1911,reviewed,7650004.0,7335020.0,"Watts, Harvey Maitland,",Philadelphia;The John C. Winston company;1911.,,The wife of Potiphar,rev,neg,,1913.0,PMV,1864,m,us,,,,0.9603780483441198
uc2.ark+=13960=t6d221h2q,1911,1911,1911,random,7917155.0,,"Phipps, Sarah Metcalf.",New York;1911.,,Thoughts in rhyme,,,,,,,,,,,,0.002020975340570819
nyp.33433074826789,1911,1911,1911,random,7649974.0,,"Warman, Cy,","Boston;Rand Avery co.; [etc., etc.;c1911",,Songs of Cy Warman,,,,,,1855,m,us,,,,0.6881575645239871
uc2.ark+=13960=t7hq3sh5d,1911,1911,1911,random,1020865.0,,"Barnard, William Francis.",Chicago;The Fraternal press;1911.,,"The tongues of toil, and other poems",,,,,,1840,m,us,,,,0.9932529725107627
nyp.33433066601869,1911,1911,1911,random,450244.0,,"Hough, Alfred J.",Boston;R. G. Badger;1911.,,Egyptian melodies,,,,,,1848,m,us,,,,0.21341867192256955
nyp.33433074835962,1910,1910,1910,reviewed,8657714.0,6354506.0,"Van Rensselaer, Schuyler,",New York;The Macmillan company;1910.,,Poems,pub,,,1912.0,PMV,1851,f,us,"Van Rensselaer, Schuyler, Mrs.",obscure,,0.9995857968792936
uc2.ark+=13960=t9862dr88,1912,1912,1910,random,7654437.0,,"Campbell, Archibald Y.","Cambridge;W. Heffer;London;Simpkin, Marshall;1912.",,Poems,,,,,,1885,m,uk,,,,0.9982916340291073
loc.ark+=13960=t23b6hk19,1910,1910,1910,random,9565268.0,,"Farnsworth, Edward Clarence.","Portland, Me.;Smith & Sale;1910.",,Saint Helena,,,,,,,,,,,,0.13043058687163495
mdp.39015063926003,1910,1910,1910,random,324552.0,,"Ranum, Louise Cann,",Boston;The Poet lore company;1910.,,Dreams,,,,,,1871,f,us,,birth estimated,,0.9999496972506255
uc2.ark+=13960=fk57d2qj4c,1910,1910,1910,reviewed,,,"Robinson, Edwin Arlington,",New York;Scribner;1910.,,The town down the river,rev,,,1906.0,FR,1869,m,us,,,y,0.995311202680143
uva.x002264382,1908,1908,1908,reviewed,9794369.0,1648765.0,"Field, Michael.",London;T. Fisher Unwin;1908.,,Wild honey from various thyme,rev,,elite,1908.0,TNA,1846,f,uk,"Bradley, Katharine Harris",,y,0.9993894369037097
uc2.ark+=13960=t1cj8g26m,1922,1922,1908,reviewed,,,"Davies, W. H.",London;Cape;1922.,,Nature poems and others,rev,pos,,1914.0,FR,1871,m,uk,,,,0.9854285653316964
uc1.b4100432,1907,1907,1907,random,6154048.0,,"Eilshemius, Louis M.",New York City;E. Lewis;c1907,,All about girls,,,,,,1864,m,us,,,,0.9978561759818555
uc1.b3810610,1907,1907,1907,reviewed,1020283.0,793696.0,"Colum, Padraic,",Dublin;Maunsel;1907.,,Wild earth;,rev,pos,,1908.0,TNA,1881,m,ir,,,,0.9999233350580999
uc2.ark+=13960=t4cn71f36,1911,1911,1907,reviewed,6634051.0,9177416.0,"Ainslie, Douglas,",London;A. Constable;Elkin Mathews;1911,,Mirage,pub,,,1907.0,FR,1865,m,uk,,,,0.9468215140204033
loc.ark+=13960=t7wm1rg17,1907,1907,1907,random,9587715.0,,"Johnson, Felicia Ross. [from old catalog]",Boston;R.G. Badger;1907.,,Seamstress and poet,,,,,,,f,us,,,,0.9999613249894276
mdp.39015031228516,1907,1907,1907,reviewed,,,"Davies, W. H.",London;E. Mathews;1907.,,New poems,rev,pos,,1914.0,FR,1871,m,uk,,,,0.9601935388427573
loc.ark+=13960=t63494g1k,1908,1908,1907,random,,,"Creel, George,",San Francisco;New York;P. Elder & Company;c1908,,Quatrains of Christ,,,,,,1876,m,us,,,,0.8146674614915548
mdp.39015065250162,1905,1905,1905,reviewed,778684.0,1189647.0,"Branch, Anna Hempstead,","Boston;New York;Houghton, Mifflin and Co.;1905",,"The shoes that danced, and other poems",rev,pos,,1905.0,ATL,1875,f,us,,,,0.964129630679165
nyp.33433074844253,1905,1905,1905,reviewed,8666934.0,37193973.0,"Clifford, Ethel.",London;J. Lane;1905.,,Love's journey,pub,,,1904.0,FR,1876,f,uk,,obscure,,0.9991397695341013
uc2.ark+=13960=t3zs2qr30,1905,1905,1905,reviewed,439399.0,2457739.0,"Davidson, John,",London;New York;J. Lane;1905.,,Selected poems,rev,pos,,1905.0,ATL,1857,m,uk,,,,0.9573271494294281
nyp.33433075831325,1905,1905,1905,random,7660439.0,,"Grant, Percy Stickney,",New York;Ingalls Kimball;1905.,,Ad matrem,,,,,,1860,m,us,,,,0.9544365094421337
uc2.ark+=13960=t5gb1xt7n,1905,1905,1905,random,436865.0,,"Herford, Oliver,",New York;C. Scribner's sons;1905,,The fairy godmother-in-law,,,,,,1863,m,us,,,,3.162833158975256e-08
nyp.33433075741672,1905,1905,1905,random,8657544.0,,"Thomas, Cynthia D. Harvey,","Jackson, Mich.;Daily Citizen Printing House;1905.",,Light in the cloud,,,,,,1841,f,us,,,,0.8462373651407686
nyp.33433045638883,1916,1916,1905,random,6130699.0,,"Hay, John,",Boston;Houghton Mifflin company;1916.,,The complete poetical works of John Hay,,,,,,1838,m,us,,,,0.9848541590131388
uc2.ark+=13960=t0vq2v44m,1907,1895,1904,reviewed,7677494.0,2568797.0,"Woods, Margaret L.",London;Macmillan;1907.,,Poems old and new,pub,,,1904.0,FR,1856,f,uk,,,,0.9985559675337106
wu.89083865741,1904,1904,1904,reviewed,5921695.0,276103.0,"Van Dyke, Henry,",New York;C. Scribner's Sons;1904.,,"Music, and other poems",rev,pos,,1905.0,ATL,1852,m,us,,,,0.9708817600845402
loc.ark+=13960=t7zk64j0c,1904,1904,1904,reviewed,324675.0,2204688.0,"Sherman, Frank Dempster,","Boston;New York;Houghton, Mifflin and company;1904.",,Lyrics of joy,rev,pos,,1905.0,ATL,1860,m,us,,,,0.9995805677194941
nyp.33433075816078,1904,1904,1904,random,8656368.0,,"Ehrmann, Max,",New York;Dodge Publishing Co.;1904,,Breaking home ties,,,,,,1872,m,us,,,,0.9979928051540224
loc.ark+=13960=t8w95rc5h,1904,1904,1904,random,9570189.0,,"St. John, Charles Henry.",Boston;R.G. Badger;1904.,,The dawn of freedom;,,,,,,1830,m,,,,,0.010268966336903978
