"docid","actualdate","earliestdate","firstpub","tags","recordid","OCLC","author","imprint","enumcron","title","pubrev","judge","impaud","yrrev","pubname","birthdate","gender","nationality","othername","notes","canon","path","authsvols","publisher"
"mdp.39015064466116",1851,1851,1851,"elite",326943,1692038,"Borrow, George Henry","London;J. Murray;1851.","v.2","Lavengro;","rev","<blank>","<blank>",1857,"QR",1803,"m","uk",,,,"mdp/pairtree_root/39/01/50/64/46/61/16/39015064466116/mdp.39015064466116.json.bz2",23,"Murray"
"mdp.39015064466108",1851,1851,1851,"elite",326943,1692038,"Borrow, George Henry","London;J. Murray;1851.","v.3","Lavengro;","rev","<blank>","<blank>",1857,"QR",1803,"m","uk",,,,"mdp/pairtree_root/39/01/50/64/46/61/08/39015064466108/mdp.39015064466108.json.bz2",23,"Murray"
"uc2.ark+=13960=t81j9d133",1851,1851,1848,"vulgar",,,"Watson, William Davy","London;Smith, Elder;1851.",,"Trevethlan",,,,,,1811,"m","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/81/j9/d1/33/ark+=13960=t81j9d133/uc2.ark+=13960=t81j9d133.json.bz2",8,"Smith Elder"
"nyp.33433076049380",1852,1852,1852,"vulgar",,,"Peterson, Charles J","Philadelphia;T. B. Peterson;c1852",,"The cabin and parlor; or, Slaves and masters",,,,,,1818,"m","us",,,,"nyp/pairtree_root/33/43/30/76/04/93/80/33433076049380/nyp.33433076049380.json.bz2",4,"Peterson"
"uiuo.ark+=13960=t3708cf7k",1852,1852,1852,"vulgar",,,"Belfast, Frederick Richard Chichester","London;1852.",,"The farce of life",,,,,,1827,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/37/08/cf/7k/ark+=13960=t3708cf7k/uiuo.ark+=13960=t3708cf7k.json.bz2",9,
"uc2.ark+=13960=t7dr2xx5g",1852,1852,1852,"vulgar",,,"Lowndes, Hannah Maria Jones","London;Printed for the proprietors by M'Gowan & Co.;1852.",,"Katharine Bereford; or, The shade and sunshine of woman's life",,,,,,1800,"f","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/7d/r2/xx/5g/ark+=13960=t7dr2xx5g/uc2.ark+=13960=t7dr2xx5g.json.bz2",2,"Printed For Proprietors M'Gowan"
"uc2.ark+=13960=t1xd10385",1852,1852,1852,"vulgar",,,"Bennett, Emerson","Philadelphia;T.B. Peterson;c1852",,"Viola; or, Adventures in the far South-west",,,,,,1822,"m","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/1x/d1/03/85/ark+=13960=t1xd10385/uc2.ark+=13960=t1xd10385.json.bz2",38,"Peterson"
"uc1.b250587",1852,1852,1852,"elite",6502576,23201650,"Sinclair, Catherine","London;R. Bentley;1852.","v. 3","Beatrice, or, The unknown relatives","rev","<blank>","<blank>",1855,"TEM",1800,"f","uk",,,,"uc1/pairtree_root/$b/25/05/87/$b250587/uc1.$b250587.json.bz2",40,"Bentley"
"uc1.b3325180",1852,1852,1852,"vulgar",,,"Thompson, Daniel P","Boston;B.B. Mussey;1852.",,"May Martin, and other tales of the Green Mountains",,,,,,1795,"m","us",,,,"uc1/pairtree_root/b3/32/51/80/b3325180/uc1.b3325180.json.bz2",15,"Mussey"
"nyp.33433074862560",1852,1852,1852,"vulgar",,,"Gwynne, Talbot","New York;Harper & brothers;1852.",,"The school for fathers",,,,,,1811,"f","uk",,,,"nyp/pairtree_root/33/43/30/74/86/25/60/33433074862560/nyp.33433074862560.json.bz2",3,"Harper"
"nyp.33433074895990",1852,1852,1852,"vulgar",,,"McKinnon, William Charles","Halifax;E.G. Fuller;1852.",,"St. George; or, The Canadian league",,,,,,1828,"m","ca",,,,"nyp/pairtree_root/33/43/30/74/89/59/90/33433074895990/nyp.33433074895990.json.bz2",2,"Halifax Fuller"
"uiuo.ark+=13960=t6xw4qm1j",1853,1852,1852,"vulgar",,,"Cole, Alfred Whaley","London;T.C. Newby;1853.",,"Hope",,,,,,1812,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/6x/w4/qm/1j/ark+=13960=t6xw4qm1j/uiuo.ark+=13960=t6xw4qm1j.json.bz2",2,"Newby"
"uc2.ark+=13960=t1xd0w07q",1852,1852,1852,"elite",7687042,9578697,"Craik, Dinah Maria Mulock","London;Chapman and Hall;1852.","v.3","The head of the family","rev","pos","<blank>",1853,"ER",1826,"f","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/1x/d0/w0/7q/ark+=13960=t1xd0w07q/uc2.ark+=13960=t1xd0w07q.json.bz2",168,"Chapman Hall"
"uc1.b3325618",1852,1852,1852,"elite",6131755,22468470,"Marsh-Caldwell, Anne","London;Colburn;1852.","v. 2","Castle Avon","rev","<blank>","<blank>",1855,"TEM",1791,"f","uk",,,,"uc1/pairtree_root/b3/32/56/18/b3325618/uc1.b3325618.json.bz2",97,"Colburn"
"uc1.b3325617",1852,1852,1852,"elite",6131755,22468470,"Marsh-Caldwell, Anne","London;Colburn;1852.","v. 1","Castle Avon","rev","<blank>","<blank>",1855,"TEM",1791,"f","uk",,,,"uc1/pairtree_root/b3/32/56/17/b3325617/uc1.b3325617.json.bz2",97,"Colburn"
"uc1.b250586",1852,1852,1852,"elite",6502576,23201650,"Sinclair, Catherine","London;R. Bentley;1852.","v. 2","Beatrice, or, The unknown relatives","rev","<blank>","<blank>",1855,"TEM",1800,"f","uk",,,,"uc1/pairtree_root/$b/25/05/86/$b250586/uc1.$b250586.json.bz2",40,"Bentley"
"uc1.b250585",1852,1852,1852,"elite",6502576,23201650,"Sinclair, Catherine","London;R. Bentley;1852.","v.1","Beatrice, or, The unknown relatives","rev","<blank>","<blank>",1855,"TEM",1800,"f","uk",,,,"uc1/pairtree_root/$b/25/05/85/$b250585/uc1.$b250585.json.bz2",40,"Bentley"
"uc1.b3325619",1852,1852,1852,"elite",6131755,22468470,"Marsh-Caldwell, Anne","London;Colburn;1852.","v. 3","Castle Avon","rev","<blank>","<blank>",1855,"TEM",1791,"f","uk",,,,"uc1/pairtree_root/b3/32/56/19/b3325619/uc1.b3325619.json.bz2",97,"Colburn"
"uc2.ark+=13960=t53f4r152",1852,1852,1852,"elite",7687042,9578697,"Craik, Dinah Maria Mulock","London;Chapman and Hall;1852.","v.1","The head of the family","rev","pos","<blank>",1853,"ER",1826,"f","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/53/f4/r1/52/ark+=13960=t53f4r152/uc2.ark+=13960=t53f4r152.json.bz2",168,"Chapman Hall"
"uc2.ark+=13960=t7jq0zc1x",1852,1852,1852,"elite",7687042,9578697,"Craik, Dinah Maria Mulock","London;Chapman and Hall;1852.","v.2","The head of the family","rev","pos","<blank>",1853,"ER",1826,"f","uk",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/7j/q0/zc/1x/ark+=13960=t7jq0zc1x/uc2.ark+=13960=t7jq0zc1x.json.bz2",168,"Chapman Hall"
"nyp.33433074947171",1860,1853,1853,"elite",8691049,37220659,"Cockton, Henry","Philadelphia;T.B. Peterson;1860?","<blank>","Percy Effingham","rev","<blank>","<blank>",1853,"TEM",1807,"m","uk",,,,"nyp/pairtree_root/33/43/30/74/94/71/71/33433074947171/nyp.33433074947171.json.bz2",27,"Peterson"
"nyp.33433076053416",1853,1853,1853,"vulgar",,,"Prime, William Cowper","New York;Harper & brothers;1853.",,"The old house by the river",,,,,,1825,"m","us",,,,"nyp/pairtree_root/33/43/30/76/05/34/16/33433076053416/nyp.33433076053416.json.bz2",12,"Harper"
"nyp.33433084128655",1855,1853,1853,"vulgar",,,"Yonge, Charlotte M","Leipzig;Bernhard Tauchnitz;1855.",,"The heir of Redclyffe",,,,,,1823,"f","uk",,,,"nyp/pairtree_root/33/43/30/84/12/86/55/33433084128655/nyp.33433084128655.json.bz2",218,"Bernhard Tauchnitz"
"njp.32101068168424",1853,1853,1853,"elite",8968436,43336285,"Crosland, Newton","London;Routledge;1853.","<blank>","Stray leaves from shady places","rev","pos","<blank>",1853,"TEM",1812,"f","uk",,,,"njp/pairtree_root/32/10/10/68/16/84/24/32101068168424/njp.32101068168424.json.bz2",12,"Routledge"
"uc1.b3327126",1859,1853,1853,"vulgar",,,"Rowcroft, Charles","Philadelphia;J. W. Bradley;1859.",,"The Australian Crusoes",,,,,,1798,"m","uk",,,,"uc1/pairtree_root/b3/32/71/26/b3327126/uc1.b3327126.json.bz2",17,"Bradley"
"nyp.33433074930144",1853,1853,1853,"elite",324018,535774,"Brontë, Charlotte","New York;Harper & brothers;1853.","<blank>","Villette","rev","<blank>","<blank>",1853,"ER",1816,"f","uk",,,,"nyp/pairtree_root/33/43/30/74/93/01/44/33433074930144/nyp.33433074930144.json.bz2",153,"Harper"
"nyp.33433000665822",1853,1853,1853,"elite",8588672,5632116,"St. John, James Augustus","London;Longman, Brown, Green, & Longmans;1853.","v. 1","There and back again in search of beauty","rev","<blank>","<blank>",1853,"TEM",1795,"m","uk",,,,"nyp/pairtree_root/33/43/30/00/66/58/22/33433000665822/nyp.33433000665822.json.bz2",12,"Longman Brown Green Longmans"
"njp.32101042000354",1853,1853,1853,"vulgar",,,"Irving, John Treat","New York;Samuel Hueston;1853.",,"Harry Harson, or, The benevolent bachelor",,,,,,1812,"m","us",,,,"njp/pairtree_root/32/10/10/42/00/03/54/32101042000354/njp.32101042000354.json.bz2",23,"Samuel Hueston"
"nyp.33433000665830",1853,1853,1853,"elite",8588672,5632116,"St. John, James Augustus","London;Longman, Brown, Green, & Longmans;1853.","v. 2","There and back again in search of beauty","rev","<blank>","<blank>",1853,"TEM",1795,"m","uk",,,,"nyp/pairtree_root/33/43/30/00/66/58/30/33433000665830/nyp.33433000665830.json.bz2",12,"Longman Brown Green Longmans"
"nyp.33433074947270",1853,1853,1853,"vulgar",,,"Collins, A. Maria","Cincinnati, Ohio;Moore, Anderson, Wilstach & Keys;1853.",,"Mrs. Ben Darby",,,,,,,"f","us",,,,"nyp/pairtree_root/33/43/30/74/94/72/70/33433074947270/nyp.33433074947270.json.bz2",2,"Cincinnati Ohio Moore Anderson Wilstach Keys"
"uiuo.ark+=13960=t8mc9hb8b",1854,1853,1853,"elite",8717962,52484879,"Heighway, Osborn W. Trenery","London;Partridge, Oakey & Co.;1854.","v.2","Adeline, or, the mysteries, romance, and realities of Jewish life","rev","<blank>","<blank>",1854,"TEM",0,"m",,,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/8m/c9/hb/8b/ark+=13960=t8mc9hb8b/uiuo.ark+=13960=t8mc9hb8b.json.bz2",3,"Partridge Oakey"
"uiuo.ark+=13960=t76t15w5c",1853,1853,1853,"vulgar",,,"Long, Catharine","London;Hurst and Blackett;1853.",,"The first lieutenant's story",,,,,,1797,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/76/t1/5w/5c/ark+=13960=t76t15w5c/uiuo.ark+=13960=t76t15w5c.json.bz2",7,"Hurst Blackett"
"uiuo.ark+=13960=t83j42304",1854,1853,1853,"elite",8717962,52484879,"Heighway, Osborn W. Trenery","London;Partridge, Oakey & Co.;1854.","v.1","Adeline, or, the mysteries, romance, and realities of Jewish life","rev","<blank>","<blank>",1854,"TEM",0,"m",,,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/83/j4/23/04/ark+=13960=t83j42304/uiuo.ark+=13960=t83j42304.json.bz2",3,"Partridge Oakey"
"uc1.$b809243",1854,1854,1854,"vulgar",,,"Hornblower, Jane Elizabeth Roscoe","New York;R. Carter;1854.",,"Vara, or, The child of adoption",,,,,,1797,"f","us",,,,"uc1/pairtree_root/$b/80/92/43/$b809243/uc1.$b809243.json.bz2",5,"Carter"
"uiuo.ark+=13960=t5fb5fx5f",1854,1854,1854,"elite",8722283,21267288,"Grant, James","London;G. Routledge;1854.","v.2","Philip Rollo, or, The Scottish musketeers","rev","pos","<blank>",1854,"TEM",1822,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/5f/b5/fx/5f/ark+=13960=t5fb5fx5f/uiuo.ark+=13960=t5fb5fx5f.json.bz2",93,"Routledge"
"njp.32101067634343",1869,1854,1854,"vulgar",,,"Hamley, Edward Bruce","Edinburgh;London;William Blackwood and sons;1869.",,"Lady Lee's widowhood",,,,,,1824,"m","uk",,,,"njp/pairtree_root/32/10/10/67/63/43/43/32101067634343/njp.32101067634343.json.bz2",6,"William Blackwood"
"uc1.b3327580",1855,1854,1854,"vulgar",,,"Pike, Mary Hayden Green","Boston;Phillips, Sampson;New York;J. C. Derby;1855.",,"Ida May;",,,,,,1824,"f","us",,,,"uc1/pairtree_root/b3/32/75/80/b3327580/uc1.b3327580.json.bz2",1,"Phillips Sampson Derby"
"njp.32101074760370",1854,1854,1854,"vulgar",,,"Engles, William M","Philadelphia;Presbyterian Board of Publication;c1854.",,"The youth's casket",,,,,,1797,"m","us",,,,"njp/pairtree_root/32/10/10/74/76/03/70/32101074760370/njp.32101074760370.json.bz2",1,"Presbyterian Board Publication"
"wu.89098013279",1854,1854,1854,"vulgar",,,"Bullard, A. T. J","London;James Blackwood;1854.",,"Love affairs, or, How a flirt was caught in his own trap",,,,,,1808,"f","uk",,,,"wu/pairtree_root/89/09/80/13/27/9/89098013279/wu.89098013279.json.bz2",3,"James Blackwood"
"uiuo.ark+=13960=t3nv9vg5k",1854,1854,1854,"elite",8722283,21267288,"Grant, James","London;G. Routledge;1854.","v.1","Philip Rollo, or, The Scottish musketeers","rev","pos","<blank>",1854,"TEM",1822,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/3n/v9/vg/5k/ark+=13960=t3nv9vg5k/uiuo.ark+=13960=t3nv9vg5k.json.bz2",93,"Routledge"
"uiuo.ark+=13960=t1fj2v76r",1854,1854,1854,"elite",391341,13325112,"Gibson, Charles B","Dublin;Hodges and Smith;1854.","v.2","The last earl of Desmond","rev","<blank>","<blank>",1854,"TEM",1808,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/1f/j2/v7/6r/ark+=13960=t1fj2v76r/uiuo.ark+=13960=t1fj2v76r.json.bz2",4,"Hodges Smith"
"uiuo.ark+=13960=t72v35t5b",1854,1854,1854,"vulgar",,,"Sheppard, Elizabeth Sara","London;Smith, Elder;1854.",,"Counterparts, or, The cross of love",,,,,,1830,"f","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/72/v3/5t/5b/ark+=13960=t72v35t5b/uiuo.ark+=13960=t72v35t5b.json.bz2",18,"Smith Elder"
"njp.32101068176260",1854,1854,1854,"vulgar",,,"Cartwright, Robert","London;Smith, Elder & Co.;1854.",,"Ambrose the sculptor",,,,,,,"f","uk",,,,"njp/pairtree_root/32/10/10/68/17/62/60/32101068176260/njp.32101068176260.json.bz2",4,"Smith Elder"
"nyp.33433081830097",1854,1854,1854,"vulgar",,,"Robinson, Solon","New York;De Witt and Davenport, Publishers;1854.",,"Hot corn",,,,,,1803,"m","us",,,,"nyp/pairtree_root/33/43/30/81/83/00/97/33433081830097/nyp.33433081830097.json.bz2",8,"De Witt Davenport Publishers"
"uc2.ark+=13960=t75t3j32m",1857,1854,1854,"vulgar",,,"Russell, Martha","Boston;J. Jewett;1857.",,"Stories of New England life, or, LEaves from the tree Igdrasyl",,,,,,,"f","us",,,,"uc2/pairtree_root/ar/k+/=1/39/60/=t/75/t3/j3/2m/ark+=13960=t75t3j32m/uc2.ark+=13960=t75t3j32m.json.bz2",4,"Jewett"
"uiuo.ark+=13960=t64462k75",1854,1854,1854,"elite",391341,13325112,"Gibson, Charles B","Dublin;Hodges and Smith;1854.","v.1","The last earl of Desmond","rev","<blank>","<blank>",1854,"TEM",1808,"m","uk",,,,"uiuo/pairtree_root/ar/k+/=1/39/60/=t/64/46/2k/75/ark+=13960=t64462k75/uiuo.ark+=13960=t64462k75.json.bz2",4,"Hodges Smith"
