docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,decade
loc.ark+=13960=t5q81t975,1841,1841,1841,reviewed,8656025.0,6267575.0,"Earle, Pliny",Philadelphia;H. Perkins;1841.,,Marathon,rev,pos,,1841.0,GrM,1809,m,us,,,,1840
loc.ark+=13960=t8w95sb6z,1843,1843,1843,reviewed,8655780.0,6505215.0,"Tyler, Robert,",New-York;Harper & brothers;1843.,,Death,rev,neg,,1843.0,GrM,1816,m,us,,,,1840
uc2.ark+=13960=t2z31pm6p,1841,1841,1841,reviewed,7672830.0,7822524.0,"Sigourney, L. H.",London;R. Tyas;1841.,,"Pocahontas, and other poems",rev,,,1842.0,GrM,1791,f,us,,,,1840
loc.ark+=13960=t0sq9fz3z,1843,1843,1843,reviewed,9579656.0,,"Percival, James Gates,",New Haven;S. Babcock;1843.,,Dream of a day,rev,,,1844.0,GrM,1795,m,us,,,,1840
mdp.39015063931565,1845,1845,1845,reviewed,449622.0,1387623.0,"Hirst, Henry Beck,",Boston;Phillips & Sampson;1845.,,The coming of the mammoth,rev,,,1845.0,GrM,1813,m,us,,, ,1840
loc.ark+=13960=t1qf9763h,1842,1842,1842,reviewed,9577674.0,,"Longfellow, Henry Wadsworth,",Cambridge;J. Owen;1842.,,Ballads and other poems,rev,pos,,1842.0,GrM,1807,m,us,,,,1840
uc2.ark+=13960=t17m08m38,1840,1840,1840,random,7688562.0,,"Hanmer, John Hanmer,",London;Edward Moxon;1840.,,Sonnets,,,,,,1809,m,uk,,,,1840
uc2.ark+=13960=t8tb13h9k,1845,1845,1845,random,7689881.0,,"Leckie, Horner, Mrs",Edinburgh;1845?,,[Mrs. Leckie's poems,,,,,,1779,f,uk,,,,1840
hvd.hwh1bt,1841,1841,1841,random,9730588.0,,"Fitchett, John,",London;W. Pickering;1841-42.,v.2,King Alfred,,,,,,1776,m,uk,,,,1840
uc2.ark+=13960=t1bk19943,1840,1840,1840,random,6509556.0,,"Landreth, Peter.","London;Simpkin, Marshall;1840.",,The poet: The infidel,,,,,,,m,uk,,,,1840
njp.32101067706885,1845,1845,1845,random,8964865.0,,"Bingham, Frances Lydia.",London;Simpkin;1845.,,"Hubert; or, The orphans of St. Madelaine",,,,,,1825,f,uk,,,,1840
njp.32101066458066,1847,1847,1845,random,8928075.0,,"Cooper, Thomas,",London;J. Watson;1847.,,The purgatory of suicides,,,,,,1805,m,uk,,,,1840
nyp.33433075971196,1849,1849,1846,random,8656279.0,,"Osgood, Frances Sargent Locke,","New York;Riker, Thorne;1849.",,Poems,,,,,,1811,f,us,,,,1840
loc.ark+=13960=t5cc1sf60,1840,1840,1840,random,9569466.0,,"Page, Theophilus. [from old catalog]",New York;Printed for the author;1840.,,Heavenly musing;,,,,,,,m,us,,,,1840
hvd.hx5ei3,1842,1842,1842,random,9734499.0,,"Foster, Nathan Lanesford,",Philadelphia.;G. W. Gorton;1842.,,The last of his family;,,,,,,1787,m,us,,,,1840
hvd.hwjueh,1841,1841,1839,random,9730581.0,,"Emmons, Richard,",Boston;1841.,,The battle of Bunker Hill,,,,,,1788,m,us,,,,1840
loc.ark+=13960=t4hm64973,1846,1846,1846,random,11207842.0,,"Plumer, Wm.",Bost.;1846.,,Lyrica sacra,,,,,,,m,us,,,,1840
inu.30000108907506,1847,1847,1847,random,10561464.0,,"Tappan, William B.","Boston;Published by Benjamin B. Mussey;London;Chapman, brothers;1847.",,Sacred and miscellaneous poems,,,,,,1794,m,us,,,,1840
uc1.b167500,1855,1855,1855,reviewed,6642455.0,1988592.0,"Bailey, Philip James,",London;Chapman and Hall;1855.,,The mystic and other poems,rev,,,1856.0,ER,1816,m,uk,,,,1850
njp.32101067628436,1856,1856,1856,reviewed,8961146.0,2812874.0,"Aytoun, William Edmondstoune,",Edinburgh;W. Blackwood;1856.,,Bothwell,rev, ,,1851.0,WR,1813,m,uk,,,,1850
uc1.b182439,1856,1856,1856,reviewed,950209.0,11405839.0,"Dobell, Sydney,","London;Smith, Elder;1856.",,England in time of war,rev,neg,,1856.0,ER,1824,m,uk,,,,1850
uc2.ark+=13960=t2s46hv0j,1850,1850,1850,reviewed,1776042.0,423344.0,"Whittier, John Greenleaf,","Boston;Ticknor, Reed, and Fields;1850.",,Songs of labor,rev,pos,,1850.0,GrM,1807,m,us,,,y,1850
uc1.b158313,1852,1852,1852,reviewed,6636088.0,5046801.0,"Boker, George H.",Philadelphia;A. Hart;1852.,,The Podesta's Daughter,rev,pos,,1852.0,GrM,1823,m,us,,,,1850
loc.ark+=13960=t5p84vh35,1856,1856,1855,reviewed,9585316.0,,"Longfellow, Henry Wadsworth,",Boston;Ticknor and Fields;1856.,,The song of Hiawatha,rev,,,1856.0,GrM,1807,m,us,,,y,1850
mdp.39015060438739,1856,1856,1856,random,437987.0,,"Hiller, O. Prescott",London;1856.,,The pleasures of religion and other poems,,,,,,1814,m,uk,,,,1850
nyp.33433074849005,1859,1859,1859,random,7687353.0,,"Farrar, F. W.",Cambridge;Macmillan;1859.,,Lyrics of life,,,,,,1831,m,uk,,,,1850
uc2.ark+=13960=t8x927004,1859,1859,1859,random,7685611.0,,"Beer, John T.",Leeds;Briggate;1859.,,Miscellaneous poems,,,,,,,m,uk,,,,1850
loc.ark+=13960=t1fj32s97,1859,1859,1859,random,9589787.0,,"Carhart, John Wesley,",New-York;Pudney & Russell printers;1859.,,Sunny hours,,,,,,1834,m,us,,,,1850
nyp.33433074800222,1858,1858,1858,random,8657023.0,,"Willie,","Philadelphia;W.S. Young, printer;1858.",,College poems,,,,,,,m,us,,,,1850
uc2.ark+=13960=t2h70bw5m,1851,1851,1851,random,1187558.0,,"Tuckerman, Henry T.","Boston;Ticknor, Reed, and Fields;1851.",,Poems,,,,,,1813,m,us,,,,1850
njp.32101067004570,1862,1862,1862,reviewed,8955882.0,2602074.0,"Wingate, David,",Edinburgh;W. Blackwood;1862.,,Poems and songs,rev,pos,,1862.0,BM,1828,m,uk,,,,1860
uc2.ark+=13960=t16m34j1k,1863,1863,1854,reviewed,7691475.0,5453617.0,"Patmore, Coventry Kersey Dighton,",London;Macmillan & co.;1863.,v.2,The angel in the house,rev,pos,,1858.0,ER,1823,m,uk,,,,1860
uc1.b274909,1867,1867,1861,reviewed,6518328.0,4186986.0,"Greenwell, Dora,",London;Alexander Strahan;1867.,,Poems,rev,,,1861.0,WR,1821,f,uk,,,,1860
dul1.ark+=13960=t75t4h116,1867,1867,1867,reviewed,7506105.0,2657446.0,"Arnold, Matthew,",London;Macmillan and Co.;1867.,,New poems,rev,pos,,1867.0,FR,1822,m,uk,,,y,1860
uc2.ark+=13960=t9v12890g,1862,1862,1857,reviewed,7700846.0,790654.0,"Locker-Lampson, Frederick,",London;B. M. Pickering;1862.,,London lyrics,rev,,,1870.0,ATL,1821,m,uk,,,,1860
uc1.b3556169,1862,1862,1861,reviewed,1423587.0,13221080.0,"Norton, Caroline Sheridan,",Cambridge;London;Macmillan & co.;1862.,,The lady of La Garave,rev,pos,,1862.0,WR,1808,f,uk,,,,1860
uc2.ark+=13960=t6639r26n,1861,1861,1861,reviewed,7687235.0,2495938.0,"De Vere, Aubrey,","London;Longman, Green, Longman and Roberts;1861.",,The sisters,rev,pos,elite,1862.0,ATL,1814,m,uk,,,,1860
njp.32101041423706,1861,1861,1861,reviewed,8889876.0,16810766.0,"Atherstone, Edwin,","London;Longman, Green, Longman, and Roberts;1861.",,Israel in Egypt,rev,,,1862.0,WR,1788,m,uk,,,,1860
loc.ark+=13960=t3qv42x82,1860,1860,1860,reviewed,123714.0,3960344.0,"Dobell, Sydney,",Boston;Ticknor and Fields;1860.,,Poems,rev,,,1860.0,ATL,1824,m,uk,,,,1860
uc2.ark+=13960=t3fx7436h,1861,1861,1849,reviewed,6678434.0,3149781.0,"Tennyson, Alfred Tennyson,",Boston;Ticknor and Fields;1861.,,In memoriam,rev,pos,pop,1855.0,ER,1809,m,uk,,,y,1860
uc2.ark+=13960=t1xd0s923,1863,1863,1854,reviewed,7691475.0,5453617.0,"Patmore, Coventry Kersey Dighton,",London;Macmillan & co.;1863.,v.1,The angel in the house,rev,pos,,1858.0,ER,1823,m,uk,,,,1860
uc2.ark+=13960=t4nk3bw6g,1869,1869,1869,reviewed,7690643.0,13342940.0,"Michell, Nicholas,",London;Chapman;1869.,,Sibyl of Cornwall,rev,,,1869.0,ATL,1807,m,uk,,,,1860
uc2.ark+=13960=t4vh5j76c,1866,1866,1866,reviewed,6611551.0,3917309.0,"Plumptre, E. H.",London;New York;A. Strahan;1866.,,"Master and scholar, etc., etc",rev,,,1866.0,WR,1821,m,uk,,,,1860
uc2.ark+=13960=t06w9c11h,1869,1869,1869,reviewed,1019969.0,2717531.0,"Garnett, Richard,",London;Macmillan and co.;1869.,,Idylls and epigrams,rev,pos,,1869.0,FR,1835,m,uk,,,,1860
uc2.ark+=13960=t9959d062,1869,1869,1869,reviewed,7666094.0,1953983.0,"Lowell, James Russell,",London;Macmillan and Co.;1869.,,Under the willows,rev,pos,,1869.0,FR,1819,m,us,,,y,1860
uc2.ark+=13960=t76t0hr98,1869,1869,1869,reviewed,8657053.0,1871564.0,"Stedman, Edmund Clarence,","Boston;Fields, Osgood, & co.;1869.",,The blameless prince,rev,,,1869.0,ATL,1833,m,us,,,,1860
loc.ark+=13960=t6349841r,1864,1864,1864,reviewed,9576760.0,30440917.0,"Tuckerman, Frederick Goddard,",Boston;Ticknor and Fields;1864.,,Poems,rev,,elite,1864.0,ATL,1821,m,us,,,,1860
loc.ark+=13960=t0tq6gq3d,1868,1868,1868,reviewed,8889221.0,3009632.0,"Larcom, Lucy,","Boston, Mass.;Fields, Osgood & Co.;1869, c1868.",,Poems,rev,,,1868.0,ATL,1824,f,us,,,,1860
uc2.ark+=13960=t58d04x2h,1863,1863,1863,reviewed,1421455.0,2869829.0,"Aldrich, Thomas Bailey,","New York;Carleton; [etc., etc.;1863.",,Poems,rev,,,1867.0,FR,1836,m,us,,,,1860
uc2.ark+=13960=t2k64b16p,1866,1866,1866,reviewed,7645903.0,3079144.0,"Janvier, Francis De Haes,",Philadelphia;J. B. Lippincott & Co.;1866.,,Patriotic poems,rev,,,1866.0,ATL,1817,m,us,,,,1860
njp.32101067646750,1864,1864,1864,reviewed,8962019.0,8625949.0,"Hooper, Lucy Hamilton,",Philadelphia;Leypoldt;1864.,,Poems;,rev,,,1871.0,ATL,1835,f,us,,,,1860
nyp.33433076040298,1869,1869,1869,reviewed,8655517.0,1007050.0,"Abbey, Henry,",New York;A. D. F. Randolph & Co.;1869.,,Stories in verse,rev,,,1869.0,ATL,1842,m,us,,,,1860
uc2.ark+=13960=t3dz0f69d,1860,1860,1860,reviewed,5261368.0,2946939.0,"Whittier, John Greenleaf,",Boston;Ticknor and Fields;1860.,,Home ballads and poems,rev,pos,,1860.0,ATL,1807,m,us,,,y,1860
mdp.39015063880127,1860,1860,1859,reviewed,434297.0,2928822.0,"Hayne, Paul Hamilton,",Boston;Ticknor & Fields;1860.,,Avolio;,rev,,,1860.0,ATL,1830,m,us,,,,1860
nyp.33433075741730,1867,1867,1867,reviewed,8658041.0,2795560.0,"Taylor, Bayard,",Boston;Ticknor and Fields;1867.,,The picture of St. John,rev,,,1867.0,FR,1825,m,us,,,,1860
uc1.b274679,1860,1860,1860,reviewed,6518140.0,1626082.0,"Lowell, Robert,",Boston;Ticknor and Fields;1860.,,Fresh hearts that failed three thousand years ago,rev,,,1860.0,ATL,1816,m,us,,,,1860
uc2.ark+=13960=t3kw57x2q,1860,1860,1860,reviewed,1027102.0,237644.0,"Bryant, William Cullen,",New York;W.A. Townsend;c1860,,A forest hymn,rev,pos,,1860.0,ATL,1794,m,us,,,y,1860
njp.32101068170776,1865,1865,1865,reviewed,8968576.0,15137351.0,"Howe, Julia Ward,","Boston;Lee and Shepard, publishers ...;1887, c1865.",,Later lyrics,pub,,,1862.0,ATL,1819,f,us,,,,1860
uc1.b166356,1866,1866,1866,random,6641760.0,,"Leighton, Robert,",Liverpool;E. Howell;1866.,,Poems,,,,,,1822,m,uk,,,,1860
njp.32101068972841,1863,1863,1863,random,8975917.0,,"Law, Isabella.","London;Smith, Elder;1863.",,Winter weavings,,,,,,,f,uk,,,,1860
uc2.ark+=13960=t35140902,1863,1863,1863,random,7693334.0,,"Vaughan, Thomas,",Hereford;Printed by E. Weymss;1863.,,"Morah; or, The Indian wife;",,,,,,,m,uk,,,,1860
njp.32101066457365,1860,1860,1860,random,8928028.0,,"Collins, Mortimer,","London;Saunders, Otley;1860.",,Summer songs,,,,,,1827,m,uk,,,,1860
nyp.33433074931332,1864,1864,1864,random,8663537.0,,"Taylor, Henry,",London;Chapman and Hall;1864.,v. 3,The poetical works,,,,,,1800,m,uk,,,,1860
uc2.ark+=13960=t1xd0tj53,1863,1863,1863,random,6511775.0,,"Shipley, Orby,","London;Longman, Green, Longman, Roberts, and Green;1863.",,Lyra eucharistica,,,,,,1832,m,uk,,,,1860
uc2.ark+=13960=t0vq2xh3w,1869,1869,1869,random,7691777.0,,"Ranking, Boyd Montgomerie Maurice,",London;Hotten;1869.,,Poems,,,,,,1841,m,uk,,,,1860
uc1.$b389270,1864,1864,1864,random,7693607.0,,"Warren, John Byrne Leicester,",London;Macmillan;1864.,,"Eclogues and monodramas; or, A collection of verses",,,,,,1835,m,uk,,,,1860
uc2.ark+=13960=t40r9pj9p,1867,1867,1867,random,,,"Sawers, Eliza.",Edinburgh;J. Maclaren;1867.,,Under a cloud,,,,,,,f,uk,,,,1860
mdp.39015063980414,1866,1866,1866,random,5238528.0,,"Henry, James,",Dresden;Printed by C.C. Meinhold & Sons;1866.,,Poematia,,,,,,1798,m,uk,,,,1860
njp.32101067300184,1862,1862,1862,random,8957309.0,,"Park, Andrew,",Glasgow;T. Murray;1862.,,The world,,,,,,1807,m,uk,,,,1860
uc2.ark+=13960=t0tq5tm1v,1862,1862,1862,random,6641729.0,,"Kinloch, William Penney,",Edinburgh;Edmonston and Douglas;1862.,,Time's treasure;,,,,,,1801,m,uk,,,,1860
uc2.ark+=13960=t9f47r02d,1868,1868,1868,random,7687303.0,,"Earle, John Charles,","London;Burns, Oates;1868.",,Maximilian,,,,,,1850,m,uk,,,,1860
njp.32101051388039,1862,1862,1862,random,8899308.0,,"Fotherby, Marie J. E.","London;A. Hall, Virtue & Co.;1862.",,Poems,,,,,,1831,f,uk,,,,1860
dul1.ark+=13960=t84j19z0d,1861,1861,1861,random,10943014.0,,"Mangum, A. W.",Raleigh? N.C.;s.n.;between 1861 and 1865].,,The holy shield,,,,,,1834,m,us,,,,1860
mdp.39015014601184,1867,1867,1862,random,1372970.0,,"Heywood, J. C.",New York;Hurd and Houghton;1867.,,Herodias,,,,,,,m,us,,,,1860
mdp.39015065423868,1860,1860,1860,random,5263845.0,,"Newman, John B.",New York;Rudd & Carleton;1860.,,Wa-Wa-Wanda,,,,,,,m,us,,,,1860
loc.ark+=13960=t20c5r23g,1868,1868,1868,random,9560933.0,,"Palmer, James Croxall,",New York;D. Van Nostrand;1868.,,Antarctic mariner's song,,,,,,1811,m,us,,,,1860
loc.ark+=13960=t7qn6kz4k,1866,1866,1866,random,9595246.0,,"Crider, Henry M.,","York, Pa.;Kephart & Crider;1866.",,Pedagogics,,,,,,1839,m,us,,,,1860
loc.ark+=13960=t19k4z26m,1860,1860,1860,random,9575312.0,,"Willis, Nathaniel Parker,","New York;Clark, Austin & Smith;1860.",,"The poems, sacred, passionate, and humorous, of Nathaniel Parker WIllis",,,,,,1806,m,us,,Well-known,,1860
nyp.33433075809081,1867,1867,1867,random,7665283.0,,"MacEuen, Malcolm.",Philadelphia;Mason & Co.;1867.,,A mosaic from Italy,,,,,,1833,m,us,,birthdate estimated,,1860
loc.ark+=13960=t6zw1zm9g,1867,1867,1867,random,9605328.0,,"Cox, Sandford C.",Cincinnati;The author;1867.,,"The evangelist, and other poems",,,,,,1811,m,us,,,,1860
loc.ark+=13960=t5w671s6k,1861,1861,1861,random,6518348.0,,"Jones, Amanda Theodocia,",Buffalo;H. H. Otis [etc.;1861.,,"Ulah, and other poems",,,,,,1835,f,us,,,,1860
njp.32101032484253,1865,1865,1865,random,8888156.0,,"Birdseye, George W.,","New York;J. Dickson, Book and Job Printer;1865.",,Woman and the war,,,,,,1844,m,us,,,,1860
loc.ark+=13960=t7sn0q200,1860,1860,1860,random,9566453.0,,"Chapman, George Walton,",New York;Rudd & Carleton;1860.,,A tribute to Kane,,,,,,1812,m,us,,,,1860
loc.ark+=13960=t9184308z,1866,1866,1866,random,7688670.0,,"Hodson, Joseph.","Westerville, Ohio;W. G. Foster, Printer;1866.",,Miscellaneous poems,,,,,,,m,us,,,,1860
loc.ark+=13960=t7jq1gj08,1862,1862,1862,random,9559402.0,,"Hewes, George Whitfield.",New York;Carleton;1862.,,Ballads of the war,,,,,,1835,m,us,,estimated birth,,1860
uc2.ark+=13960=t7gq6s57q,1869,1869,1869,random,9261121.0,,"Krause, William E. F.",San Francisco;J. Winterburn & Co.;1869.,,The sanctity of marriage,,,,,,,m,us,,,,1860
uc1.32106001957635,1872,1872,1872,reviewed,7119642.0,3023728.0,"Tennyson, Alfred Tennyson,",Boston;J. R. Osgood and company;1872.,,Gareth and Lynette,rev,,,1872.0,FR,1809,m,uk,,,y,1870
uc2.ark+=13960=t1kh0gm2b,1870,1870,1870,reviewed,6155976.0,1683664.0,"Myers, F. W. H.",London;Macmillan;1870.,,Poems,rev,,pop,1870.0,BM,1843,m,uk,,,,1870
uc1.b3315153,1875,1875,1875,reviewed,6130725.0,4141256.0,"Scott, William Bell,","London;Longmans, Green;1875.",,Poems,pub,,,1868.0,FR,1811,m,uk,,,,1870
uc2.ark+=13960=t7gq6x66b,1875,1875,1875,reviewed,,,"Swinburne, Algernon Charles,",London;Chatto and Windus ...;1875.,,Songs of two nations,,,,1873.0,FR,1837,m,uk,,,y,1870
uva.x000169685,1874,1874,1874,reviewed,9789400.0,3200115.0,"Rankine, William John Macquorn,",Glasgow;James Maclehose;1874.,,Songs and fables,pub,,,1862.0,BM,1820,m,uk,,published in Blackwoods,,1870
uc2.ark+=13960=t7pn9f10q,1874,1874,1874,reviewed,6130501.0,11400948.0,"Lytton, Edward Robert Bulwer Lytton,",Edinburgh;London;William Blackwood and Sons;1874.,v.1,Fables in song,rev,,,1874.0,FR,1803,m,uk,,,,1870
uc1.b3579414,1873,1873,1873,reviewed,7861380.0,7313863.0,"Morris, William,",London;Ellis & White;1873.,,"Love is enough, or The freeing of Pharamond",rev,pos,,1873.0,FR,1834,m,uk,,,y,1870
uc2.ark+=13960=t0tq5ww75,1874,1874,1874,reviewed,6130501.0,11400948.0,"Lytton, Edward Robert Bulwer Lytton,",Edinburgh;London;William Blackwood and Sons;1874.,v.2,Fables in song,rev,,,1874.0,FR,1803,m,uk,,,,1870
uc2.ark+=13960=t48p67m2g,1878,1878,1877,reviewed,1024247.0,2156914.0,"Patmore, Coventry Kersey Dighton,",London;G. Bell;1878.,,The unknown Eros,rev,pos,,1897.0,FR,1823,m,uk,,,,1870
uva.x030800890,1871,1871,1843,reviewed,9793454.0,8407963.0,"Moir, D. M.",Edinburgh;W. Blackwood and sons;1871.,,Domestic verses,pub,,,1843.0,BM,1798,m,uk,,,,1870
uc1.b182449,1877,1877,1877,reviewed,1023623.0,4023098.0,"Dobson, Austin,",London;H. S. King;1877.,,"Proverbs in porcelain, and other verses",rev,,,1877.0,COR,1840,m,uk,,,,1870
uc2.ark+=13960=t42r42k8x,1872,1872,1872,reviewed,6518191.0,5899081.0,"Smith, Walter C.",Boston;J.R. Osgood and company;1872.,,Olrig Grange,rev,,,1872.0,FR,1824,m,uk,,,,1870
uc2.ark+=13960=t0dv1jg7s,1871,1871,1871,reviewed,7690943.0,4872294.0,"Morris, Lewis,",London;H. S. King;1871.,,Songs of two worlds,rev,,,1872.0,FR,1833,m,uk,,,,1870
uc2.ark+=13960=t4pk0c98d,1872,1872,1872,reviewed,7687477.0,4817530.0,"Domett, Alfred,","London;Smith, Elder & Co.;1872.",,Ranolf and Amohia,rev,,,1872.0,FR,1811,m,uk,,,,1870
uc2.ark+=13960=t02z17v0j,1872,1872,1872,reviewed,242299.0,2862442.0,"Noel, Roden,",London;Strahan & co.;1872.,,The red flag,rev,neg,,1873.0,FR,1834,m,uk,,,,1870
loc.ark+=13960=t0qr59x0m,1871,1871,1871,reviewed,9560197.0,11851279.0,"Fuller, Edwin W.",New York;E.J. Hale & Son;1871.,,The angel in the cloud,rev,,,1872.0,ATL,1847,m,us,,obscure,,1870
mdp.39015013157980,1878,1878,1871,reviewed,321003.0,10334702.0,"[Piatt, Sarah M. B.",Boston;J. R. Osgood and company;1878.,,A woman's poems,rev,pos,,1871.0,ATL,1836,f,us,,,,1870
nyp.33433076026503,1875,1875,1875,reviewed,8689573.0,2544849.0,"Cranch, Christopher Pearse,",Boston;James R. Osgood and Company;1875.,,The bird and the bell,rev,,,1875.0,ATL,1813,m,us,,,,1870
loc.ark+=13960=t1kh1gk7p,1871,1871,1871,reviewed,1693798.0,2098558.0,"Channing, William Ellery,",Boston;J. R. Osgood and company;1871.,,The wanderer,rev,neg,,1872.0,ATL,1817,m,us,,,,1870
loc.ark+=13960=t95720v25,1872,1872,1872,reviewed,9571531.0,,"Thaxter, Celia,",New York;Hurd and Houghton;Cambridge [Mass.;Riverside Press;1872.,,Poems,rev,pos,,1872.0,ATL,1835,f,us,,,,1870
uc2.ark+=13960=t9p26qv5r,1872,1872,1872,reviewed,7657105.0,6245604.0,"Dorr, Julia C. R.",Philadelphia;J. B. Lippincott & Co.;1872.,,Poems,rev,,,1872.0,ATL,1825,f,us,,,,1870
uc1.b182525,1872,1872,1872,reviewed,6651814.0,7237910.0,"Hayne, Paul Hamilton,",Philadelphia;J.B. Lippincott;1872.,,Legends and lyrics,rev,,,1872.0,ATL,1830,m,us,,,,1870
uc1.b274713,1875,1875,1874,reviewed,6518166.0,3801953.0,"Perry, Nora,",Boston;J. R. Osgood;1875.,,After the ball,rev,pos,,1874.0,ATL,1831,f,us,,,,1870
loc.ark+=13960=t00z7s04j,1878,1878,1878,reviewed,9605205.0,,"McKnight, George,",New York;H. Holt and company;1878.,,"Life and faith, sonnets",rev,pos,,1879.0,ATL,1840,m,us,,,,1870
loc.ark+=13960=t9w09kt0j,1878,1878,1878,reviewed,8656166.0,3171635.0,"Gilder, Richard Watson,",New York;C. Scribner's sons;1878.,,The poet and his master,rev,neg,,1879.0,ATL,1844,m,us,,,,1870
nyp.33433066636204,1871,1871,1871,reviewed,8656582.0,3308640.0,"Miller, Joaquin,","London;Longmans, Green, Reader, and Dyer;1871.",,Songs of the Sierras,rev,,,1871.0,BM,1837,m,us,,,,1870
uc2.ark+=13960=t07w68f3s,1875,1875,1875,reviewed,323743.0,15225552.0,"Lathrop, George Parsons,",Boston;J. R. Osgood and company;1875.,,Rose and roof-tree,rev,,,1875.0,ATL,1851,m,us,,,,1870
uc2.ark+=13960=t06w96n8w,1871,1871,1871,reviewed,1424843.0,3644614.0,"Winter, William,",Boston;J. R. Osgood and company;1871.,,My witness,rev,pos,,1871.0,ATL,1836,m,us,,,,1870
uc1.b798791,1879,1879,1879,reviewed,6103025.0,3110682.0,"Ryan, Abram Joseph,",Mobile;J. L. Rapier & co.;1879,,Father Ryan's poems,rev,,,1880.0,ATL,1838,m,us,,,,1870
loc.ark+=13960=t6tx46241,1872,1872,1872,reviewed,11209752.0,5877288.0,"Turner, Eliza (Sproat)",Boston;J. R. Osgood & Comp.;1872.,,Out-of-door rhymes,rev,,,1872.0,ATL,1826,f,us,,,,1870
