docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,path,authsvols,publisher,decade
uc1.b3321955,1855,1855,1855.0,elite,7915090.0,11262567,"Brooks, Shirley",London;R. Bentley;1855.,v. 3,Aspen court;,rev,pos,<blank>,1855,TEM,1816.0,m,uk,,,,uc1/pairtree_root/b3/32/19/55/b3321955/uc1.b3321955.json.bz2,24,Bentley,1850
uiuo.ark+=13960=t83j42304,1854,1853,1853.0,elite,8717962.0,52484879,"Heighway, Osborn W. Trenery","London;Partridge, Oakey & Co.;1854.",v.1,"Adeline, or, the mysteries, romance, and realities of Jewish life",rev,<blank>,<blank>,1854,TEM,0.0,m,,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/83/j4/23/04/ark+=13960=t83j42304/uiuo.ark+=13960=t83j42304.json.bz2,3,Partridge Oakey,1850
njp.32101067634244,1855,1855,1855.0,elite,8961448.0,43450970,"Hannay, James",London;Hurst;1855.,v.2,Eustace Conyers;,rev,pos,<blank>,1855,TEM,1827.0,m,uk,,,,njp/pairtree_root/32/10/10/67/63/42/44/32101067634244/njp.32101067634244.json.bz2,8,Hurst,1850
uiuo.ark+=13960=t3nv9vg5k,1854,1854,1854.0,elite,8722283.0,21267288,"Grant, James",London;G. Routledge;1854.,v.1,"Philip Rollo, or, The Scottish musketeers",rev,pos,<blank>,1854,TEM,1822.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/3n/v9/vg/5k/ark+=13960=t3nv9vg5k/uiuo.ark+=13960=t3nv9vg5k.json.bz2,93,Routledge,1850
mdp.39015063516614,1851,1851,1851.0,elite,326943.0,1692038,"Borrow, George Henry",London;J. Murray;1851.,v.1,Lavengro;,rev,<blank>,<blank>,1857,QR,1803.0,m,uk,,,,mdp/pairtree_root/39/01/50/63/51/66/14/39015063516614/mdp.39015063516614.json.bz2,23,Murray,1850
uc2.ark+=13960=t87h1m84p,1859,1859,1859.0,elite,7688076.0,4860377,"Francis, Francis",London;Hurst and Blackett;1859.,v.3,Newton Dogvane,rev,pos,pop,1859,TEM,1822.0,m,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/87/h1/m8/4p/ark+=13960=t87h1m84p/uc2.ark+=13960=t87h1m84p.json.bz2,10,Hurst Blackett,1850
nyp.33433075904890,1856,1856,1856.0,elite,8667261.0,10762402,"Reade, Charles",Boston;Ticknor and Fields;1856.,v. 2,It is never too late to mend,rev,neg,pop,1857,ER,1814.0,m,uk,,,,,259,Ticknor Fields,1850
mdp.39015031908893,1850,1850,1850.0,elite,601440.0,13279433,"Collins, Wilkie",London;R. Bentley;1850.,v.1,Antonina;,rev,<blank>,pop,1850,ER,1824.0,m,uk,,,,mdp/pairtree_root/39/01/50/31/90/88/93/39015031908893/mdp.39015031908893.json.bz2,231,Bentley,1850
mdp.39015064466116,1851,1851,1851.0,elite,326943.0,1692038,"Borrow, George Henry",London;J. Murray;1851.,v.2,Lavengro;,rev,<blank>,<blank>,1857,QR,1803.0,m,uk,,,,mdp/pairtree_root/39/01/50/64/46/61/16/39015064466116/mdp.39015064466116.json.bz2,23,Murray,1850
uc2.ark+=13960=t1xd0w07q,1852,1852,1852.0,elite,7687042.0,9578697,"Craik, Dinah Maria Mulock",London;Chapman and Hall;1852.,v.3,The head of the family,rev,pos,<blank>,1853,ER,1826.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/1x/d0/w0/7q/ark+=13960=t1xd0w07q/uc2.ark+=13960=t1xd0w07q.json.bz2,168,Chapman Hall,1850
nyp.33433075747240,1859,1859,1859.0,elite,8665223.0,5455583,"Eliot, George",New York;Harper & Brothers;1859.,<blank>,Adam Bede,rev,<blank>,<blank>,1859,ER,1819.0,f,uk,,,,,562,Harper,1850
uc1.b250586,1852,1852,1852.0,elite,6502576.0,23201650,"Sinclair, Catherine",London;R. Bentley;1852.,v. 2,"Beatrice, or, The unknown relatives",rev,<blank>,<blank>,1855,TEM,1800.0,f,uk,,,,uc1/pairtree_root/$b/25/05/86/$b250586/uc1.$b250586.json.bz2,40,Bentley,1850
nyp.33433074930144,1853,1853,1853.0,elite,324018.0,535774,"Brontë, Charlotte",New York;Harper & brothers;1853.,<blank>,Villette,rev,<blank>,<blank>,1853,ER,1816.0,f,uk,,,,nyp/pairtree_root/33/43/30/74/93/01/44/33433074930144/nyp.33433074930144.json.bz2,153,Harper,1850
uc1.b4145140,1852,1851,1851.0,elite,6166384.0,62096043,"Stowe, Harriet Beecher",London;J. Cassell;1852.,<blank>,Uncle Tom's cabin,rev,pos,pop,1855,ER,1811.0,f,us,,,,,108,Cassell,1850
uiuo.ark+=13960=t6834cj82,1851,1851,1855.0,elite,8721569.0,21920615,"Oliphant, Margaret",London;H. Colburn;1851.,v.2,Merkland,rev,<blank>,<blank>,1855,TEM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/68/34/cj/82/ark+=13960=t6834cj82/uiuo.ark+=13960=t6834cj82.json.bz2,305,Colburn,1850
uiuo.ark+=13960=t19k4x25q,1851,1851,1855.0,elite,8721569.0,21920615,"Oliphant, Margaret",London;H. Colburn;1851.,v.1,Merkland,rev,<blank>,<blank>,1855,TEM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/19/k4/x2/5q/ark+=13960=t19k4x25q/uiuo.ark+=13960=t19k4x25q.json.bz2,305,Colburn,1850
uc1.b250587,1852,1852,1852.0,elite,6502576.0,23201650,"Sinclair, Catherine",London;R. Bentley;1852.,v. 3,"Beatrice, or, The unknown relatives",rev,<blank>,<blank>,1855,TEM,1800.0,f,uk,,,,uc1/pairtree_root/$b/25/05/87/$b250587/uc1.$b250587.json.bz2,40,Bentley,1850
uiuo.ark+=13960=t0tq6hk31,1851,1851,1851.0,elite,8718921.0,10571983,"Ponsonby, Emily",London;Colburn;1851.,v.2,"Clare Abbey, or, The trials of youth",rev,<blank>,<blank>,1853,ER,1817.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/0t/q6/hk/31/ark+=13960=t0tq6hk31/uiuo.ark+=13960=t0tq6hk31.json.bz2,33,Colburn,1850
uc1.b3325617,1852,1852,1852.0,elite,6131755.0,22468470,"Marsh-Caldwell, Anne",London;Colburn;1852.,v. 1,Castle Avon,rev,<blank>,<blank>,1855,TEM,1791.0,f,uk,,,,uc1/pairtree_root/b3/32/56/17/b3325617/uc1.b3325617.json.bz2,97,Colburn,1850
uc1.b3325619,1852,1852,1852.0,elite,6131755.0,22468470,"Marsh-Caldwell, Anne",London;Colburn;1852.,v. 3,Castle Avon,rev,<blank>,<blank>,1855,TEM,1791.0,f,uk,,,,uc1/pairtree_root/b3/32/56/19/b3325619/uc1.b3325619.json.bz2,97,Colburn,1850
uiuo.ark+=13960=t5fb5p49z,1851,1851,1851.0,elite,8718921.0,10571983,"Ponsonby, Emily",London;Colburn;1851.,v.1,"Clare Abbey, or, The trials of youth",rev,<blank>,<blank>,1853,ER,1817.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/5f/b5/p4/9z/ark+=13960=t5fb5p49z/uiuo.ark+=13960=t5fb5p49z.json.bz2,33,Colburn,1850
uc1.b3325618,1852,1852,1852.0,elite,6131755.0,22468470,"Marsh-Caldwell, Anne",London;Colburn;1852.,v. 2,Castle Avon,rev,<blank>,<blank>,1855,TEM,1791.0,f,uk,,,,uc1/pairtree_root/b3/32/56/18/b3325618/uc1.b3325618.json.bz2,97,Colburn,1850
uiuo.ark+=13960=t0tq6857p,1851,1851,1851.0,elite,8721272.0,8813745,"Dalrymple, J. Elphinstone",London;Colburn;1851.,v.1,The Livingstones,rev,neg,<blank>,1852,TEM,,f,uk,Mrs,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/0t/q6/85/7p/ark+=13960=t0tq6857p/uiuo.ark+=13960=t0tq6857p.json.bz2,3,Colburn,1850
uc2.ark+=13960=t53f4r152,1852,1852,1852.0,elite,7687042.0,9578697,"Craik, Dinah Maria Mulock",London;Chapman and Hall;1852.,v.1,The head of the family,rev,pos,<blank>,1853,ER,1826.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/53/f4/r1/52/ark+=13960=t53f4r152/uc2.ark+=13960=t53f4r152.json.bz2,168,Chapman Hall,1850
uiuo.ark+=13960=t5j96qq51,1851,1851,1855.0,elite,8721569.0,21920615,"Oliphant, Margaret",London;H. Colburn;1851.,v.3,Merkland,rev,<blank>,<blank>,1855,TEM,1828.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/5j/96/qq/51/ark+=13960=t5j96qq51/uiuo.ark+=13960=t5j96qq51.json.bz2,305,Colburn,1850
njp.32101068168424,1853,1853,1853.0,elite,8968436.0,43336285,"Crosland, Newton",London;Routledge;1853.,<blank>,Stray leaves from shady places,rev,pos,<blank>,1853,TEM,1812.0,f,uk,,,,njp/pairtree_root/32/10/10/68/16/84/24/32101068168424/njp.32101068168424.json.bz2,12,Routledge,1850
uc1.b250585,1852,1852,1852.0,elite,6502576.0,23201650,"Sinclair, Catherine",London;R. Bentley;1852.,v.1,"Beatrice, or, The unknown relatives",rev,<blank>,<blank>,1855,TEM,1800.0,f,uk,,,,uc1/pairtree_root/$b/25/05/85/$b250585/uc1.$b250585.json.bz2,40,Bentley,1850
uc2.ark+=13960=t7jq0zc1x,1852,1852,1852.0,elite,7687042.0,9578697,"Craik, Dinah Maria Mulock",London;Chapman and Hall;1852.,v.2,The head of the family,rev,pos,<blank>,1853,ER,1826.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/7j/q0/zc/1x/ark+=13960=t7jq0zc1x/uc2.ark+=13960=t7jq0zc1x.json.bz2,168,Chapman Hall,1850
nyp.33433084128655,1855,1853,1853.0,vulgar,,,"Yonge, Charlotte M",Leipzig;Bernhard Tauchnitz;1855.,,The heir of Redclyffe,,,,,,1823.0,f,uk,,,,nyp/pairtree_root/33/43/30/84/12/86/55/33433084128655/nyp.33433084128655.json.bz2,218,Bernhard Tauchnitz,1850
njp.32101068176260,1854,1854,1854.0,vulgar,,,"Cartwright, Robert","London;Smith, Elder & Co.;1854.",,Ambrose the sculptor,,,,,,,f,uk,,,,njp/pairtree_root/32/10/10/68/17/62/60/32101068176260/njp.32101068176260.json.bz2,4,Smith Elder,1850
nyp.33433074872015,1851,1851,1851.0,vulgar,,,"Howitt, Mary Botham",New York;D. Appleton;1851.,,The heir of Wast-Wayland,,,,,,1799.0,f,uk,,,,nyp/pairtree_root/33/43/30/74/87/20/15/33433074872015/nyp.33433074872015.json.bz2,61,Appleton,1850
uiuo.ark+=13960=t8df7d82c,1860,1859,1859.0,vulgar,,,"Sheppard, Elizabeth Sara",London;Tinsley Brothers;1863.,,Almost a heroine,,,,,,1830.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/8d/f7/d8/2c/ark+=13960=t8df7d82c/uiuo.ark+=13960=t8df7d82c.json.bz2,18,Tinsley,1850
uc1.$b809243,1854,1854,1854.0,vulgar,,,"Hornblower, Jane Elizabeth Roscoe",New York;R. Carter;1854.,,"Vara, or, The child of adoption",,,,,,1797.0,f,us,,,,uc1/pairtree_root/$b/80/92/43/$b809243/uc1.$b809243.json.bz2,5,Carter,1850
uiuo.ark+=13960=t81k02901,1851,1851,1851.0,vulgar,,,"Pinkney, Jane Vaughan",London;T.C.Newby;1851.,,The young doctor,,,,,,1827.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/81/k0/29/01/ark+=13960=t81k02901/uiuo.ark+=13960=t81k02901.json.bz2,6,Newby,1850
uc2.ark+=13960=t7dr2xx5g,1852,1852,1852.0,vulgar,,,"Lowndes, Hannah Maria Jones",London;Printed for the proprietors by M'Gowan & Co.;1852.,,"Katharine Bereford; or, The shade and sunshine of woman's life",,,,,,1800.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/7d/r2/xx/5g/ark+=13960=t7dr2xx5g/uc2.ark+=13960=t7dr2xx5g.json.bz2,2,Printed For Proprietors M'Gowan,1850
uc2.ark+=13960=t6m043s5h,1860,1850,1850.0,vulgar,,,"Hall, S. C",London;Hurst and Blackett;1860.,,Stories of the Irish peasantry,,,,,,1800.0,f,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/6m/04/3s/5h/ark+=13960=t6m043s5h/uc2.ark+=13960=t6m043s5h.json.bz2,60,Hurst Blackett,1850
uva.x030802597,1851,1851,1851.0,vulgar,,,"Knight, Helen C",Philadelphia;American Sunday-School Union;1851.,,Hugh Fisher,,,,,,1814.0,f,us,,,,uva/pairtree_root/x0/30/80/25/97/x030802597/uva.x030802597.json.bz2,8,American Sunday School Union,1850
uc1.b3327058,1851,1851,1851.0,vulgar,,,"Murray, Hamilton",London;Colburn;1851.,,Falkenburg,,,,,,1813.0,f,uk,"Blaze de Bury, baroness",,,uc1/pairtree_root/b3/32/70/58/b3327058/uc1.b3327058.json.bz2,10,Colburn,1850
uiuo.ark+=13960=t9086r70j,1851,1851,1851.0,vulgar,,,"Daniel, Mackenzie",London;T.C. Newby;1851.,,Fernley Manor,,,,,,1823.0,f,uk,"Mrs R Mackenzie Daniel, née Elizabeth Daniel",,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/90/86/r7/0j/ark+=13960=t9086r70j/uiuo.ark+=13960=t9086r70j.json.bz2,12,Newby,1850
wu.89098013279,1854,1854,1854.0,vulgar,,,"Bullard, A. T. J",London;James Blackwood;1854.,,"Love affairs, or, How a flirt was caught in his own trap",,,,,,1808.0,f,uk,,,,wu/pairtree_root/89/09/80/13/27/9/89098013279/wu.89098013279.json.bz2,3,James Blackwood,1850
nyp.33433074793427,1856,1856,1856.0,vulgar,,,"Yale, Catharine Brooks",Philadelphia;J.B. Lippincott and Co.;1856.,,"Abbie Nott, and other knots",,,,,,1818.0,f,us,,,,nyp/pairtree_root/33/43/30/74/79/34/27/33433074793427/nyp.33433074793427.json.bz2,1,Lippincott,1850
nyp.33433074862560,1852,1852,1852.0,vulgar,,,"Gwynne, Talbot",New York;Harper & brothers;1852.,,The school for fathers,,,,,,1811.0,f,uk,,,,nyp/pairtree_root/33/43/30/74/86/25/60/33433074862560/nyp.33433074862560.json.bz2,3,Harper,1850
uc2.ark+=13960=t2h708h89,1851,1851,1851.0,vulgar,,,"Pearson, Emily C","Hartford;Brockett, Fuller and co.;1851.",,"Jamie Parker, the fugitive",,,,,,1818.0,f,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/2h/70/8h/89/ark+=13960=t2h708h89/uc2.ark+=13960=t2h708h89.json.bz2,2,Hartford Brockett Fuller,1850
nyp.33433076021587,1858,1858,1858.0,vulgar,,,"Stephens, Ann S",Philadelphia;T.B. Peterson;c1858,,Mary Derwent,,,,,,1810.0,f,us,,,,nyp/pairtree_root/33/43/30/76/02/15/87/33433076021587/nyp.33433076021587.json.bz2,47,Peterson,1850
uc1.b3327580,1855,1854,1854.0,vulgar,,,"Pike, Mary Hayden Green","Boston;Phillips, Sampson;New York;J. C. Derby;1855.",,Ida May;,,,,,,1824.0,f,us,,,,uc1/pairtree_root/b3/32/75/80/b3327580/uc1.b3327580.json.bz2,1,Phillips Sampson Derby,1850
njp.32101064715665,1851,1851,1851.0,vulgar,,,"Southworth, Emma Dorothy Eliza Nevitte",New York;D. Appleton;Philadelphia;George S. Appleton;1851.,,Shannodale,,,,,,1819.0,f,us,,,,njp/pairtree_root/32/10/10/64/71/56/65/32101064715665/njp.32101064715665.json.bz2,82,Appleton George,1850
uiuo.ark+=13960=t72v35t5b,1854,1854,1854.0,vulgar,,,"Sheppard, Elizabeth Sara","London;Smith, Elder;1854.",,"Counterparts, or, The cross of love",,,,,,1830.0,f,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/72/v3/5t/5b/ark+=13960=t72v35t5b/uiuo.ark+=13960=t72v35t5b.json.bz2,18,Smith Elder,1850
uc2.ark+=13960=t6sx6753r,1855,1855,1855.0,vulgar,,,"Harwood, John Berwick",London;New York;G. Routledge;1855.,,The serf-sisters;,,,,,,1828.0,m,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/6s/x6/75/3r/ark+=13960=t6sx6753r/uc2.ark+=13960=t6sx6753r.json.bz2,12,Routledge,1850
uiuo.ark+=13960=t3rv0xg5x,1857,1857,1857.0,vulgar,,,"Elton, Arthur Hallam","London;Smith, Elder;1857.",,Below the surface,,,,,,1818.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/3r/v0/xg/5x/ark+=13960=t3rv0xg5x/uiuo.ark+=13960=t3rv0xg5x.json.bz2,11,Smith Elder,1850
uiuo.ark+=13960=t8w95tp2x,1851,1851,1851.0,vulgar,,,"Reid, Mayne",London;Charles J. Skeet.;1851.,,The scalp hunters,,,,,,1818.0,m,us,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/8w/95/tp/2x/ark+=13960=t8w95tp2x/uiuo.ark+=13960=t8w95tp2x.json.bz2,177,Charles Skeet,1850
nyp.33433074895990,1852,1852,1852.0,vulgar,,,"McKinnon, William Charles",Halifax;E.G. Fuller;1852.,,"St. George; or, The Canadian league",,,,,,1828.0,m,ca,,,,nyp/pairtree_root/33/43/30/74/89/59/90/33433074895990/nyp.33433074895990.json.bz2,2,Halifax Fuller,1850
uiuo.ark+=13960=t6xw4qm1j,1853,1852,1852.0,vulgar,,,"Cole, Alfred Whaley",London;T.C. Newby;1853.,,Hope,,,,,,1812.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/6x/w4/qm/1j/ark+=13960=t6xw4qm1j/uiuo.ark+=13960=t6xw4qm1j.json.bz2,2,Newby,1850
nyp.33433082168976,1859,1859,1859.0,vulgar,,,"Adams, John Turvill",New York;Derby & Jackson;1859.,,The white chief among the red men;,,,,,,1805.0,m,us,,,,nyp/pairtree_root/33/43/30/82/16/89/76/33433082168976/nyp.33433082168976.json.bz2,5,Derby Jackson,1850
uiuo.ark+=13960=t4dn4fz70,1859,1859,1859.0,vulgar,,,"Cornwallis, Kinahan",London;T.C. Newby;1859.,,"Wreck and ruin: or, Modern society",,,,,,1839.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/4d/n4/fz/70/ark+=13960=t4dn4fz70/uiuo.ark+=13960=t4dn4fz70.json.bz2,5,Newby,1850
uc2.ark+=13960=t86h4jj86,1854,1854,1854.0,vulgar,7685244.0,13354360,"Ainsworth, William Harrison",London;Routledge;1854,<blank>,"The flitch of bacon, or The custom of Dunmow;",rev, , , , ,1805.0,m,uk,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/86/h4/jj/86/ark+=13960=t86h4jj86/uc2.ark+=13960=t86h4jj86.json.bz2,319,Routledge,1850
uc2.ark+=13960=t07w67c6x,1859,1859,1859.0,vulgar,,,"Burdett, Charles",Philadelphia;G. G. Evans;1859.,,Three per cent. a month;,,,,,,1815.0,m,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/07/w6/7c/6x/ark+=13960=t07w67c6x/uc2.ark+=13960=t07w67c6x.json.bz2,24,Evans,1850
nyp.33433081830097,1854,1854,1854.0,vulgar,,,"Robinson, Solon","New York;De Witt and Davenport, Publishers;1854.",,Hot corn,,,,,,1803.0,m,us,,,,nyp/pairtree_root/33/43/30/81/83/00/97/33433081830097/nyp.33433081830097.json.bz2,8,De Witt Davenport Publishers,1850
nyp.33433074911094,1855,1855,1855.0,vulgar,,,"Murray, Charles Augustus",Louisville;C. Hagan & Co.;1855?,,"The trapper's bride; or, Spirit of adventure",,,,,,1806.0,m,uk,,,,nyp/pairtree_root/33/43/30/74/91/10/94/33433074911094/nyp.33433074911094.json.bz2,20,Louisville Hagan,1850
uc1.b3123803,1857,1857,1857.0,vulgar,,,"Horlock, Knightley William",London;Hurst and Blackett;1857.,,The Squire of Beechwood,,,,,,1802.0,m,uk,,,,uc1/pairtree_root/b3/12/38/03/b3123803/uc1.b3123803.json.bz2,12,Hurst Blackett,1850
uc2.ark+=13960=t4rj4df5z,1869,1851,1851.0,vulgar,,,"Mitchell, Donald Grant","New York;C. Scribner and company;1869, [c1863",,Dream life,,,,,,1822.0,m,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/4r/j4/df/5z/ark+=13960=t4rj4df5z/uc2.ark+=13960=t4rj4df5z.json.bz2,60,Scribner,1850
dul1.ark+=13960=t2f77261f,1852,1851,1851.0,vulgar,,,"Perce, Elbert",New York;Charles Scribner;1852.,,"Gulliver Joi, his three voyages",,,,,,1831.0,m,us,,,,dul1/pairtree_root/ar/k+/=1/39/60/=t/2f/77/26/1f/ark+=13960=t2f77261f/dul1.ark+=13960=t2f77261f.json.bz2,2,Charles Scribner,1850
nyp.33433076049380,1852,1852,1852.0,vulgar,,,"Peterson, Charles J",Philadelphia;T. B. Peterson;c1852,,"The cabin and parlor; or, Slaves and masters",,,,,,1818.0,m,us,,,,nyp/pairtree_root/33/43/30/76/04/93/80/33433076049380/nyp.33433076049380.json.bz2,4,Peterson,1850
uiuo.ark+=13960=t3708cf7k,1852,1852,1852.0,vulgar,,,"Belfast, Frederick Richard Chichester",London;1852.,,The farce of life,,,,,,1827.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/37/08/cf/7k/ark+=13960=t3708cf7k/uiuo.ark+=13960=t3708cf7k.json.bz2,9,,1850
uc1.b3548184,1850,1850,1850.0,vulgar,,,"Warburton, Eliot",New York;Harper;1850.,,Reginald Hastings,,,,,,1810.0,m,ir,,,,uc1/pairtree_root/b3/54/81/84/b3548184/uc1.b3548184.json.bz2,4,Harper,1850
nyp.33433076053416,1853,1853,1853.0,vulgar,,,"Prime, William Cowper",New York;Harper & brothers;1853.,,The old house by the river,,,,,,1825.0,m,us,,,,nyp/pairtree_root/33/43/30/76/05/34/16/33433076053416/nyp.33433076053416.json.bz2,12,Harper,1850
nyp.33433076065493,1855,1855,1855.0,vulgar,,,"Herbert, Henry William",New York;Mason brothers;1855.,,Wager of battle;,,,,,,1807.0,m,uk,,,,nyp/pairtree_root/33/43/30/76/06/54/93/33433076065493/nyp.33433076065493.json.bz2,26,Mason,1850
uc1.b250127,1864,1864,1864.0,elite,6502425.0,5515317,"Le Fanu, Joseph Sheridan",London;R. Bentley;1864.,v.1,Uncle Silas,rev,,,1865,ATL,1814.0,m,ir,,,,uc1/pairtree_root/$b/25/01/27/$b250127/uc1.$b250127.json.bz2,43,Bentley,1860
uiuo.ark+=13960=t3708kh4h,1868,1868,1868.0,elite,629962.0,7513924,"MacDonald, George",London;Hurst and Blackett;1868.,v.1,Robert Falconer,rev,,,1868,FR,1824.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/37/08/kh/4h/ark+=13960=t3708kh4h/uiuo.ark+=13960=t3708kh4h.json.bz2,144,Hurst Blackett,1860
uc2.ark+=13960=t1wd3q923,1861,1861,1861.0,elite,1692752.0,275638,"Holmes, Oliver Wendell",Boston;Ticknor and Fields;1861.,v.1,Elsie Venner;,rev,,,1861,ATL,1809.0,m,us,,,,uc2/pairtree_root/ar/k+/=1/39/60/=t/1w/d3/q9/23/ark+=13960=t1wd3q923/uc2.ark+=13960=t1wd3q923.json.bz2,144,Ticknor Fields,1860
uiuo.ark+=13960=t0pr8g01w,1869,1869,1870.0,elite,8721745.0,30059355,"McCarthy, Justin",London;Tinsley brother;1869.,v.1,My enemy's daughter,rev,pos,,1870,ATL,1830.0,m,uk,,,,uiuo/pairtree_root/ar/k+/=1/39/60/=t/0p/r8/g0/1w/ark+=13960=t0pr8g01w/uiuo.ark+=13960=t0pr8g01w.json.bz2,42,Tinsley,1860
nyp.33433074945779,1873,1866,1866.0,elite,8663981.0,291965,"Collins, Wilkie",New York;Harper & Brothers;1873,,Armadale,rev,neg,,1866,ATL,1824.0,m,uk,,,,nyp/pairtree_root/33/43/30/74/94/57/79/33433074945779/nyp.33433074945779.json.bz2,231,Harper,1860
