docid,actualdate,earliestdate,firstpub,tags,recordid,OCLC,author,imprint,enumcron,title,pubrev,judge,impaud,yrrev,pubname,birthdate,gender,nationality,othername,notes,canon,decade
nyp.33433066649108,1887,1887,1887,reviewed,8658921.0,3153405.0,"Perry, Nora,",Boston;Ticknor and Company;1887.,,New songs and ballads,rev,pos,,1887.0,ATL,1831,f,us,,,,1880
loc.ark+=13960=t3805w074,1880,1880,1880,reviewed,8655451.0,11417908.0,"Backus, Elizabeth Welch.",Philadelphia;J.B. Lippincott & Co.;1880.,,Three friends' fancies,rev,,,1880.0,ATL,,f,,,,,1880
nyp.33433082169420,1881,1881,1881,reviewed,8658259.0,3323390.0,"Larcom, Lucy,","Boston;Houghton, Mifflin;1881.",,Wild roses of Cape Ann,rev,,,1881.0,ATL,1824,f,us,,,,1880
uc2.ark+=13960=t1zc7s42g,1887,1887,1887,reviewed,7684057.0,13531369.0,"Deland, Margaret Wade Campbell,","Boston;Houghton;1890, c1887.",,Old garden & other verses,rev,pos,,1887.0,ATL,1857,f,us,,,,1880
uc1.b155433,1886,1886,1886,reviewed,5908799.0,2700182.0,"Allen, Elizabeth Akers,","Boston;New York;Houghton, Mifflin and Company;1886.",,The silver bridge,rev,,,1887.0,ATL,1832,f,us,,,,1880
uc2.ark+=13960=t04x56q61,1884,1884,1884,reviewed,6641347.0,4820562.0,"Robinson, A. Mary F.",Boston;Roberts Brothers;1884.,,The new Arcadia and other poems,rev,neg,,1884.0,ATL,1857,f,uk,"Duclaux, Agnes Mary Frances",,,1880
uc2.ark+=13960=t9w08xj0q,1884,1884,1884,reviewed,1027370.0,1832787.0,"Guiney, Louise Imogen,","Boston;Cupples, Upham;1884.",,Songs at the start,rev,pos,,1884.0,ATL,1861,f,us,,,,1880
loc.ark+=13960=t1zc8q99n,1882,1882,1882,reviewed,9577654.0,,"Spofford, Harriet Elizabeth Prescott,","Boston;Houghton, Mifflin and company;1882.",,Poems,rev,pos,,1882.0,ATL,1835,f,us,,,,1880
loc.ark+=13960=t5r78vg3h,1881,1881,1881,reviewed,8657102.0,15225792.0,"Innsly, Owen,",Boston;A. Williams and Company ...;1881.,,Love poems and sonnets,rev,pos,,1882.0,ATL,1850,f,us,"Jennison, Lucy White",obscure,,1880
loc.ark+=13960=t9f48bc94,1882,1882,1882,random,9596825.0,,"Seibert, John.","Chicago;Cushing, Thomas & Co.;1882.",,The morning star,,,,,,,f,,,,,1880
mdp.39015055468584,1880,1880,1880,random,1032316.0,,"Greenaway, Kate,",New York;G. Routledge & sons;1880?,,Under the window;,,,,,,1846,f,uk,,juv,,1880
nyp.33433066626502,1881,1881,1881,random,8657586.0,,"Oberholtzer, Sara Louisa,","Philadelphia;J.B. Lippincott & Co.;1882, c1881.",,Come for Arbutus,,,,,,1841,f,us,,, ,1880
wu.89098029051,1886,1886,1886,random,6775667.0,,"Henry, S. M. I.",Chicago;The Woman's Temperance Pub. Ass'n.;1886.,,The marble cross,,,,,,1839,f,us,"Henry, Sarepta M. I.",,,1880
loc.ark+=13960=t81k00b4k,1887,1887,1887,random,9589818.0,,"Teske, T. Alcliffe.","Hartford, Conn.;Published by T. Alcliffe Teske;1887.",,Heart echoes,,,,,,,f,,"Courtney, T. Alcliffe",,,1880
loc.ark+=13960=t3rv11c37,1889,1889,1889,random,5946475.0,,"Culler, Lucy Yeend.","Burlington, Iowa;Conrad Lutz, Printing and Binding;1889.",,Violet,,,,,,1849,f,uk,,,,1880
njp.32101068168077,1880,1880,1880,random,8968415.0,,"Craik, Dinah Maria Mulock,",London;Macmillan;1880.,,Thirty years,,,,,,1826,f,uk,,,,1880
mdp.39015063920428,1887,1887,1887,random,779882.0,,"Kail, Mary E.,","Washington, D. C.;Judd & Detweiler, printers;1887.",,Crown our heroes,,,,,,1828,f,us,,,,1880
loc.ark+=13960=t05x2xf3v,1886,1886,1886,random,9600054.0,,"Greene, Aella,","Holyoke, Mass.;Clark W. Bryan & Company, electrotypers, printers and binders;1886.",,The poetical works of Aella Greene,,,,,,1838,f,us,,,,1880
nyp.33433066571302,1887,1887,1887,random,8656636.0,,"Read, Jane Maria,","Boston;Henry A. Young & Co., publishers;1887.",,Between the centuries and other poems,,,,,,1853,f,us,,,,1880
loc.ark+=13960=t3vt2bg76,1882,1882,1882,random,9576347.0,,"[Valentine, Laura Jewry,","Cincinnati, Ohio;P.G. Thomson;c1882.",,The tempest,,,,,,1814,f,uk,,juvenile audience,,1880
uc1.b2828936,1889,1889,1889,random,7313364.0,,"Robertson, Janet Logie.",Edinburgh;MacNiven and Wallace;1889.,,New songs of innocence,,,,,,,f,,,,,1880
loc.ark+=13960=t46q2j373,1880,1880,1878,random,9560074.0,,"Jones, Julia Clinton.",New York;R. Worthington;1880.,,Valhalla,,,,,,1842,f,us,,,,1880
uc1.b165755,1881,1881,1881,random,6641344.0,,"Eastman, Elaine Goodale,",New York;G. P. Putnam's sons;1881.,,All round the year,,,,,,1863,f,us,,,,1880
uc1.b119842,1888,1888,1888,random,6611572.0,,"Mace, Frances Parker (Laughton)",Boston;Ticknor and company;1888.,,Under pine and plam,,,,,,1836,f,us,,,,1880
uc2.ark+=13960=t6vx09698,1882,1882,1882,random,6518259.0,,"Bailey, Urania Locke Stoughton,",New York;G. P. Putnam's sons;1882.,,Star-flowers,,,,,,1820,f,us,,,,1880
nyp.33433066637236,1886,1886,1886,random,8656257.0,,"Harris, Thomas Lake,","Santa Rosa, Calif.;Fountaingrove Press;1886.",,The joy-bringer,,,,,,1823,m,us,,,,1880
uc2.ark+=13960=t6g160f1q,1881,1881,1881,random,7693138.0,,"Thomson, David,",Edinburgh;Thomson;1881.,,Musings among the heather,,,,,,1806,m,uk,,,,1880
mdp.39015063947066,1887,1887,1887,random,324276.0,,"O'Hagan, Thomas,",Toronto;W. Briggs;1887.,,A gate of flowers,,,,,,1855,m,ca,,,,1880
loc.ark+=13960=t7vm4v20f,1887,1887,1887,random,8656900.0,,"Williams, Dwight,",New York;Phillips & Hunt;1887.,,"The beautiful city in song, and other poems",,,,,,1824,m,us,,,,1880
loc.ark+=13960=t6n01p000,1886,1886,1886,random,8656522.0,,"Hale, William,","Biddeford, Me.;Printed at the Biddeford journal office;1886.",,Shore life in song,,,,,,1856,m,us,,,,1880
uc2.ark+=13960=t5w66g25p,1884,1884,1880,random,7693259.0,,"Turner, Charles Tennyson,",London;Macmillan;1884.,,"Collected sonnets, old and new",,,,,,1808,m,uk,,,,1880
uc2.ark+=13960=t3fx7491s,1881,1881,1881,random,7031482.0,,"Knowles, William,",Indianapolis;Carlon & Hollenbeck;1881.,,Poems,,,,,,,m,,,,,1880
loc.ark+=13960=t8cf9tk39,1880,1880,1880,random,9605999.0,,"Kyner, James Henry,","Omaha, Neb.;H. Gibson, H. Gibson, Herald printing establishment;1880.",,"Odes, hymns and songs of the G. A. R",,,,,,1846,m,us,,,,1880
loc.ark+=13960=t9d519g22,1883,1883,1883,random,8658390.0,,"Underwood, John,",Chicago;Knight & Leonard;1883.,,El muza,,,,,,1818,m,us,,,,1880
uc1.b325378,1881,1881,1881,random,3107168.0,,"Gordon, Hanford Lennox,","St. Paul, Minn.;St. Paul Book and Stationery Co.;1881.",,Legends of the Northwest,,,,,,1836,m,us,,,,1880
uc1.b183776,1882,1882,1882,random,384548.0,,"Alcott, Amos Bronson,",Boston;Roberts Brothers;1882.,,Sonnets and canzonets,,,,,,1799,m,us,,,,1880
nyp.33433082171996,1880,1880,1880,random,8656280.0,,"Goddard, Sextus P.","Worcester, Mass.;L. P. Goddard;1880.",,"Buds, briars and berries",,,,,,1836,m,us,,,,1880
njp.32101063702987,1881,1881,1881,random,8918089.0,,"Randolph, Anson D. F.",New York;A.D.F. Randolph & Company;1881,,Easter chimes,,,,,,1820,m,us,,,,1880
njp.32101051389870,1887,1887,1887,random,8899357.0,,"Harrison, Harry.",Clapham;Published by the author;Settle;Printed by J.W. Lambert;1887.,,Poems,,,,,,,m,,,,,1880
loc.ark+=13960=t5k93n92j,1884,1884,1884,random,7650811.0,,"Baxter, James Phinney,","Portland [Me.;Hoyt, Fogg, and Donham;1884.",,Idyls of the year,,,,,,1831,m,us,,,,1880
njp.32101064713173,1880,1880,1880,random,9245174.0,,"Selden, Samuel,","Norfolk, Va.;Landmark Book and Job Steam Print;1880.",,Poems,,,,,,1843,m,us,,,,1880
njp.32101067628659,1893,1893,1893,reviewed,8961163.0,13778849.0,"Barlas, John Evelyn,",Dundee;J.P. Mathew;1893.,,Selections from Songs of a bayadere and Songs of a troubadour,rev,pos,,1896.0,YB,1860,m,uk,"Douglas, Evelyn",,,1890
uc2.ark+=13960=t1hh6d09g,1892,1892,1892,reviewed,7663358.0,4890096.0,"Johnson, Robert Underwood,",New York;The Century co.;1892.,,"The winter hour, and other poems",rev,,,1893.0,ATL,1853,m,us,,,,1890
loc.ark+=13960=t8df7d08p,1893,1893,1893,reviewed,9575895.0,7225237.0,"Hayne, William Hamilton,",New York;F.A. Stokes company;1893.,,Sylvan lyrics and other verses,rev,,,1895.0,ATL,1856,m,us,,,,1890
njp.32101067487577,1892,1892,1892,reviewed,8958226.0,,"Yeats, W. B.",London;T. F. Unwin;1892.,,Wanderings of Oisin,,,,1907.0,FR,1865,m,ir,,,y,1890
uc2.ark+=13960=t1td9vq8p,1890,1890,1889,reviewed,585366.0,339320.0,"Browning, Robert,","London;Smith, Elder, & co. ...;1890.",,Asolando,rev,pos,,1890.0,BM,1812,m,uk,,,y,1890
nyp.33433075807317,1893,1893,1893,reviewed,8589568.0,4178539.0,"McCulloch, Hugh,","Cambridge [Mass.;Stone and Kimball;1894, c1893.",,The quest of Heracles and other poems,rev,,,1895.0,ATL,1869,m,us,,,,1890
uva.x030758864,1892,1892,1892,reviewed,9775909.0,317331196.0,"Lüders, Charles Henry,",New York;C. Scribner's sons;1892.,,The dead nymph,rev,pos,,1893.0,ATL,1858,m,us,,,,1890
uc2.ark+=13960=t07w6cd1m,1895,1895,1895,reviewed,7693626.0,1822323.0,"Watson, Rosamund Marriott,",London;J. Lane;Chicago;Way and Williams;1895.,,Vespertilia and other verses,pub,,,1895.0,YB,1860,f,uk,"Tomson, Graham R",,,1890
uc1.b4382847,1891,1891,1891,reviewed,8658397.0,494513.0,"Reese, Lizette Woodworth,","Boston;New York;Houghton, Mifflin and Company;1891.",,A handful of lavender,rev,,,1891.0,ATL,1856,f,us,,,,1890
uc2.ark+=13960=t3ws8kz7m,1898,1898,1898,reviewed,477912.0,2481015.0,"Tynan, Katharine,",London;G. Richards;1898.,,The wind in the trees;,rev,pos,,1899.0,FR,1859,f,ir,,,,1890
uc2.ark+=13960=t7sn0664h,1896,1896,1896,reviewed,7685257.0,1032839.0,"Alexander, Cecil Frances,",London;Macmillan;New York;Macmillan;1896.,,Poems,rev,pos,pop,1896.0,BM,1818,f,ir,,,,1890
uc1.b167385,1896,1896,1896,reviewed,6642393.0,2888986.0,"Chesson, Nora,",London;Lane;1896.,,Under quicken boughs,rev,pos,,1899.0,FR,1871,f,uk,,,,1890
loc.ark+=13960=t7kp8gj8r,1893,1893,1893,reviewed,8656635.0,1718752.0,"Granniss, Anna J.","Keene, N.H.;Darling & company, printers;1893.",,"Skipped stitches, verses",rev,,,1895.0,ATL,1856,f,us,,obscure,,1890
nyp.33433066626783,1890,1890,1890,reviewed,242114.0,3716980.0,"Moulton, Louise Chandler,",Boston;Roberts bros.;1890.,,In the garden of dreams,rev,pos,,1893.0,FR,1835,f,us,,,,1890
loc.ark+=13960=t57d3p237,1893,1893,1893,random,9560098.0,,"Roberts, Betsey Ann Smith.","Patchogue, New York;Patchogue Advance Print;1893.",,Original poems,,,,,,1828,f,us,,,,1890
uc1.b2834136,1892,1892,1892,random,7344843.0,,"Kinloch, Marjory G. J.","London;K. Paul, Trench, Trübner;1892.",,A song-book of the soul,,,,,,1846,f,uk,,,,1890
loc.ark+=13960=t3xs6b07q,1894,1894,1894,random,9608950.0,,"Choate, Clara Elizabeth. [from old catalog]",Boston;Lee and Shepard;1894,,Songs of truth,,,,,,1851,f,us,,,,1890
uc2.ark+=13960=t4gm84g69,1895,1895,1895,random,6509532.0,,"Cocke, Zitella,",Boston;Copeland and Day;1895.,,A Doric reed,,,,,,1840,f,us,,,,1890
wu.89094594595,1892,1892,1891,random,5776761.0,,"Văcărescu, Elena,","London;J. R. Osgood, McIlvaine & co.;1892",,The bard of the Dimbovitza,,,,,, ,f,fr,,Well-known in France,,1890
loc.ark+=13960=t1cj90444,1896,1896,1896,random,9594736.0,,"Ramsey, V. G.",Boston;The Morning Star Publishing House;1896.,,A censer;,,,,,,1817,f,us,,,,1890
nyp.33433081895090,1897,1897,1897,random,,,"Fordham, Mary Weston.","Charleston, S. C.;Walker, Evans & Cogswell Co.;c1897",,Magnolia leaves,,,,,,1844,f,us,,Af-Am poet,,1890
nyp.33433076031859,1897,1897,1897,random,8637086.0,,"Riley, James Whitcomb,",New York;C. Scribner's sons;1897-1914.,v. 9 Armazindy,The poems and prose sketches of James Whitcomb Riley,,,,,,1849,m,us,,,,1890
uc2.ark+=13960=t9280b81v,1897,1897,1897,random,,,"Green, Septimus G.",London;E. Stock;1897.,s,Jennifred,,,,,,,m,uk,,,,1890
mdp.39015063937810,1894,1894,1871,random,246395.0,,"Mackay, Eric,",New York [etc.;Brentano's;1894,,Love letters of a violinist,,,,,,1851,m,uk,,,,1890
uc2.ark+=13960=t71v5dh7m,1896,1896,1896,random,7666485.0,,"Main, William.",Melbourne;George Robertson;1896.,,Bush solitudes and other verses,,,,,,1860,m,au,,,,1890
uc2.ark+=13960=t23b62184,1892,1892,1892,random,7689858.0,,"Le Gallienne, Richard,",London;Elkin Mathews and John Lane;New York;Cassell;1892.,,English poems,,,,,,1866,m,uk,,,,1890
loc.ark+=13960=t63495d13,1893,1893,1892,random,9574797.0,,"Carleton, Will,",New York;Harper & brothers;1893.,,City festivals,,,,,,1845,m,us,,,,1890
nyp.33433074901194,1897,1897,1897,random,7689169.0,,"Howard, Henry Newman,",London;E. Stock;1897.,,Footsteps of Proserpine and other verses and interludes,,,,,,1861,m,uk,,,,1890
uc2.ark+=13960=t79s1pt8q,1901,1901,1901,reviewed,6518741.0,382076.0,"Webb, Charles Henry,","Boston;and New York;Houghton, Mifflin and company;1901.",,With lead and line along varying shores;,rev,,,1902.0,ATL,1834,m,us,,,,1900
uc2.ark+=13960=t57d2rh5g,1902,1902,1902,reviewed,449898.0,1211824.0,"Millard, Bailey,",San Francisco;Elder & Shepard;1902.,,Songs of the press and other adventures in verse,rev,,pop,1902.0,ATL,1859,m,us,,obscure,,1900
uc2.ark+=13960=fk5p84448t,1902,1902,1902,reviewed,8658129.0,9841814.0,"Taylor, Bert Leston,",Evanston [Ind.;W.S. Lord;1902.,,Line-o'-type lyrics,rev,pos,pop,1902.0,ATL,1866,m,us,,,,1900
mdp.39015031228516,1907,1907,1907,reviewed,,,"Davies, W. H.",London;E. Mathews;1907.,,New poems,rev,pos,,1914.0,FR,1871,m,uk,,,,1900
mdp.39015030707155,1901,1901,1901,reviewed,633815.0,288225.0,"Meredith, George,",Westminster;A. Constable;1901.,,A reading of life,rev,,,1901.0,FR,1828,m,uk,,,y,1900
mdp.39015066062160,1902,1902,1896,reviewed,484306.0,360509.0,"Housman, A. E.",Philadelphia;Henry Altemus company;1902?].,,A Shropshire lad,rev,pos,,1898.0,FR,1859,m,uk,,,y,1900
mdp.39015030659935,1902,1902,1902,reviewed,778693.0,2904707.0,"Bridges, Robert,",New York;C. Scribner's sons;1902.,,Bramble Brae,rev,pos,,1902.0,ATL,1844,m,uk,,,,1900
uc2.ark+=13960=t9c53mb7v,1901,1901,1900,reviewed,474669.0,5035217.0,"Binyon, Laurence,",London;Unicorn Press;1901.,,Odes,rev,,elite,1900.0,FR,1869,m,uk,,,,1900
uc2.ark+=13960=t56d5wq45,1902,1902,1902,reviewed,7665330.0,1490725.0,"MacManus, Anna,",Dublin;M.H. Gill and son;1902.,,The four winds of Eirinn,rev,pos,,1903.0,FR,1866,f,ir,"Carbery, Ethna",,,1900
nyp.33433074844253,1905,1905,1905,reviewed,8666934.0,37193973.0,"Clifford, Ethel.",London;J. Lane;1905.,,Love's journey,pub,,,1904.0,FR,1876,f,uk,,obscure,,1900
uva.x002264382,1908,1908,1908,reviewed,9794369.0,1648765.0,"Field, Michael.",London;T. Fisher Unwin;1908.,,Wild honey from various thyme,rev,,elite,1908.0,TNA,1846,f,uk,"Bradley, Katharine Harris",,y,1900
uc2.ark+=13960=t04x56b63,1903,1903,1903,reviewed,7662568.0,1510554.0,"Hope, Laurence,",New York;J. Lane;London;W. Heinemann;1903.,,Stars of the desert,pub,,,1903.0,FR,1865,f,uk,"Nicolson, Adela Florence",,,1900
uc2.ark+=13960=t5h990m69,1901,1901,1901,reviewed,6501476.0,1209225.0,"Branch, Anna Hempstead,","Boston and;New York;Houghton, Mifflin and company;1901.",,The heart of the road,rev,,,1902.0,ATL,1875,f,us,,,,1900
uc2.ark+=13960=t9h41kd1k,1900,1900,1900,reviewed,7657101.0,6004575.0,"Dorr, Julia C. R.",New York;C. Scribner's sons;1900.,,Afterglow;,rev,pos,,1901.0,ATL,1825,f,us,,,,1900
loc.ark+=13960=t77s88w2s,1902,1902,1902,reviewed,9591607.0,8330245.0,"Wetherald, A. Ethelwyn.",Boston;R.G. Badger;1902.,,Tangled in stars;,rev,,,1903.0,ATL,1857,f,ca,,,,1900
mdp.39015065250162,1905,1905,1905,reviewed,778684.0,1189647.0,"Branch, Anna Hempstead,","Boston;New York;Houghton, Mifflin and Co.;1905",,"The shoes that danced, and other poems",rev,pos,,1905.0,ATL,1875,f,us,,,,1900
nyp.33433044042400,1902,1902,1899,random,8613325.0,,"Machar, Agnes Maule,",London;E. Stock;1902.,,Lays of the 'True North',,,,,,1837,f,ca,,,,1900
loc.ark+=13960=t1zc8cv86,1902,1902,1902,random,9562257.0,,"Van Cleve, Alice Davis. [from old catalog]",New York;R. H. Rvssell;1902.,,The Queen's rosary,,,,,,1857,f,us,,,,1900
loc.ark+=13960=t0gt62k04,1902,1902,1902,random,9598235.0,,"Wilder, Cordelia Beardsley.","Coventry, N.Y.;Binghamton, Press of Chronicle Pub. Co.;1902.",,Kitchen visits with the muses,,,,,,1839,f,us,,,,1900
loc.ark+=13960=t1cj8vs53,1902,1902,1902,random,9559746.0,,"Welsh, Mary Elizabeth,",New York;London [etc.;The Abbey press;1902,,Kapiolani;,,,,,,1840,f,us,,,,1900
loc.ark+=13960=t85h85q7m,1901,1901,1901,random,9563403.0,,"Heyer, Mary B.",New York;Abbey Press;1901,,Under the southern sun [poems],,,,,,1870,f,us,,,,1900
nyp.33433075741672,1905,1905,1905,random,8657544.0,,"Thomas, Cynthia D. Harvey,","Jackson, Mich.;Daily Citizen Printing House;1905.",,Light in the cloud,,,,,,1841,f,us,,,,1900
loc.ark+=13960=t7dr3dz91,1901,1901,1901,random,9604013.0,,"Pickett, Anita Trueman,",New York;The Alliance pub. co.;1901.,,Philo-sophia;,,,,,,1881,f,us,,,,1900
loc.ark+=13960=t7wm1rg17,1907,1907,1907,random,9587715.0,,"Johnson, Felicia Ross. [from old catalog]",Boston;R.G. Badger;1907.,,Seamstress and poet,,,,,,,f,us,,,,1900
nyp.33433075790992,1901,1901,1901,random,8656925.0,,"Fitzpatrick, Ernest Hugh.","Pontiac, Ill.;Printed by the News Pub. Co.;1901",,The passing of William McKinley,,,,,,1863,m,us,,,,1900
uc1.b3312256,1902,1902,1902,random,6130530.0,,"Payne, John,",London;Printed for the Villon Society;1902;(Leyden (Holland);Printed by E.J. Brill),v.1,The poetical works of John Payne,,,,,,1842,m,uk,,,,1900
nyp.33433075816078,1904,1904,1904,random,8656368.0,,"Ehrmann, Max,",New York;Dodge Publishing Co.;1904,,Breaking home ties,,,,,,1872,m,us,,,,1900
uc1.b4100432,1907,1907,1907,random,6154048.0,,"Eilshemius, Louis M.",New York City;E. Lewis;c1907,,All about girls,,,,,,1864,m,us,,,,1900
loc.ark+=13960=t47p9ff2j,1901,1901,1901,random,7652439.0,,"Blood, Henry Ames,","Washingtn, D.C.;The Neale Publishing Company;1901.",,Selected poems of Henry Ames Blood,,,,,,1836,m,us,,,,1900
nyp.33433074849278,1903,1903,1903,random,8663593.0,,"Faulkner, S. E. Sherwood.",Toronto;1903.,,Sea murmurs and woodland songs,,,,,,1853,m,ca,,,,1900
nyp.33433082209572,1902,1902,1901,random,8656240.0,,"Edgar, Timothy Bloomfield.",St. Louis;Privatedly printed;1902.,,"Poems, rhymes, and sayings",,,,,,1815,m,us,,,,1900
uc2.ark+=13960=t5gb1xt7n,1905,1905,1905,random,436865.0,,"Herford, Oliver,",New York;C. Scribner's sons;1905,,The fairy godmother-in-law,,,,,,1863,m,us,,,,1900
nyp.33433066651138,1914,1914,1914,reviewed,8656518.0,20463618.0,"Lindsay, Vachel,","New York;The Macmillan Company;1919, c1914.",,The Congo and other poems,rev,,,1915.0,PMV,1879,m,us,,,,1910
uc2.ark+=13960=fk9v11w414,1914,1914,1914,reviewed,8658399.0,290324.0,"Untermeyer, Louis,",New York;The Century co.;1914.,,Challenge,rev,neg,,1914.0,PMV,1885,m,us,,,,1910
uc1.b3332871,1914,1914,1914,reviewed,7924703.0,1296560.0,"Bangs, John Kendrick,",New York;Macmillan;1914.,,The foothills of Parnassus,rev,neg,,1914.0,PMV,1862,m,us,,,,1910
mdp.39015063931839,1912,1912,1912,reviewed,246795.0,3945103.0,"How, Louis,","Boston;Sherman, French & company;1912.",,The youth replies,rev,,,1913.0,PMV,1873,m,us,,,,1910
uc1.b3335683,1912,1912,1912,reviewed,7688219.0,3105162.0,"Gibson, Wilfrid Wilson,",London;E. Mathews;1912.,v. 3,Fires,rev,pos,,1914.0,FR,1878,m,uk,,,,1910
uc2.ark+=13960=t80k27j8j,1917,1917,1917,reviewed,1838375.0,1006049.0,"Eliot, T. S.",London;The Egoist Ltd. ...;1917.,,Prufrock and other observations,rev,pos,,1917.0,EGO,1888,m,us,,,y,1910
nyp.33433066644851,1916,1916,1916,reviewed,1029308.0,28227389.0,"Sandburg, Carl,",New York;Holt;1916,,Chicago poems,rev,pos,,1916.0,PMV,1878,m,us,,,y,1910
uc2.ark+=13960=t4cn71f36,1911,1911,1907,reviewed,6634051.0,9177416.0,"Ainslie, Douglas,",London;A. Constable;Elkin Mathews;1911,,Mirage,pub,,,1907.0,FR,1865,m,uk,,,,1910
loc.ark+=13960=t04x5sr13,1912,1912,1912,reviewed,9563049.0,4315307.0,"Smith, Clark Ashton,","San Francisco, Cal.;A. M. Robertson;1912.",,The star-treader,rev,,,1913.0,PMV,1893,m,us,,,,1910
uc2.ark+=13960=fk57d2qj4c,1910,1910,1910,reviewed,,,"Robinson, Edwin Arlington,",New York;Scribner;1910.,,The town down the river,rev,,,1906.0,FR,1869,m,us,,,y,1910
uc1.b4101575,1915,1915,1915,reviewed,4136771.0,1920139.0,"Percy, William Alexander,","New Haven;Yale University Press; [etc., etc.;1915.",,Sappho in Levkas,rev,neg,,1917.0,PMV,1885,m,us,,,,1910
uc2.ark+=13960=t4kk95h1q,1914,1914,1914,reviewed,6639062.0,1738726.0,"Benét, William Rose,",New Haven;Yale University Press;1914.,,The falconer of God,rev,,,1914.0,PMV,1886,m,us,,,,1910
uc1.b3340220,1918,1918,1918,reviewed,7917249.0,12688503.0,"Nightingale, M.",Oxford [Oxfordshire;B.H. Blackwell;1918.,,Verses wise and otherwise,rev,neg,,1919.0,EGO,1879,f,uk,,,,1910
mdp.39015030719945,1917,1917,1912,reviewed,1188482.0,2195973.0,"Widdemer, Margaret.",New York;H. Holt and company;1917.,,"Factories, poems",pub,,,1912.0,PMV,1884,f,us,,,,1910
nyp.33433074800131,1911,1911,1911,reviewed,8656854.0,2046049.0,"Wilkinson, Marguerite Ogden Bigelow,","Boston;Sherman, French & company;1911.",,In vivid gardens; songs of the woman spirit,rev,,,1913.0,PMV,1883,f,us,,,,1910
uc1.$b439794,1914,1914,1914,reviewed,632042.0,284968.0,"Kilmer, Joyce,",New York;George H. Doran company;c1914,,Trees,rev,neg,,1914.0,PMV,1886,f,us,,,,1910
uc2.ark+=13960=t5h98zx14,1912,1912,1912,reviewed,,,"Lowell, Amy,",Boston;Houghton Mifflin Co.;1912.,,A dome of many-colored glass,rev,,,1914.0,EGO,1874,f,us,,,y,1910
loc.ark+=13960=t40s0mt4z,1914,1914,1914,reviewed,633653.0,1496428.0,"Monroe, Harriet,",New York;The Macmillan company;1914.,,You and I,rev,,,1914.0,EGO,1860,f,us,,,,1910
loc.ark+=13960=t3st8fg8k,1912,1912,1912,reviewed,6607057.0,2025794.0,"Burr, Amelia Josephine,",New York;George H. Doran Company;c1912,,The roadside fire,rev,,,1913.0,PMV,1878,f,us,,,,1910
uc1.b3345658,1912,1912,1912,reviewed,7925688.0,13641242.0,"Sweeny, Mildred M' Neal.",London;Unwin;1912.,,"Men of no land, and other poems",rev,,,1914.0,PMV,,f,uk,,obscure,,1910
uc1.b4100799,1915,1915,1915,reviewed,6154216.0,6566006.0,"Wickham, Anna,",London;The Poetry bookshop;1915.,,The contemplative quarry,rev,,,1915.0,EGO,1883,f,uk,,,,1910
nyp.33433066636329,1914,1914,1914,reviewed,6502296.0,11165602.0,"Lee, Agnes,","Boston;Sherman, French;1914.",,The sharing,rev,,,1915.0,PMV,1868,f,us,,,,1910
nyp.33433074835962,1910,1910,1910,reviewed,8657714.0,6354506.0,"Van Rensselaer, Schuyler,",New York;The Macmillan company;1910.,,Poems,pub,,,1912.0,PMV,1851,f,us,"Van Rensselaer, Schuyler, Mrs.",obscure,,1910
uc2.ark+=13960=t6k070h7g,1918,1918,1918,reviewed,6607061.0,2809404.0,"Farjeon, Eleanor,","Oxford;B.H. Blackwell;New York;Sold in America by Longmans, Green;1918",,Sonnets and poems,rev,,,1918.0,EGO,1881,f,uk,,,,1910
loc.ark+=13960=t13n30w9p,1917,1917,1917,random,11213778.0,,"Andrews, Edith Fargo.","Boston;Sherman, French & Company;1917.",,Vagrant visions,,,,,,1888,f,us,,,,1910
loc.ark+=13960=t9g458b15,1915,1915,1915,random,9569764.0,,"Ferris, Mary Lanman Douw ""Mrs. Morris P. Ferris,"",",New York;1915,,A legend of New Year eve,,,,,,1855,f,us,,,,1910
uc2.ark+=13960=t5db86m4v,1912,1912,1912,random,6154333.0,,"Henderson, Alice Corbin,",Chicago;R. F. Seymour;c1912,,The spinning woman of the sky;,,,,,,1881,f,us,,,,1910
njp.32101067680247,1918,1918,1918,random,8963885.0,,"Carmichael, Amy,",Edinburgh;Oliphant;1918,,Made in the pans,,,,,,1867,f,uk,,,,1910
loc.ark+=13960=t4bp0rb8b,1912,1912,1912,random,779908.0,,"Goodwin, Grace Duffield.","Boston;Sherman, French & company;1912.",,Horizon songs,,,,,,1869,f,us,,,,1910
nyp.33433076039506,1912,1912,1912,random,8655537.0,,"Adams, Adeline,",New York;Priv. Print.;1912.,,Sylvia,,,,,,1858,f,us,,,,1910
uc2.ark+=13960=t5q81605q,1915,1915,1914,random,7917228.0,,"Morgan, Angela.",New York;E.C. Lewis Co.;c1914.,,The hour has struck;,,,,,,1875,f,us,,,,1910
loc.ark+=13960=t42r4b17k,1914,1914,1914,random,7661311.0,,"Hinckley, Mercy Adeline,",New York;The Neale Publishing Company;1914.,,Life-colors,,,,,,1871,f,us,,,,1910
mdp.39015063926003,1910,1910,1910,random,324552.0,,"Ranum, Louise Cann,",Boston;The Poet lore company;1910.,,Dreams,,,,,,1871,f,us,,birth estimated,,1910
loc.ark+=13960=t3nv9z201,1917,1917,1917,random,9590157.0,,"Kirk, Annie (Brindley),",Detroit;1917,,Inspirational poems,,,,,,1855,f,us,,,,1910
