docid,recordid,oclc,locnum,author,imprint,date,birthdate,firstpub,enumcron,subjects,title,nationality,gender,tags
20737,132,,,"Fox, Paula,","New York Harcourt, Brace & Co. 1967",1967,1923,1967,,"Manhattan (New York, N.Y.);Suburban life;Juvenile delinquents",Poor George,us,f,chirandom | teamblack
uc2.ark+=13960=t7np1xq4d,6934614,3715366,,"Pease, Howard,",London;E. ,1919,,1919,,Ghost stor,Border ghost stories,,m,teamblack | locghost | stew
10862,,,,"Myers, John Myers,",New York E,1947,1906,1947,,,The wild Yazoo,us,m,chirandom | teamred
mdp.39076002660483,9930255,3194900,,"Snell, Roy J.",Chicago;Th,1920,,1920,,Adventure ,Triple spies,,m,teamblack | locdetmyst | juvenile | drop
mdp.39076002607435,9929466,18717400,,"Seaman, Augusta Huiell,",New York;C,1917,1879,1917,,Orphans;De,The girl next door,us,f,teamblack | locdetmyst | juvenile | drop
22803,,,,"Williams, Walter Jon,",New York; ,1987,1953,1987,,Science fi,Voice of the whirlwind,us,m,chirandom | teamblack | chiscifi
20139,,,,"Heinlein, Robert A.",New York; ,1954,,1954,,Science fi,The star beast,us,m,teamblack | chiscifi | stew
10476,,,,"Lewis, Sinclair,",Garden Cit,1935,1885,1935,,Political ,It can't happen here,us,m,teamred | chiscifi
11932,,,,"Wentworth, Patricia,",Philadelph,1950,1878,1950,,"Silver, Ma",Through the wall,uk,f,chirandom | teamblack | chimyst
20522,,,,"Shannon, Dell,",New York W,1962,1921,1962,,"Mendoza, L",Extra kill,us,m,teamblack | chimyst
24835,1264,,,"Child, Lee,",New York Putnam 1999,1999,1954,1999,,"Fiction;Fiction;Reacher, Jack (Fictitious character);Murder;Vietnam War, 1961-1975;Veterans",Tripwire,us,m,chirandom
nyp.33433074955091,2104589,23642675,,"Radcliffe, Ann Ward,",London;T. ,1792,1764,1790,v. 2,,A Sicilian romance,uk,f,teamred | pbgothic | stew
11416,,,,"White, Ethel Lina,",New York H,1933,1876,1933,,,Put out the light,uk,f,chirandom | teamred | chimyst
23200,,,,"Somtow, S. P,",New York T,1989,1952,1989,,Dakota Ind,Moon dance,us,m,teamblack | chihorror | stew
11404,,,,"Oppenheim, E. Phillips,",Boston Lit,1933,1866,1933,,Monaco -- ,Murder at Monte Carlo,uk,m,teamred | chimyst
dul1.ark+=13960=t95723c7j,10945136,419238,AC25.F56 1897,"Flammarion, Camille,",New York;D,1897,1842,1872,,,Lumen,fr,m,teamblack | anatscifi | stew
21423,,,,"Foster, Alan Dean,",New York B,1977,1946,1977,,Science fi,The end of the matter,us,m,chirandom | teamred | chiscifi
mdp.39015013429249,622799,23922457,,"Cabell, James Branch,",New York;R,1923,1879,1919,,,Jurgen,us,m,teamred | pbgothic
10359,,,,"Queen, Ellery,",New York F,1931,,1931,,Fathers an,The Dutch shoe mystery,us,m,teamred | det100 | chimyst | cozy
25548,339,,,"Burke, James Lee,",New York Hyperion 1995,1995,1936,1995,,"Fiction;Detective and mystery stories;Louisiana;Submarines (Ships);Fiction;Robicheaux, Dave (Fictitious character)",Dixie City jam,us,m,chimyst
nyp.33433082305628,5805691,4153330,,"Hope, Laura Lee.",New York;G,1920,,1920,,Cowboys;Bo,The Bobbsey twins in the ,,f,teamred | locdetmyst | juvenile | drop
inu.30000042783591,6056230,3302677,,Anonymous3,London;G. ,1887,,1887,v.3,Ghost stor,Dreamland and ghostland,,,teamblack | locghost
mdp.39015085433426,5069382,4122645,,"Carson, James.",New York;C,1913,,1913,,Horses;Cow,The saddle boys of the Ro,,m,teamblack | locdetmyst | stew
uc2.ark+=13960=t0js9hc64,7655935,8569879,,"Clarke, Rebecca Sophia,",Boston;Lee,1887,1883,1887,,,Drones' honey,us,f,teamblack | random
uiuo.ark+=13960=t1gh9v49g,8722972,11893100,,"Cuthbertson, Catherine.",London;G. Robinson;1807.,1807,1780,1803,v.4,,Romance of the Pyrenees,uk,f,teamblack | stangothic | stew
uc1.b3324205,6130830,4839101,,"Cullum, Ridgwell,",New York;A,1913,1867,1906,,,The night-riders;,uk,m,teamblack | random
21578,,,,"Strieber, Whitley",New York: ,1978,1945,1978,,Werewolves,The wolfen,us,m,teamred | pbgothic
10053,,,,"Burroughs, Edgar Rice,",New York G,1928,1875,1928,,Science fi,The master mind of Mars,us,m,teamblack | chiscifi
mdp.39015006963881,245776,3692078,PZ3.M382At,"Mason, A. E. W.",New York;G,1910,1865,1910,,,At the Villa Rose,uk,m,teamred | det100
11593,,,,"Berkeley, Anthony,",New York G,1939,1893,1939,,Mystery fi,Death in the house,uk,,teamblack | chimyst
11469,21,,,"McKinney, J. P,"," Sydney, Angus & Robertson 1935",1935,1891,1935,,"World War, 1914-1918",Crucible,au,m,chirandom | teamred
uc2.ark+=13960=t48p64044,5549075,1563316,,"Henty, G. A.",New York;C,1894,1832,1894,,History;17,When London burned,uk,m,teamblack | random
22766,,,,"Ray, Robert J. 1935-  (Ro",New York S,1987,,1987,,United Sta,Murdock for hire,us,m,teamblack | chimyst | stew
10877,,,,"Van Vogt, A. E. 1912-2000"," Reading, ",1947,1912,1947,,Fantasy fi,The book of Ptath,us,,teamred | chifantasy
njp.32101067707909,7652249,4674189,PZ3.B428J,"Benedict, Frank Lee,",New York;H,1874,1834,1874,,,John Worthington's name,us,m,teamred | random
20755,,,,"Reed, Ishmael,",Garden Cit,1967,1938,1967,,African Am,The free-lance pallbearer,us,m,chifantasy | teamblack
11285,,,,"Berkeley, Anthony,",Garden Cit,1930,1893,1930,,England --,The Piccadilly murder,uk,m,teamblack | chimyst
21335,,,,"L'Amour, Louis,",New York S,1976,1908,1976,,Fugitives ,To the Far Blue Mountains,us,m,chirandom | teamblack
uc1.b4101364,6154524,5900255,,"Trollope, Anthony,",Leipzig;B.,1863,1815,1863,v.2,,Rachel Ray,uk,m,teamred | random
EllisSteamManPrairies1868,,,,"Ellis, Edward S.",,1880,1840,1868,,,The Steam Man of the Prairies,us,m,teamblack | anatscifi | stew
nyp.33433082514187,8654255,18453068,,"St. Clair, Henry.",Philadelph,1848,,1848,,Supernatur,"Tales of terror; or, The ",,m,teamred | locghost | stew
11724,,,,"Green, Henry,",London: Ho,1943,1905,1943,,England|Fi,Caught,uk,m,chirandom | teamblack
11584,,,,"Priestley, J. B.",London Wil,1938,1894,1938,,Science fi,The doomsday men,uk,m,teamred | chiscifi
mdp.39015063556271,5232730,13352959,PR5115.O3N4,"Opie, Amelia Alderson,",London;Lon,1818,1769,1818,v.1,,New tales,uk,f,teamred | random
20544,363,,,"Kerouac, Jack,","New York Farrar, Straus & Co. 1963",1963,1922,1963,,Beat generation;Page proofs (Printing),Visions of Gerard,us,m,chirandom | teamblack
uc2.ark+=13960=t5bc3wr6q,7670294,12719329,,"Pinkerton, Allan,",New York;G,1879,1819,1879,,Detectives,Mississippi outlaws and t,us,m,teamred | locdetective
20083,,,,"Asimov, Isaac,",Garden Cit,1953,1920,1953,,"Seldon, Ha",Second foundation,us,m,chirandom | teamred | chiscifi | stew
20152,,,,"Matheson, Richard,",Garden Cit,1954,1926,1954,,Vampires;E,I am legend,us,m,teamred | pbgothic | chihorror | chiscifi
10993,,,,"Howard, Robert E.",New York G,1950,1906,1950,,Fantasy fi,Conan the conqueror,us,m,chifantasy | teamblack
11109,,,,"Le Queux, William,",New York M,1923,1864,1923,,Mystery fi,The voice from the void,uk,m,teamred | chimyst
22878,,,,"Engh, M. J,",New York T,1988,1933,1988,,Science fi,Wheel of the winds,us,f,teamred | chiscifi
mdp.39015005076883,584495,819179,PZ3.B814 vol.1,"Brown, Charles Brockden,",Philadelph,1887,1771,1798,,,"Wieland; or, The transfor",us,m,teamred | pbgothic
25530,1399,,,"Wolverton, Dave,",New York Bantam Books 1994,1994,1957,1994,,"Fiction;Star Wars fiction;Science fiction;Fiction;Leia, Princess (Fictitious character)",The courtship of Princess Leia,us,m,chiscifi
uiuo.ark+=13960=t2b85z60c,8721875,2026857,PR4034.N7 1818,"Austen, Jane,",London;Joh,1818,1775,1818,v. 4,Rejection ,Northanger Abbey,uk,f,teamblack | lochorror | stew
11462,,,,"Heyer, Georgette,",London; To,1935,1902,1935,,Large type,Regency buck,uk,f,chirandom | teamblack
uc2.ark+=13960=t70v8bj6k,7647543,39486112,PZ1.F885Ma,"French, Joseph Lewis,",Garden Cit,1922,,1922,v.3,Ghost stor,Masterpieces of mystery,,m,teamblack | locdetmyst | locghost
21412,,,,"Dick, Philip K,",Garden Cit,1977,1928,1977,,Science fi,A scanner darkly,us,m,teamblack | chiscifi
22241,,,,"Muller, Marcia,",New York S,1984,1944,1984,,San Franci,Games to keep the dark aw,us,f,teamred | chimyst | stew
nyp.33433074954979,8690927,13320564,,"Cullen, Margaret.",London;J. Mawman;1802.,1802,,1802,v. 4,English fiction,Home,uk,f,teamred | random
mdp.39015039487205,1416899,2576341,,"Hope, Laura Lee.",New York;G,1904,,1904,,Bobbsey Tw,The Bobbsey twins;,,f,teamred | locdetmyst | juvenile | drop
coo.31924014157121,11406079,18107497,,"Wilde, Oscar,",New York;B,1908,1854,1891,,,The picture of Dorian Gra,ir,m,teamblack | pbgothic
23487,,,,"Hoyle, Fred,",New York H,1957,1915,1957,,Science fi,The black cloud,uk,m,teamblack | chiscifi
20218,,,,"Coxe, George Harmon,",New York A,1956,1901,1956,,Mystery fi,Man on a rope,us,m,teamblack | chimyst
uc2.ark+=13960=t9474d81g,7692227,13352223,,"Russell, William Clark,",London;Cha,1898,1844,1876,,,Is he the man?,uk,m,det100 | teamblack | stew
nyp.33433076054620,8659658,4412484,PS3529.S68T78 1919,"Ostrander, Isabel,",New York;W,1919,1883,1919,,,The twenty-six clues,us,f,teamred | det100
nyp.33433082305644,5104161,2574200,PZ7.H772Bd,"Hope, Laura Lee.",New York;G,1918,,1918,,Treasure t,The Bobbsey twins on the ,,f,teamblack | locdetmyst | juvenile | drop
uc2.ark+=13960=t4cn73z09,7688203,13324493,,"Gibbon, Charles,",London;Sam,1888,1843,1888,v.2,Fiction;De,Beyond compare,,m,teamblack | locdetmyst | stew
10954,,,,"Palmer, Stuart,",New York M,1949,1905,1949,,Women teac,Four lost ladies,us,m,chirandom | teamblack | chimyst
11681,,,,"Heyer, Georgette,",London Hei,1941,1902,1941,,Large type,Faro's daughter,uk,f,chirandom | teamred
nyp.33433074937438,8664338,13242846,,"Disraeli, Benjamin,",New York;H,1832,1804,1832,v. 1,English fi,Contarini Fleming;,uk,m,teamblack | random
10310,,,,"Kline, Otis Adelbert,",Chicago A.,1929,1891,1929,,Science fi,The planet of peril,us,m,teamblack | chiscifi | stew
10923,,,,"Williamson, Jack,",Pa. Fantas,1948,1908,1948,,Werewolves,Darker than you think,us,m,chifantasy | teamblack | chihorror | chiscifi
24099,2381,,,"Rice, Anne,",New York Alfred A. Knopf 1994,1994,,1994,,Fantastic fiction;Fiction;Louisiana;Fiction;New Orleans;Witchcraft,Taltos,us,,chifantasy
11882,,,,"Ferrars, E. X,",Garden Cit,1949,,1949,,,The March Hare murders,uk,,chirandom | teamred | chimyst
ien.35556027278860,11922564,1238387,,"Gowans, Adam L.",London;Gow,1912,,1912,,Ghost stor,Famous ghost-stories by E,,m,teamblack | locghost
uva.x000885514,9789429,3265761,PZ3.B479C2,"Bierce, Ambrose,",Washington,1903,1842,1893,,,Can such things be?,us,m,teamblack | pbgothic
20642,,,,"MacDonald, John D.", Greenwich,1965,1916,1965,,Florida --,A deadly shade of gold,us,m,chirandom | teamred | chimyst
11703,,,,"Christie, Agatha,",London Pub,1942,1890,1942,,,Five little pigs,uk,f,chirandom | teamblack | chimyst | stew | cozy
23838,338,,,"Niven, Larry,",New York Ballantine Books 1992,1992,1938,1992,,Detective and mystery stories;NotFiction;Science fiction;Fiction;Computer adventure games;Dream Park (Imaginary place),The California voodoo game,us,m,chimyst | chiscifi
10357,,,,"Merritt, Abraham,",New York H,1931,1884,1931,,Science fi,The face in the abyss,us,m,chifantasy | teamblack | chiscifi
uc1.b244810,6499036,599666,,"Shiel, M. P.",London;Gra,1898,1865,1898,,,The yellow danger,uk,m,teamblack | anatscifi
uc2.ark+=13960=t44q7rc7f,7673258,1383508,PZ7.S866Wh,"Stockton, Frank Richard,",New York;D,1874,1834,1874,,,What might have been expe,us,m,teamblack | random
njp.32101065766410,9404292,477761,,"Pinkerton, Allan,",New York;G,1900,1819,1900,,Detectives,The model town and the de,us,m,teamblack | locdetective | drop
10838,,,,"Blunden, Godfrey",Philadelphia: Lippincott,1947,1906,1947,,,A Room on the Route,au,m,chirandom | teamblack
4698,,,,"Kyne, Peter B.",New York C,1922,1880,1922,,Shipping c,Cappy Ricks retires,us,m,chirandom | teamred
20727,,,,"Braun, Lilian Jackson,",New York E,1967,1913,1967,,"Qwilleran,",The cat who ate Danish mo,us,f,chirandom | teamblack | chimyst
njp.32101074629542,9023042,43079743,,"Lavall?e, Joseph,",London;Pri,1790,1747,1790,vol.1,,The negro equalled by few,fr,m,teamblack | random
11860,,,,"Mitchell, Gladys,",London M. ,1948,1901,1948,,Mystery an,The Dancing Druids,uk,f,teamblack | chimyst
uiuo.ark+=13960=t15m6kw75,8720331,13323862,,"Gaspey, Thomas,",London;H. ,1828,1788,1828,v.2,,History of George Godfrey,uk,m,newgate | teamblack
uc2.ark+=13960=t0ms3qz4m,5261214,4630009,PZ3.L998DPR4922,"Lytton, Edward Bulwer Lyt",London;Hen,1829,1803,1829,v.1,History;An,Devereux,uk,m,teamred | random
20648,,,,"Moore, Robin,",New York C,1965,1925,1965,,Vietnam Wa,The green berets,us,m,chirandom | teamblack
meyrinkmanonthebottle,,,,"Meyrink, Gustav,",,1909,1868,1903,,,The Man on the Bottle,ge,m,teamred | lockandkey | stew
10083,,,,"Burroughs, Edgar Rice,",New York G,1930,1875,1930,,Adventure ,Tarzan at the earth's cor,us,m,teamred | chifantasy | chiscifi
nyp.33433074955331,8663523,16105885,,Henrietta.,London;Pri,1777,,1777,v. 2,English fi,Letters from Henrietta to,uk,f,teamblack | random
20481,,,,"Burroughs, William S.",Paris Olym,1962,1914,1962,,,The ticket that exploded,us,m,chirandom | teamblack
mdp.39015063949229,779609,5698165,PZ3.S426W,"Scott, Hugh Stowell,",New York;L,1894,1862,1894, ,,With edged tools;,uk,m,teamblack | random
20582,,,,"Fast, Howard,",Garden Cit,1964,1914,1964,,,Agrippa's daughter,us,m,chirandom | teamblack
nyp.33433074968417,8664999,7254452,PZ3.D7452We,"Dougherty, Harry V.",Boston;Ric,1922,1873,1922,,Detective ,Well-- who killed him?,us,m,teamred | locdetmyst
nyp.33433074941562,7915295,577209,,"Chambers, Robert W.",New York;D,1906,1865,1906,,,The tracer of lost person,us,m,teamred | det100 | stew
RedThumbMark,,,,"Freeman, R. Austin,",,1907,1862,1907,,,The Red Thumb Mark,uk,m,det100 | teamblack
20427,,,,"Sheckley, Robert,",New York B,1960,1928,1960,,Science fi,Store of infinity,us,m,teamblack | chiscifi
uiuo.ark+=13960=t8nc69j1b,8690976,6715920,,"Cuthbertson, Catherine.",London;Printed for G. and J. Robinson;1803.,1803,1780,1803,v.3,English fiction,Romance of the Pyrenees,uk,f,teamblack | stangothic
20898,,,,"Kurtz, Katherine,",New York B,1970,1944,1970,,Science fi,Deryni rising,us,f,chifantasy | teamblack | chiscifi
mdp.39015002313487,478831,1846344,,"Hawthorne, Nathaniel,",London;J. ,1915,1804,1837,,,Twice-told tales,us,m,teamblack | pbgothic
mdp.39015048759016,1185742,2273628,PR6037.I73C6,"Sinclair, May.",New York;L,1913,1863,1913,,,The combined maze,uk,f,teamred | random
25620,699,,,"Shigekuni, Julie,",New York Anchor Books 1995,1995,,1995,,"Fiction;Domestic fiction;Japanese American women;California, Northern;Japanese American families;Families;Fiction",A bridge between us,us,f,chirandom
10542,,,,"Burroughs, Edgar Rice,",New York; ,1938,1875,1938,,Science fi,The lad and the lion,us,m,teamred | chiscifi
10403,,,,"Endore, S. Guy,",New York F,1933,1900,1933,,Paris (Fra,The werewolf of Paris,us,m,chifantasy | teamblack | chihorror | stew
20205,,,,"Stout, Rex,",New York V,1955,1886,1955,,New York (,Before midnight,us,m,teamred | chimyst
21560,,,,"Mcdonald, Gregory,",New York A,1978,1937,1978,,Private in,Fletch's fortune,us,m,teamred | chimyst
10808,,,,"Cummings, Ray,",London Ger,1946,1887,1946,,Science fi,The shadow girl,us,m,teamblack | chiscifi
22732,,,,"McCaffrey, Anne,",New York B,1987,1926,1987,,Ireland;Fa,The lady,us,f,chirandom | teamred
4730,,,,"Sampson, Emma Speed,",Chicago Re,1922,1868,1922,,Orphans --,The shorn lamb,us,f,chirandom | teamblack
PoeMysteryMarieRoget1842, , , ,"Poe, Edgar Allan,", ,1842,1809,1842,,,The Mystery of Marie Roget (short story),us,m,teamred | det100 | stew
11074,10,,,"Lewis, C. S.",London Collins 1942,1942,1898,1942,,Christianity;Christianisme -- 20e si?cle;Christianity -- 20th century;Devil;Religious fiction,The Screwtape letters,uk,m,chirandom | chifantasy | teamblack
10803,,,,"Busch, Niven,",New York; ,1946,1903,1946,,San Franci,Day of the conquerors,us,m,chirandom | teamblack
10774,,,,"Halliday, Brett,",New York D,1945,,1945,,"Shayne, Mi",Murder is my business,us,m,teamred | chimyst
20620,,,,"Braithwaite, E. R.  (Edwa",London Bod,1965,,1965,,,Choice of straws,guyana,m,chirandom | teamblack
uc2.ark+=13960=t9862rx2r,7705645,78798411,,"MacDonald, George,",London;Dal,1874,1824,1858,v.2,,Phantastes,uk,m,teamblack | pbgothic
23062,,,,"Crais, Robert,",New York B,1989,1953,1989,,Los Angele,Stalking the angel,us,m,teamred | chimyst
mdp.39015030996832,42246,16389250,,"Ainsworth, William Harris",London;New,1878,1805,1834,,,Rookwood,uk,m,teamred | newgate | stangothic
21351,,,,"Niven, Larry,",New York H,1976,1938,1976,,Science fi,A world out of time,us,m,teamblack | chiscifi
mdp.39076006220979,9913820,4238315,,"Bront?, Charlotte,",Edinburgh;,1907,1816,1847,v.2,,Jane Eyre,uk,f,teamred | pbgothic | stew
uc2.ark+=13960=t2r49vz0v,7699745,8198683,,"Hawthorne, Nathaniel,",Boston;Hou,1883,1804,1851,,,The house of the seven ga,us,m,teamblack | pbgothic
21147,,,,"Vonnegut, Kurt,",New York D,1973,1922,1973,,Science fi,Breakfast of Champions,us,m,teamred | chiscifi
11829,,,,"Hartley, L. P.",London: Pu,1947,1895,1947,,Domestic f,Eustace and Hilda,uk,m,chirandom | teamblack
22325,,,,"Collins, Max Allan,",New York W,1985,1968,1985,,Mallory (F,A shroud for Aquarius,us,m,chirandom | teamred | chimyst
21672,,,,"Stasheff, Christopher,",Garden Cit,1979,1944,1979,,Science fi,A wizard in Bedlam,us,m,teamred | chifantasy | chiscifi
20371,,,,"Gardner, Erle Stanley,",New York M,1959,1889,1959,,Mystery fi,The case of the deadly to,us,m,teamred | det100 | chimyst
hvd.hwkdax,9708812,83645615,,"Lee, Harriet,","London;Printed for G. and J. Robinson;1804, 1803.",1803,1757,1803,v.1,,Canterbury tales,uk,f,teamred | random
20485,,,,"Clifton, Mark,",Garden Cit,1962,1906,1962,,Science fi,When they come from space,us,m,teamblack | chiscifi
10962,,,,"Stout, Rex,",New York V,1949,1886,1949,,New York (,The second confession,us,m,teamred | det100 | chimyst | cozy | stew
nyp.33433075746812,8667895,5208175,,"Shanks, Edward,",New York;F,1920,1892,1920,,Time trave,The people of the ruins,uk,m,teamblack | anatscifi | stew
25337,1281,,,"Mosley, Walter,",New York Norton 1992,1992,,1992,,"Fiction;Mystery fiction;Los Angeles;California;Fiction;Rawlins, Easy (Fictitious character);African American men;Private investigators",White butterfly,us,,chimyst
21390,,,,"Anthony, Piers,",New York B,1977,1934,1977,,Fantasy;Xa,A spell for Chameleon,us,m,chifantasy | teamblack
dul1.ark+=13960=t80k32x0x,10944187,2338373,PZ3.W465Whe,"Wells, H. G.",New York;L,1899,1866,1899,,Science fi,When the sleeper wakes,uk,m,teamred | locscifi
20380,,,,"Kirkland, Elithe Hamilton",Garden Cit,1959,,1959,,,Love is a wild assault,us,f,chirandom | teamblack
10917,,,,"Smith, E. E.",Pa. Fantas,1948,1890,1948,,Science fi,Skylark three,us,m,teamred | chiscifi
21851,,,,"Jones, Robert F.",New York S,1981,1934,1981,,Alaska;Adv,Slade's glacier,us,m,chirandom | teamred
20673,,,,"Asimov, Isaac,",Boston Hou,1966,1920,1966,,Movie nove,Fantastic voyage,us,m,teamred | chiscifi | stew
mdp.39015038723360,122875,2673386,PZ3.C697Wo 10,"Collins, Wilkie,",New York;T,1906,1824,1860,,,The woman in white,uk,m,teamred | sensation | pbgothic | stew
20683,,,,"Delany, Samuel R,",New York A,1966,1942,1966,,Science fi,Babel-17,us,m,teamred | chiscifi
10494,,,,"Latimer, Jonathan,",Garden Cit,1936,1906,1936,,Mystery fi,Murder in the madhouse,us,m,teamblack | chimyst
20821,,,,"Dick, Philip K,",New York B,1969,1928,1969,,Science fi,Galactic pot-healer,us,m,teamred | chiscifi
10561,,,,"Sarton, May,",Boston; Ca,1938,1912,1938,,Friendship,The single hound,us,f,chiutopia | teamblack
uc2.ark+=13960=t83j39v3z,7649263,37033520,,"Rinehart, Mary Roberts,",New York;G,1909,1876,1909,,,The man in lower ten,us,f,det100 | teamblack
11836,,,,"Robins, Denise,", Leicester,1947,1897,1947,,Large type,More than love,uk,f,chirandom | teamred
21114,,,,"MacDonald, John D.",New York L,1973,1916,1973,,Florida --,The scarlet ruse,us,m,chirandom | teamred | chimyst
22897,,,,"Hambly, Barbara",New York: ,1988,1951,1988,,Fantasy fi,Those who hunt the night,us,f,chifantasy | teamblack | pbgothic | stew
20293,,,,"Moore, C. L.",Garden Cit,1957,1911,1957,,Science fi,Doomsday morning,us,f,teamred | chiscifi
11896,,,,"Wentworth, Patricia,",Philadelph,1949,1878,1949,,"Silver, Ma",The Catherine-wheel,uk,f,chirandom | teamred
11519,,,,"Allingham, Margery,",London W. ,1937,1904,1937,,England;My,Dancers in mourning,uk,f,chirandom | teamred | chimyst | cozy
uiuo.ark+=13960=t8w95tz11,8719363,7121292,PR5708.W57D6,"Walker, George,","London;Printed for G. Walker, and T. Hurst, by Exton;1803.",1803,1772,1803,v.2,823W15D,Don Raphael,uk,m,teamred | stangothic
nyp.33433074897426,158356,4545642,PZ3.M525T4,"Merrick, Leonard,",New York;L,1913,1864,1896,,,This stage of fools,uk,m,teamred | random
mdp.39015010330341,1986831,35955358,,"Cobbe, Frances Power,",London;War,1877,1822,1877,,,The age of science,ir,f,teamred | femscifi | stew
uc1.b3386909,6284127,2567964,HV7914.M3,"McWatters, George S",Hartford;J,1871,1812,1871,,Detectives,Knots untied,,m,teamred | locdetective
11545,,,,"Rhode, John",New York: ,1937,1884,1937,,,The harvest murder,uk,m,teamred | det100 | stew
20136,129,,,"Foote, Shelby,",New York Dial Press 1954,1954,1916,1954,,Mississippi,Jordan County,us,m,chirandom | teamred
nyp.33433074863782,8669084,37257042,,"Kavanagh, Julia,",New York;D,1859,1824,1848,,,Madeleine,ir,f,teamblack | random
mdp.39015033367668,326939,7082998,PR3658.R5S3,"Reeve, Clara,",London;Printed for T. Hookham [etc.;1791.,1791,1729,1791,v.1,,The school for widows,uk,f,teamblack | stangothic
25445,1369,,,"Block, Lawrence,",New York W. Morrow 1994,1994,,1994,,"Fiction;New York;New York (State);Scudder, Matt (Fictitious character);Fiction;Private investigators",A long line of dead men,us,m,chirandom
uc1.b249346,6501962,13864836,,Anonymous1,New York;J,1898,,1898,,Detective ,"Seth Bond, or, A lost tre",,,teamred | locdetmyst
mdp.39015005108595,1277224,1154670,PZ1.R35Ha,"Rhys, Ernest,",London;D. ,1921,,1921,,Ghost stor,The haunters & the haunte,,m,teamred | locghost
10312,,,,"Lewis, Sinclair,",New York H,1929,1885,1929,,Retired ex,Dodsworth,us,m,chirandom | teamblack
uiuo.ark+=13960=t7pn9mm7s,8720842,1451923,,"Manning, Anne,",London;Ric,1858,1807,1858,v.2,,The ladies of Bever Hollo,uk,f,teamblack | random
uva.x000498882,9780276,19769848,,"Godwin, William,",New York;H,1856,1756,1794,V.1-2,,The adventures of Caleb W,uk,m,teamred | pbgothic | stew
11877,,,,"Christie, Agatha,", Leicester,1949,1890,1949,,Murder;Lar,Crooked house,uk,f,chirandom | teamred | chimyst | cozy
uc1.b117774,6610336,18939696,,"Verne, Jules,",London;S. ,1887,1828,1886,,,The clipper of the clouds,fr,m,teamred | anatscifi | locscifi
11013,,,,"Van Vogt, A. E. 1912-2000",New York G,1950,1912,1950,,Science fi,The house that stood stil,us,m,chirandom | teamblack | chiscifi
11004,,,,"Phillips, Rog,",Chicago Ce,1950,1909,1950,,Science fi,Worlds within,us,m,teamred | chifantasy | chiscifi | stew
20065,,,,"Jones, Raymond F.",Philadelph,1952,1915,1952,,Science fi,Son of the stars,us,m,teamblack | chiscifi
10090,,,,"Cummings, Ray,",New York A,1931,1887,1931,,Science fi,Brigands of the moon,us,m,teamblack | chiscifi
nyp.33433082529995,5286519,4560824,,"Emerson, Alice B.",New York;C,1915,1869,1915,,Juvenile f,Ruth Fielding and the gyp,,f,teamblack | locdetmyst | juvenile | drop
njp.32101067487007,8958204,7121717,,"Walpole, Horace,",Edinburgh;,1811,1717,1764,,,The castle of Otranto;,uk,m,teamred | pbgothic | stew
22723,,,,"Logue, John,",Boston Lit,1987,1933,1987,,Autographs,Boats against the current,us,m,chirandom | teamblack
11339,,,,"Rohmer, Sax,",Garden Cit,1931,1883,1931,,"Fu Manchu,",Daughter of Fu Manchu,uk,m,teamblack | chimyst | stew
10008,,,,"Burroughs, Edgar Rice,",Chicago A.,1923,1875,1923,,Science fi,Pellucidar,us,m,teamred | chiscifi | stew
11809,,,,"Koestler, Arthur,",New York M,1946,1905,1946,,Jews;Jewis,Thieves in the night,uk,m,chirandom | teamblack
10086,,,,"Stratemeyer, Edward,",Boston Lot,1930,1862,1930,,Mexican Wa,With Taylor on the Rio Gr,us,m,chirandom | teamblack
uc1.31158008377706,439042,1215156,,"Austen, Jane,",London;Tor,1922,1775,1818,,,Northanger abbey,uk,f,teamblack | pbgothic
10460,,,,"Teilhet, Darwin L.",New York W,1934,1904,1934,,Mystery fi,The talking sparrow murde,us,m,teamblack | chimyst
nyp.33433079897819,1027062,3173179,P23R479M,"Bierce, Ambrose,",Chicago;F.,1892,1842,1892,,1866-;De C,The monk and the hangman',us,m,teamblack | random
11928,,,,"Symons, Julian,",New York H,1950,1912,1950,,Advertisin,The 31st of February,uk,m,teamred | chimyst
uc2.ark+=13960=t9s17v81t,6501599,2067017,PZ3.E28W,"Egan, Maurice Francis,",New York;T,1909,1852,1909,,,The wiles of Sexton Magin,us,m,teamblack | random
20653,,,,"Prather, Richard S,",New York T,1965,1921,1965,,"Scott, She",The meandering corpse,us,m,teamred | chimyst
20049,,,,"Brown, Fredric,",New York E,1952,1906,1952,,Mystery fi,Deep end,us,m,teamred | chimyst | stew
uc1.$b813836,9946682,,,"Pinkerton, Allan,",New York;D,1909,1819,1881,,Detectives,The rail-road forger and ,us,m,teamred | locdetective | stew
21211,,,,"Platt, Kin,",New York R,1974,1911,1974,,California,The giant kill,us,m,teamred | chimyst | stew
10765,,,,"Armstrong, Charlotte,",New York C,1945,1905,1945,,Mystery fi,The innocent flower,us,f,teamred | chimyst
coo.31924013525971,11250402,63964163,,"Moore, Frank Frankfort,",Leipzig;B.,1908,1855,1908,,,An amateur adventuress,ir,m,teamred | random
10700,,,,"Cain, James M.",New York; ,1943,1892,1943,,California,Double indemnity,us,m,hardboiled | chimyst | teamred
mdp.39015063759552,284012,2567940,,"Burney, Sarah Harriet,",London;Pri,1820,1772,1816,v.3,,Tales of fancy,uk,f,teamred | random
